t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606349759,2560,2.325304,0.000000,0.000000,0.000000,events/second
1606349762,2560,2.318988,0.000000,0.000000,0.000000,events/second
1606349765,2560,2.312710,0.000000,0.000000,0.000000,events/second
1606349768,2560,2.306444,0.000000,0.000000,0.000000,events/second
1606349771,2560,2.300230,0.000000,0.000000,0.000000,events/second
1606349774,2560,2.294050,0.000000,0.000000,0.000000,events/second
1606349777,2560,2.287915,0.000000,0.000000,0.000000,events/second
1606349780,2560,2.281793,0.000000,0.000000,0.000000,events/second
1606349783,2560,2.275691,0.000000,0.000000,0.000000,events/second
1606349786,2560,2.269646,0.000000,0.000000,0.000000,events/second
1606349789,2560,2.263642,0.000000,0.000000,0.000000,events/second
1606349792,2560,2.257628,0.000000,0.000000,0.000000,events/second
1606349795,2560,2.251670,0.000000,0.000000,0.000000,events/second
1606349798,2560,2.245762,0.000000,0.000000,0.000000,events/second
1606349801,2560,2.239848,0.000000,0.000000,0.000000,events/second
1606349804,2560,2.233998,0.000000,0.000000,0.000000,events/second
1606349807,2560,2.228159,0.000000,0.000000,0.000000,events/second
1606349810,2560,2.222367,0.000000,0.000000,0.000000,events/second
1606349813,2560,2.216583,0.000000,0.000000,0.000000,events/second
1606349816,2560,2.210852,0.000000,0.000000,0.000000,events/second
1606349819,2560,2.205121,0.000000,0.000000,0.000000,events/second
1606349822,2560,2.199450,0.000000,0.000000,0.000000,events/second
1606349825,2560,2.193778,0.000000,0.000000,0.000000,events/second
1606349828,2560,2.188158,0.000000,0.000000,0.000000,events/second
1606349831,2560,2.182558,0.000000,0.000000,0.000000,events/second
1606349834,2560,2.177004,0.000000,0.000000,0.000000,events/second
1606349837,2560,2.171454,0.000000,0.000000,0.000000,events/second
1606349840,2560,2.165966,0.000000,0.000000,0.000000,events/second
1606349843,2560,2.160458,0.000000,0.000000,0.000000,events/second
1606349846,2560,2.155020,0.000000,0.000000,0.000000,events/second
1606349849,2560,2.149570,0.000000,0.000000,0.000000,events/second
1606349852,2560,2.144191,0.000000,0.000000,0.000000,events/second
1606349855,2560,2.138798,0.000000,0.000000,0.000000,events/second
1606349858,2560,2.133464,0.000000,0.000000,0.000000,events/second
1606349861,2560,2.128152,0.000000,0.000000,0.000000,events/second
1606349864,2560,2.122839,0.000000,0.000000,0.000000,events/second
1606349867,2560,2.117582,0.000000,0.000000,0.000000,events/second
1606349870,2560,2.112336,0.000000,0.000000,0.000000,events/second
1606349873,2560,2.107134,0.000000,0.000000,0.000000,events/second
1606349876,2560,2.101921,0.000000,0.000000,0.000000,events/second
1606349879,2560,2.096773,0.000000,0.000000,0.000000,events/second
1606349882,2560,2.091638,0.000000,0.000000,0.000000,events/second
1606349885,2560,2.086512,0.000000,0.000000,0.000000,events/second
1606349888,2560,2.081426,0.000000,0.000000,0.000000,events/second
1606349891,2560,2.076345,0.000000,0.000000,0.000000,events/second
1606349894,2560,2.071322,0.000000,0.000000,0.000000,events/second
1606349897,2560,2.066294,0.000000,0.000000,0.000000,events/second
1606349900,2560,2.061299,0.000000,0.000000,0.000000,events/second
1606349903,2560,2.056352,0.000000,0.000000,0.000000,events/second
1606349906,2560,2.051392,0.000000,0.000000,0.000000,events/second
1606349909,2560,2.046480,0.000000,0.000000,0.000000,events/second
1606349912,2560,2.041598,0.000000,0.000000,0.000000,events/second
1606349915,2560,2.036718,0.000000,0.000000,0.000000,events/second
1606349918,2560,2.031872,0.000000,0.000000,0.000000,events/second
1606349921,2560,2.027043,0.000000,0.000000,0.000000,events/second
1606349924,2560,2.022223,0.000000,0.000000,0.000000,events/second
1606349927,2560,2.017446,0.000000,0.000000,0.000000,events/second
1606349930,2560,2.012697,0.000000,0.000000,0.000000,events/second
1606349933,2560,2.007949,0.000000,0.000000,0.000000,events/second
1606349936,2560,2.003245,0.000000,0.000000,0.000000,events/second
1606349939,2560,1.998555,0.000000,0.000000,0.000000,events/second
1606349942,2560,1.993873,0.000000,0.000000,0.000000,events/second
1606349945,2560,1.989234,0.000000,0.000000,0.000000,events/second
1606349948,2560,1.984595,0.000000,0.000000,0.000000,events/second
1606349951,2560,1.979994,0.000000,0.000000,0.000000,events/second
1606349954,2560,1.975416,0.000000,0.000000,0.000000,events/second
1606349957,2560,1.970845,0.000000,0.000000,0.000000,events/second
1606349960,2560,1.966322,0.000000,0.000000,0.000000,events/second
1606349963,2560,1.961806,0.000000,0.000000,0.000000,events/second
1606349966,2560,1.957292,0.000000,0.000000,0.000000,events/second
1606349969,2560,1.952825,0.000000,0.000000,0.000000,events/second
1606349972,2560,1.948355,0.000000,0.000000,0.000000,events/second
1606349975,2560,1.943919,0.000000,0.000000,0.000000,events/second
1606349978,2560,1.939492,0.000000,0.000000,0.000000,events/second
1606349981,2560,1.935112,0.000000,0.000000,0.000000,events/second
1606349984,2560,1.930721,0.000000,0.000000,0.000000,events/second
1606349987,2560,1.926375,0.000000,0.000000,0.000000,events/second
1606349990,2560,1.922023,0.000000,0.000000,0.000000,events/second
1606349993,2560,1.917707,0.000000,0.000000,0.000000,events/second
1606349996,2560,1.913415,0.000000,0.000000,0.000000,events/second
1606349999,2560,1.909133,0.000000,0.000000,0.000000,events/second
1606350002,2560,1.904865,0.000000,0.000000,0.000000,events/second
1606350005,2560,1.900611,0.000000,0.000000,0.000000,events/second
1606350008,2560,1.896393,0.000000,0.000000,0.000000,events/second
1606350011,2560,1.892201,0.000000,0.000000,0.000000,events/second
1606350014,2560,1.888006,0.000000,0.000000,0.000000,events/second
1606350017,2560,1.883845,0.000000,0.000000,0.000000,events/second
1606350020,2560,1.879679,0.000000,0.000000,0.000000,events/second
1606350023,2560,1.875553,0.000000,0.000000,0.000000,events/second
1606350026,2560,1.871434,0.000000,0.000000,0.000000,events/second
1606350029,2560,1.867351,0.000000,0.000000,0.000000,events/second
1606350032,2560,1.863274,0.000000,0.000000,0.000000,events/second
1606350035,2560,1.859211,0.000000,0.000000,0.000000,events/second
1606350038,2560,1.855169,0.000000,0.000000,0.000000,events/second
1606350041,2560,1.851137,0.000000,0.000000,0.000000,events/second
1606350044,2560,1.847139,0.000000,0.000000,0.000000,events/second
1606350047,2560,1.843147,0.000000,0.000000,0.000000,events/second
1606350050,2560,1.839182,0.000000,0.000000,0.000000,events/second
1606350053,2560,1.835212,0.000000,0.000000,0.000000,events/second
1606350056,2560,1.831289,0.000000,0.000000,0.000000,events/second
1606350059,2560,1.827354,0.000000,0.000000,0.000000,events/second
1606350062,2560,1.823461,0.000000,0.000000,0.000000,events/second
1606350065,2560,1.819558,0.000000,0.000000,0.000000,events/second
1606350068,2560,1.815693,0.000000,0.000000,0.000000,events/second
1606350071,2560,1.811831,0.000000,0.000000,0.000000,events/second
1606350074,2560,1.807994,0.000000,0.000000,0.000000,events/second
1606350077,2560,1.804182,0.000000,0.000000,0.000000,events/second
1606350080,2560,1.800374,0.000000,0.000000,0.000000,events/second
1606350083,2560,1.796591,0.000000,0.000000,0.000000,events/second
1606350086,2560,1.792805,0.000000,0.000000,0.000000,events/second
1606350089,2560,1.789051,0.000000,0.000000,0.000000,events/second
1606350092,2560,1.785315,0.000000,0.000000,0.000000,events/second
1606350095,2560,1.781580,0.000000,0.000000,0.000000,events/second
1606350098,2560,1.777872,0.000000,0.000000,0.000000,events/second
1606350101,2560,1.774163,0.000000,0.000000,0.000000,events/second
1606350104,2560,1.770486,0.000000,0.000000,0.000000,events/second
1606350107,2560,1.766817,0.000000,0.000000,0.000000,events/second
1606350110,2560,1.763176,0.000000,0.000000,0.000000,events/second
1606350113,2560,1.759541,0.000000,0.000000,0.000000,events/second
1606350116,2560,1.755919,0.000000,0.000000,0.000000,events/second
1606350119,2560,1.752319,0.000000,0.000000,0.000000,events/second
1606350122,2560,1.748713,0.000000,0.000000,0.000000,events/second
1606350125,2560,1.745149,0.000000,0.000000,0.000000,events/second
1606350128,2560,1.741576,0.000000,0.000000,0.000000,events/second
1606350131,2560,1.738032,0.000000,0.000000,0.000000,events/second
1606350134,2560,1.734506,0.000000,0.000000,0.000000,events/second
1606350137,2560,1.730976,0.000000,0.000000,0.000000,events/second
1606350140,2560,1.727487,0.000000,0.000000,0.000000,events/second
1606350143,2560,1.723993,0.000000,0.000000,0.000000,events/second
1606350146,2560,1.720508,0.000000,0.000000,0.000000,events/second
1606350149,2560,1.717051,0.000000,0.000000,0.000000,events/second
1606350152,2560,1.713606,0.000000,0.000000,0.000000,events/second
1606350155,2560,1.710177,0.000000,0.000000,0.000000,events/second
1606350158,2560,1.706756,0.000000,0.000000,0.000000,events/second
1606350161,2560,1.703336,0.000000,0.000000,0.000000,events/second
1606350164,2560,1.699947,0.000000,0.000000,0.000000,events/second
1606350167,2560,1.696577,0.000000,0.000000,0.000000,events/second
1606350170,2560,1.693204,0.000000,0.000000,0.000000,events/second
1606350173,2560,1.689843,0.000000,0.000000,0.000000,events/second
1606350176,2560,1.686512,0.000000,0.000000,0.000000,events/second
1606350179,2560,1.683176,0.000000,0.000000,0.000000,events/second
1606350182,2560,1.679862,0.000000,0.000000,0.000000,events/second
1606350185,2560,1.676573,0.000000,0.000000,0.000000,events/second
1606350188,2560,1.673277,0.000000,0.000000,0.000000,events/second
1606350191,2560,1.670011,0.000000,0.000000,0.000000,events/second
1606350194,2560,1.666741,0.000000,0.000000,0.000000,events/second
1606350197,2560,1.663498,0.000000,0.000000,0.000000,events/second
1606350200,2560,1.660258,0.000000,0.000000,0.000000,events/second
1606350203,2560,1.657037,0.000000,0.000000,0.000000,events/second
1606350206,2560,1.653824,0.000000,0.000000,0.000000,events/second
1606350209,2560,1.650622,0.000000,0.000000,0.000000,events/second
1606350212,2560,1.647444,0.000000,0.000000,0.000000,events/second
1606350215,2560,1.644267,0.000000,0.000000,0.000000,events/second
1606350218,2560,1.641101,0.000000,0.000000,0.000000,events/second
1606350221,2560,1.637957,0.000000,0.000000,0.000000,events/second
1606350224,2560,1.634806,0.000000,0.000000,0.000000,events/second
1606350227,2560,1.631691,0.000000,0.000000,0.000000,events/second
1606350230,2560,1.628568,0.000000,0.000000,0.000000,events/second
1606350233,2560,1.625477,0.000000,0.000000,0.000000,events/second
1606350236,2560,1.622387,0.000000,0.000000,0.000000,events/second
1606350239,2560,1.619303,0.000000,0.000000,0.000000,events/second
1606350242,2560,1.616238,0.000000,0.000000,0.000000,events/second
1606350245,2560,1.613180,0.000000,0.000000,0.000000,events/second
1606350248,2560,1.610144,0.000000,0.000000,0.000000,events/second
1606350251,2560,1.607101,0.000000,0.000000,0.000000,events/second
1606350254,2560,1.604081,0.000000,0.000000,0.000000,events/second
1606350257,2560,1.601077,0.000000,0.000000,0.000000,events/second
1606350260,2560,1.598081,0.000000,0.000000,0.000000,events/second
1606350263,2560,1.595089,0.000000,0.000000,0.000000,events/second
1606350266,2560,1.592115,0.000000,0.000000,0.000000,events/second
1606350269,2560,1.589151,0.000000,0.000000,0.000000,events/second
1606350272,2560,1.586197,0.000000,0.000000,0.000000,events/second
1606350275,2560,1.583246,0.000000,0.000000,0.000000,events/second
1606350278,2560,1.580317,0.000000,0.000000,0.000000,events/second
1606350281,2560,1.577396,0.000000,0.000000,0.000000,events/second
1606350284,2560,1.574490,0.000000,0.000000,0.000000,events/second
1606350287,2560,1.571580,0.000000,0.000000,0.000000,events/second
1606350290,2560,1.568695,0.000000,0.000000,0.000000,events/second
1606350293,2560,1.565821,0.000000,0.000000,0.000000,events/second
1606350296,2560,1.562944,0.000000,0.000000,0.000000,events/second
1606350299,2560,1.560092,0.000000,0.000000,0.000000,events/second
1606350302,2560,1.557251,0.000000,0.000000,0.000000,events/second
1606350305,2560,1.554404,0.000000,0.000000,0.000000,events/second
1606350308,2560,1.551585,0.000000,0.000000,0.000000,events/second
1606350311,2560,1.548760,0.000000,0.000000,0.000000,events/second
1606350314,2560,1.545965,0.000000,0.000000,0.000000,events/second
1606350317,2560,1.543162,0.000000,0.000000,0.000000,events/second
1606350320,2560,1.540374,0.000000,0.000000,0.000000,events/second
1606350323,2560,1.537610,0.000000,0.000000,0.000000,events/second
1606350326,2560,1.534837,0.000000,0.000000,0.000000,events/second
1606350329,2560,1.532077,0.000000,0.000000,0.000000,events/second
1606350332,2560,1.529344,0.000000,0.000000,0.000000,events/second
1606350335,2560,1.526599,0.000000,0.000000,0.000000,events/second
1606350338,2560,1.523876,0.000000,0.000000,0.000000,events/second
1606350341,2560,1.521165,0.000000,0.000000,0.000000,events/second
1606350344,2560,1.518445,0.000000,0.000000,0.000000,events/second
1606350347,2560,1.515754,0.000000,0.000000,0.000000,events/second
1606350350,2560,1.513063,0.000000,0.000000,0.000000,events/second
1606350353,2560,1.510395,0.000000,0.000000,0.000000,events/second
1606350356,2560,1.507718,0.000000,0.000000,0.000000,events/second
1606350359,2560,1.505058,0.000000,0.000000,0.000000,events/second
1606350362,2560,1.502413,0.000000,0.000000,0.000000,events/second
1606350365,2560,1.499768,0.000000,0.000000,0.000000,events/second
1606350368,2560,1.497140,0.000000,0.000000,0.000000,events/second
1606350371,2560,1.494515,0.000000,0.000000,0.000000,events/second
1606350374,2560,1.491899,0.000000,0.000000,0.000000,events/second
1606350377,2560,1.489295,0.000000,0.000000,0.000000,events/second
1606350380,2560,1.486701,0.000000,0.000000,0.000000,events/second
1606350383,2560,1.484123,0.000000,0.000000,0.000000,events/second
1606350386,2560,1.481537,0.000000,0.000000,0.000000,events/second
1606350389,2560,1.478978,0.000000,0.000000,0.000000,events/second
1606350392,2560,1.476422,0.000000,0.000000,0.000000,events/second
1606350395,2560,1.473867,0.000000,0.000000,0.000000,events/second
1606350398,2560,1.471332,0.000000,0.000000,0.000000,events/second
1606350401,2560,1.468792,0.000000,0.000000,0.000000,events/second
1606350404,2560,1.466273,0.000000,0.000000,0.000000,events/second
1606350407,2560,1.463750,0.000000,0.000000,0.000000,events/second
1606350410,2560,1.461251,0.000000,0.000000,0.000000,events/second
1606350413,2560,1.458743,0.000000,0.000000,0.000000,events/second
1606350416,2560,1.456261,0.000000,0.000000,0.000000,events/second
1606350419,2560,1.453783,0.000000,0.000000,0.000000,events/second
1606350422,2560,1.451303,0.000000,0.000000,0.000000,events/second
1606350425,2560,1.448839,0.000000,0.000000,0.000000,events/second
1606350428,2560,1.446392,0.000000,0.000000,0.000000,events/second
1606350431,2560,1.443945,0.000000,0.000000,0.000000,events/second
1606350434,2560,1.441499,0.000000,0.000000,0.000000,events/second
1606350437,2560,1.439072,0.000000,0.000000,0.000000,events/second
1606350440,2560,1.436647,0.000000,0.000000,0.000000,events/second
1606350443,2560,1.434235,0.000000,0.000000,0.000000,events/second
1606350446,2560,1.431831,0.000000,0.000000,0.000000,events/second
1606350449,2560,1.429423,0.000000,0.000000,0.000000,events/second
1606350452,2560,1.427033,0.000000,0.000000,0.000000,events/second
1606350455,2560,1.424648,0.000000,0.000000,0.000000,events/second
1606350458,2560,1.422275,0.000000,0.000000,0.000000,events/second
1606350461,2560,1.419916,0.000000,0.000000,0.000000,events/second
1606350464,2560,1.417549,0.000000,0.000000,0.000000,events/second
1606350467,2560,1.415200,0.000000,0.000000,0.000000,events/second
1606350470,2560,1.412863,0.000000,0.000000,0.000000,events/second
1606350473,2560,1.410529,0.000000,0.000000,0.000000,events/second
1606350476,2560,1.408193,0.000000,0.000000,0.000000,events/second
1606350479,2560,1.405878,0.000000,0.000000,0.000000,events/second
1606350482,2560,1.403560,0.000000,0.000000,0.000000,events/second
1606350485,2560,1.401261,0.000000,0.000000,0.000000,events/second
1606350488,2560,1.398964,0.000000,0.000000,0.000000,events/second
1606350491,2560,1.396678,0.000000,0.000000,0.000000,events/second
1606350494,2560,1.394388,0.000000,0.000000,0.000000,events/second
1606350497,2560,1.392110,0.000000,0.000000,0.000000,events/second
1606350500,2560,1.389851,0.000000,0.000000,0.000000,events/second
