t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606360430,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360433,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360436,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360439,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360442,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360445,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360448,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360451,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360454,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360457,2,0.000170,0.000000,0.000000,0.000000,events/second
1606360460,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360463,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360466,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360469,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360472,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360475,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360478,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360481,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360484,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360487,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360490,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360493,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360496,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360499,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360502,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360505,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360508,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360511,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360514,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360517,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360520,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360523,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360526,2,0.000169,0.000000,0.000000,0.000000,events/second
1606360529,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360532,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360535,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360538,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360541,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360544,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360547,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360550,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360553,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360556,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360559,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360562,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360565,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360568,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360571,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360574,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360577,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360580,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360583,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360586,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360589,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360592,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360595,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360598,2,0.000168,0.000000,0.000000,0.000000,events/second
1606360601,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360604,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360607,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360610,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360613,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360616,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360619,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360622,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360625,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360628,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360631,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360634,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360637,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360640,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360643,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360646,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360649,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360652,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360655,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360658,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360661,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360664,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360667,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360670,2,0.000167,0.000000,0.000000,0.000000,events/second
1606360673,2,0.000166,0.000000,0.000000,0.000000,events/second
1606360676,2,0.000166,0.000000,0.000000,0.000000,events/second
1606360679,2,0.000166,0.000000,0.000000,0.000000,events/second
1606360682,2,0.000166,0.000000,0.000000,0.000000,events/second
