t,value
1601675475,0
1601675478,0
1601675481,0
1601675484,0
1601675487,0
1601675490,0
1601675493,0
1601675496,0
1601675499,0
1601675502,2
1601675505,6
1601675508,6
1601675511,6
1601675514,6
1601675517,6
1601675520,6
1601675523,6
1601675526,6
1601675529,6
1601675532,6
1601675535,6
1601675538,6
1601675541,5
1601675544,6
1601675547,6
1601675550,6
1601675553,6
1601675556,6
1601675559,6
1601675562,6
1601675565,6
1601675568,6
1601675571,6
1601675574,6
1601675577,6
1601675580,6
1601675583,6
1601675586,6
1601675589,6
1601675592,6
1601675595,6
1601675598,6
1601675601,6
1601675604,6
1601675607,6
1601675610,6
1601675613,6
1601675616,6
1601675619,6
1601675622,6
1601675625,6
1601675628,6
1601675631,6
1601675634,6
1601675637,6
1601675640,6
1601675643,6
1601675646,6
1601675649,6
1601675652,6
1601675655,6
1601675658,6
1601675661,6
1601675664,6
1601675667,6
1601675670,6
1601675673,6
1601675676,6
1601675679,6
1601675682,6
1601675685,6
1601675688,6
1601675691,6
1601675694,6
1601675697,6
1601675700,6
1601675703,6
1601675706,6
1601675709,6
1601675712,6
1601675715,6
1601675718,6
1601675721,6
1601675724,6
1601675727,6
1601675730,6
1601675733,6
1601675736,6
1601675739,6
1601675742,6
1601675745,6
1601675748,6
1601675751,6
1601675754,6
1601675757,6
1601675760,6
1601675763,6
1601675766,6
1601675769,6
1601675772,6
1601675775,6
1601675778,6
1601675781,6
1601675784,6
1601675787,6
1601675790,6
1601675793,6
1601675796,6
1601675799,6
1601675802,6
1601675805,6
1601675808,6
1601675811,6
1601675814,6
1601675817,6
1601675820,6
1601675823,6
1601675826,6
1601675829,6
1601675832,6
1601675835,6
1601675838,6
1601675841,6
1601675844,6
1601675847,6
1601675850,6
1601675853,6
1601675856,6
1601675859,6
1601675862,6
1601675865,6
1601675868,6
1601675871,6
1601675874,6
1601675877,6
1601675880,6
1601675883,6
1601675886,6
1601675889,6
1601675892,6
1601675895,6
1601675898,6
1601675901,6
1601675904,6
1601675907,6
1601675910,6
1601675913,6
1601675916,6
1601675919,6
1601675922,6
1601675925,6
1601675928,6
1601675931,6
1601675934,6
1601675937,6
1601675940,6
1601675943,6
1601675946,6
1601675949,6
1601675952,6
1601675955,6
1601675958,6
1601675961,6
1601675964,6
1601675967,6
1601675970,6
1601675973,6
1601675976,6
1601675979,6
1601675982,6
1601675985,6
1601675988,6
1601675991,6
1601675994,6
1601675997,6
1601676000,6
1601676003,6
1601676006,6
1601676009,6
1601676012,6
1601676015,6
1601676018,6
1601676021,6
1601676024,6
1601676027,6
1601676030,6
1601676033,6
1601676036,6
1601676039,6
1601676042,6
1601676045,6
1601676048,6
1601676051,6
1601676054,6
1601676057,6
1601676060,6
1601676063,6
1601676066,6
1601676069,6
1601676072,6
1601676075,6
1601676078,6
1601676081,6
1601676084,6
1601676087,6
1601676090,6
1601676093,6
1601676096,6
1601676099,6
1601676102,6
1601676105,6
1601676108,6
1601676111,6
1601676114,6
1601676117,6
1601676120,6
1601676123,6
1601676126,6
1601676129,6
1601676132,6
1601676135,6
1601676138,6
1601676141,6
1601676144,6
1601676147,6
1601676150,6
1601676153,6
1601676156,6
1601676159,6
1601676162,6
1601676165,6
1601676168,6
1601676171,6
1601676174,6
1601676177,6
1601676180,6
1601676183,6
1601676186,6
1601676189,6
1601676192,6
1601676195,6
1601676198,6
1601676201,6
1601676204,6
1601676207,6
1601676210,6
1601676213,6
1601676216,6
1601676219,6
1601676222,6
1601676225,6
1601676228,6
1601676231,6
1601676234,6
1601676237,6
1601676240,6
1601676243,6
1601676246,6
1601676249,6
1601676252,6
1601676255,6
1601676258,6
1601676261,6
1601676264,6
1601676267,6
1601676270,6
1601676273,6
1601676276,6
1601676279,6
1601676282,6
1601676285,6
1601676288,6
1601676291,6
1601676294,6
1601676297,6
1601676300,6
1601676303,6
1601676306,6
1601676309,6
1601676312,6
1601676315,6
1601676318,6
1601676321,6
1601676324,6
1601676327,6
1601676330,6
1601676333,6
1601676336,6
1601676339,6
1601676342,6
1601676345,6
1601676348,6
1601676351,6
1601676354,6
1601676357,6
1601676360,6
1601676363,6
1601676366,6
1601676369,6
1601676372,6
1601676375,6
1601676378,6
1601676381,6
1601676384,6
1601676387,6
1601676390,6
1601676393,6
1601676396,6
1601676399,6
1601676402,6
1601676405,6
1601676408,6
1601676411,6
1601676414,6
1601676417,6
1601676420,6
1601676423,6
1601676426,6
1601676429,6
1601676432,6
1601676435,6
1601676438,6
1601676441,6
1601676444,6
1601676447,6
1601676450,6
1601676453,6
1601676456,6
1601676459,6
1601676462,6
1601676465,6
1601676468,6
1601676471,6
1601676474,6
1601676477,6
1601676480,6
1601676483,6
1601676486,6
1601676489,6
1601676492,6
1601676495,6
1601676498,6
1601676501,6
1601676504,6
1601676507,6
1601676510,6
1601676513,6
1601676516,6
1601676519,6
1601676522,6
1601676525,6
1601676528,6
1601676531,6
1601676534,6
1601676537,6
1601676540,6
1601676543,6
1601676546,6
1601676549,6
1601676552,6
1601676555,6
1601676558,6
1601676561,6
1601676564,6
1601676567,6
1601676570,6
1601676573,6
1601676576,6
1601676579,6
1601676582,6
1601676585,6
1601676588,6
