t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606351523,23,0.008028,0.000000,0.000000,0.000000,events/second
1606351526,23,0.008020,0.000000,0.000000,0.000000,events/second
1606351529,23,0.008011,0.000000,0.000000,0.000000,events/second
1606351532,23,0.008003,0.000000,0.000000,0.000000,events/second
1606351535,23,0.007995,0.000000,0.000000,0.000000,events/second
1606351538,23,0.007986,0.000000,0.000000,0.000000,events/second
1606351541,23,0.007978,0.000000,0.000000,0.000000,events/second
1606351544,23,0.007970,0.000000,0.000000,0.000000,events/second
1606351547,23,0.007961,0.000000,0.000000,0.000000,events/second
1606351550,23,0.007953,0.000000,0.000000,0.000000,events/second
1606351553,23,0.007945,0.000000,0.000000,0.000000,events/second
1606351556,23,0.007937,0.000000,0.000000,0.000000,events/second
1606351559,23,0.007929,0.000000,0.000000,0.000000,events/second
1606351562,23,0.007920,0.000000,0.000000,0.000000,events/second
1606351565,23,0.007912,0.000000,0.000000,0.000000,events/second
1606351568,23,0.007904,0.000000,0.000000,0.000000,events/second
1606351571,23,0.007896,0.000000,0.000000,0.000000,events/second
1606351574,23,0.007888,0.000000,0.000000,0.000000,events/second
1606351577,23,0.007880,0.000000,0.000000,0.000000,events/second
1606351580,23,0.007872,0.000000,0.000000,0.000000,events/second
1606351583,23,0.007863,0.000000,0.000000,0.000000,events/second
1606351586,23,0.007855,0.000000,0.000000,0.000000,events/second
1606351589,23,0.007847,0.000000,0.000000,0.000000,events/second
1606351592,23,0.007839,0.000000,0.000000,0.000000,events/second
1606351595,23,0.007831,0.000000,0.000000,0.000000,events/second
1606351598,23,0.007823,0.000000,0.000000,0.000000,events/second
1606351601,23,0.007815,0.000000,0.000000,0.000000,events/second
1606351604,23,0.007807,0.000000,0.000000,0.000000,events/second
1606351607,23,0.007799,0.000000,0.000000,0.000000,events/second
1606351610,23,0.007792,0.000000,0.000000,0.000000,events/second
1606351613,23,0.007784,0.000000,0.000000,0.000000,events/second
1606351616,23,0.007776,0.000000,0.000000,0.000000,events/second
1606351619,23,0.007768,0.000000,0.000000,0.000000,events/second
1606351622,23,0.007760,0.000000,0.000000,0.000000,events/second
1606351625,23,0.007752,0.000000,0.000000,0.000000,events/second
1606351628,23,0.007744,0.000000,0.000000,0.000000,events/second
1606351631,23,0.007736,0.000000,0.000000,0.000000,events/second
1606351634,23,0.007729,0.000000,0.000000,0.000000,events/second
1606351637,23,0.007721,0.000000,0.000000,0.000000,events/second
1606351640,23,0.007713,0.000000,0.000000,0.000000,events/second
1606351643,23,0.007705,0.000000,0.000000,0.000000,events/second
1606351646,23,0.007698,0.000000,0.000000,0.000000,events/second
1606351649,23,0.007690,0.000000,0.000000,0.000000,events/second
1606351652,23,0.007682,0.000000,0.000000,0.000000,events/second
1606351655,23,0.007675,0.000000,0.000000,0.000000,events/second
1606351658,23,0.007667,0.000000,0.000000,0.000000,events/second
1606351661,23,0.007659,0.000000,0.000000,0.000000,events/second
1606351664,23,0.007652,0.000000,0.000000,0.000000,events/second
1606351667,23,0.007644,0.000000,0.000000,0.000000,events/second
1606351670,23,0.007636,0.000000,0.000000,0.000000,events/second
1606351673,23,0.007629,0.000000,0.000000,0.000000,events/second
1606351676,23,0.007621,0.000000,0.000000,0.000000,events/second
1606351679,23,0.007614,0.000000,0.000000,0.000000,events/second
1606351682,23,0.007606,0.000000,0.000000,0.000000,events/second
1606351685,23,0.007598,0.000000,0.000000,0.000000,events/second
1606351688,23,0.007591,0.000000,0.000000,0.000000,events/second
1606351691,23,0.007583,0.000000,0.000000,0.000000,events/second
