t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606351688,21,0.006931,0.000000,0.000000,0.000000,events/second
1606351691,21,0.006924,0.000000,0.000000,0.000000,events/second
1606351694,21,0.006917,0.000000,0.000000,0.000000,events/second
1606351697,21,0.006910,0.000000,0.000000,0.000000,events/second
1606351700,21,0.006904,0.000000,0.000000,0.000000,events/second
1606351703,21,0.006897,0.000000,0.000000,0.000000,events/second
1606351706,21,0.006890,0.000000,0.000000,0.000000,events/second
1606351709,21,0.006883,0.000000,0.000000,0.000000,events/second
1606351712,21,0.006876,0.000000,0.000000,0.000000,events/second
1606351715,21,0.006870,0.000000,0.000000,0.000000,events/second
1606351718,21,0.006863,0.000000,0.000000,0.000000,events/second
1606351721,21,0.006856,0.000000,0.000000,0.000000,events/second
1606351724,21,0.006849,0.000000,0.000000,0.000000,events/second
1606351727,21,0.006843,0.000000,0.000000,0.000000,events/second
1606351730,21,0.006836,0.000000,0.000000,0.000000,events/second
1606351733,21,0.006829,0.000000,0.000000,0.000000,events/second
1606351736,21,0.006823,0.000000,0.000000,0.000000,events/second
1606351739,21,0.006816,0.000000,0.000000,0.000000,events/second
1606351742,21,0.006810,0.000000,0.000000,0.000000,events/second
1606351745,21,0.006803,0.000000,0.000000,0.000000,events/second
1606351748,21,0.006796,0.000000,0.000000,0.000000,events/second
1606351751,21,0.006790,0.000000,0.000000,0.000000,events/second
1606351754,21,0.006783,0.000000,0.000000,0.000000,events/second
1606351757,21,0.006777,0.000000,0.000000,0.000000,events/second
1606351760,21,0.006770,0.000000,0.000000,0.000000,events/second
1606351763,21,0.006763,0.000000,0.000000,0.000000,events/second
1606351766,21,0.006757,0.000000,0.000000,0.000000,events/second
1606351769,21,0.006750,0.000000,0.000000,0.000000,events/second
1606351772,21,0.006744,0.000000,0.000000,0.000000,events/second
1606351775,21,0.006737,0.000000,0.000000,0.000000,events/second
1606351778,21,0.006731,0.000000,0.000000,0.000000,events/second
1606351781,21,0.006724,0.000000,0.000000,0.000000,events/second
1606351784,21,0.006718,0.000000,0.000000,0.000000,events/second
1606351787,21,0.006712,0.000000,0.000000,0.000000,events/second
1606351790,21,0.006705,0.000000,0.000000,0.000000,events/second
1606351793,21,0.006699,0.000000,0.000000,0.000000,events/second
1606351796,21,0.006692,0.000000,0.000000,0.000000,events/second
1606351799,21,0.006686,0.000000,0.000000,0.000000,events/second
1606351802,21,0.006680,0.000000,0.000000,0.000000,events/second
1606351805,21,0.006673,0.000000,0.000000,0.000000,events/second
1606351808,21,0.006667,0.000000,0.000000,0.000000,events/second
1606351811,21,0.006660,0.000000,0.000000,0.000000,events/second
1606351814,21,0.006654,0.000000,0.000000,0.000000,events/second
1606351817,21,0.006648,0.000000,0.000000,0.000000,events/second
1606351820,21,0.006642,0.000000,0.000000,0.000000,events/second
1606351823,21,0.006635,0.000000,0.000000,0.000000,events/second
1606351826,21,0.006629,0.000000,0.000000,0.000000,events/second
1606351829,21,0.006623,0.000000,0.000000,0.000000,events/second
1606351832,21,0.006616,0.000000,0.000000,0.000000,events/second
1606351835,21,0.006610,0.000000,0.000000,0.000000,events/second
1606351838,21,0.006604,0.000000,0.000000,0.000000,events/second
1606351841,21,0.006598,0.000000,0.000000,0.000000,events/second
1606351844,21,0.006591,0.000000,0.000000,0.000000,events/second
