t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606374887,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374890,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374893,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374896,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374899,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374902,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374905,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374908,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374911,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374914,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374917,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374920,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374923,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374926,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374929,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374932,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374935,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374938,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374941,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374944,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374947,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374950,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374953,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374956,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374959,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374962,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374965,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374968,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374971,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374974,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374977,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374980,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374983,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374986,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374989,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374992,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374995,2,0.000076,0.000000,0.000000,0.000000,events/second
1606374998,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375001,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375004,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375007,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375010,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375013,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375016,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375019,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375022,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375025,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375028,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375031,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375034,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375037,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375040,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375043,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375046,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375049,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375052,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375055,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375058,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375061,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375064,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375067,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375070,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375073,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375076,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375079,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375082,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375085,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375088,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375091,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375094,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375097,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375100,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375103,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375106,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375109,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375112,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375115,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375118,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375121,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375124,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375127,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375130,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375133,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375136,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375139,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375142,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375145,2,0.000076,0.000000,0.000000,0.000000,events/second
1606375148,2,0.000076,0.000000,0.000000,0.000000,events/second
