t,value
1601675475,3145728
1601675478,3145728
1601675481,3145728
1601675484,3145728
1601675487,3145728
1601675490,3145728
1601675493,3145728
1601675496,3145728
1601675499,3145728
1601675502,3145728
1601675505,3145728
1601675508,3145728
1601675511,3145728
1601675514,3145728
1601675517,3145728
1601675520,3145728
1601675523,3145728
1601675526,3145728
1601675529,3145728
1601675532,3145728
1601675535,3145728
1601675538,3145728
1601675541,3145728
1601675544,3145728
1601675547,3145728
1601675550,3145728
1601675553,3145728
1601675556,3145728
1601675559,3145728
1601675562,3145728
1601675565,3145728
1601675568,3145728
1601675571,3145728
1601675574,3145728
1601675577,3145728
1601675580,3145728
1601675583,3145728
1601675586,3145728
1601675589,3145728
1601675592,3145728
1601675595,3145728
1601675598,3145728
1601675601,3145728
1601675604,3145728
1601675607,3145728
1601675610,3145728
1601675613,3145728
1601675616,3145728
1601675619,3145728
1601675622,3145728
1601675625,3145728
1601675628,3145728
1601675631,3145728
1601675634,3145728
1601675637,3145728
1601675640,3145728
1601675643,3145728
1601675646,3145728
1601675649,3145728
1601675652,3145728
1601675655,3145728
1601675658,3145728
1601675661,3145728
1601675664,3145728
1601675667,3145728
1601675670,3145728
1601675673,3145728
1601675676,3145728
1601675679,3145728
1601675682,3145728
1601675685,3145728
1601675688,3145728
1601675691,3145728
1601675694,3145728
1601675697,3145728
1601675700,3145728
1601675703,3145728
1601675706,3145728
1601675709,3145728
1601675712,3145728
1601675715,3145728
1601675718,3145728
1601675721,3145728
1601675724,3145728
1601675727,3145728
1601675730,3145728
1601675733,3145728
1601675736,3145728
1601675739,3145728
1601675742,3145728
1601675745,3145728
1601675748,3145728
1601675751,3145728
1601675754,3145728
1601675757,3145728
1601675760,3145728
1601675763,3145728
1601675766,3145728
1601675769,3145728
1601675772,3145728
1601675775,3145728
1601675778,3145728
1601675781,3145728
1601675784,3145728
1601675787,3145728
1601675790,3145728
1601675793,3145728
1601675796,3145728
1601675799,3145728
1601675802,3145728
1601675805,3145728
1601675808,3145728
1601675811,3145728
1601675814,3145728
1601675817,3145728
1601675820,3145728
1601675823,3145728
1601675826,3145728
1601675829,3145728
1601675832,3145728
1601675835,3145728
1601675838,3145728
1601675841,3145728
1601675844,3145728
1601675847,3145728
1601675850,3145728
1601675853,3145728
1601675856,3145728
1601675859,3145728
1601675862,3145728
1601675865,3145728
1601675868,3145728
1601675871,3145728
1601675874,3145728
1601675877,3145728
1601675880,3145728
1601675883,3145728
1601675886,3145728
1601675889,3145728
1601675892,3145728
1601675895,3145728
1601675898,3145728
1601675901,3145728
1601675904,3145728
1601675907,3145728
1601675910,3145728
1601675913,3145728
1601675916,3145728
1601675919,3145728
1601675922,3145728
1601675925,3145728
1601675928,3145728
1601675931,3145728
1601675934,3145728
1601675937,3145728
1601675940,3145728
1601675943,3145728
1601675946,3145728
1601675949,3145728
1601675952,3145728
1601675955,3145728
1601675958,3145728
1601675961,3145728
1601675964,3145728
1601675967,3145728
1601675970,3145728
1601675973,3145728
1601675976,3145728
1601675979,3145728
1601675982,3145728
1601675985,3145728
1601675988,3145728
1601675991,3145728
1601675994,3145728
1601675997,3145728
1601676000,3145728
1601676003,3145728
1601676006,3145728
1601676009,3145728
1601676012,3145728
1601676015,3145728
1601676018,3145728
1601676021,3145728
1601676024,3145728
1601676027,3145728
1601676030,3145728
1601676033,3145728
1601676036,3145728
1601676039,3145728
1601676042,3145728
1601676045,3145728
1601676048,3145728
1601676051,3145728
1601676054,3145728
1601676057,3145728
1601676060,3145728
1601676063,3145728
1601676066,3145728
1601676069,3145728
1601676072,3145728
1601676075,3145728
1601676078,3145728
1601676081,3145728
1601676084,3145728
1601676087,3145728
1601676090,3145728
1601676093,3145728
1601676096,3145728
1601676099,3145728
1601676102,3145728
1601676105,3145728
1601676108,3145728
1601676111,3145728
1601676114,3145728
1601676117,3145728
1601676120,3145728
1601676123,3145728
1601676126,3145728
1601676129,3145728
1601676132,3145728
1601676135,3145728
1601676138,3145728
1601676141,3145728
1601676144,3145728
1601676147,3145728
1601676150,3145728
1601676153,3145728
1601676156,3145728
1601676159,3145728
1601676162,3145728
1601676165,3145728
1601676168,3145728
1601676171,3145728
1601676174,3145728
1601676177,3145728
1601676180,3145728
1601676183,3145728
1601676186,3145728
1601676189,3145728
1601676192,3145728
1601676195,3145728
1601676198,3145728
1601676201,3145728
1601676204,3145728
1601676207,3145728
1601676210,3145728
1601676213,3145728
1601676216,3145728
1601676219,3145728
1601676222,3145728
1601676225,3145728
1601676228,3145728
1601676231,3145728
1601676234,3145728
1601676237,3145728
1601676240,3145728
1601676243,3145728
1601676246,3145728
1601676249,3145728
1601676252,3145728
1601676255,3145728
1601676258,3145728
1601676261,3145728
1601676264,3145728
1601676267,3145728
1601676270,3145728
1601676273,3145728
1601676276,3145728
1601676279,3145728
1601676282,3145728
1601676285,3145728
1601676288,3145728
1601676291,3145728
1601676294,3145728
1601676297,3145728
1601676300,3145728
1601676303,3145728
1601676306,3145728
1601676309,3145728
1601676312,3145728
1601676315,3145728
1601676318,3145728
1601676321,3145728
1601676324,3145728
1601676327,3145728
1601676330,3145728
1601676333,3145728
1601676336,3145728
1601676339,3145728
1601676342,3145728
1601676345,3145728
1601676348,3145728
1601676351,3145728
1601676354,3145728
1601676357,3145728
1601676360,3145728
1601676363,3145728
1601676366,3145728
1601676369,3145728
1601676372,3145728
1601676375,3145728
1601676378,3145728
1601676381,3145728
1601676384,3145728
1601676387,3145728
1601676390,3145728
1601676393,3145728
1601676396,3145728
1601676399,3145728
1601676402,3145728
1601676405,3145728
1601676408,3145728
1601676411,3145728
1601676414,3145728
1601676417,3145728
1601676420,3145728
1601676423,3145728
1601676426,3145728
1601676429,3145728
1601676432,3145728
1601676435,3145728
1601676438,3145728
1601676441,3145728
1601676444,3145728
1601676447,3145728
1601676450,3145728
1601676453,3145728
1601676456,3145728
1601676459,3145728
1601676462,3145728
1601676465,3145728
1601676468,3145728
1601676471,3145728
1601676474,3145728
1601676477,3145728
1601676480,3145728
1601676483,3145728
1601676486,3145728
1601676489,3145728
1601676492,3145728
1601676495,3145728
1601676498,3145728
1601676501,3145728
1601676504,3145728
1601676507,3145728
1601676510,3145728
1601676513,3145728
1601676516,3145728
1601676519,3145728
1601676522,3145728
1601676525,3145728
1601676528,3145728
1601676531,3145728
1601676534,3145728
1601676537,3145728
1601676540,3145728
1601676543,3145728
1601676546,3145728
1601676549,3145728
1601676552,3145728
1601676555,3145728
1601676558,3145728
1601676561,3145728
1601676564,3145728
1601676567,3145728
1601676570,3145728
1601676573,3145728
1601676576,3145728
1601676579,3145728
1601676582,3145728
1601676585,3145728
1601676588,3145728
1601676591,3145728
1601676594,3145728
1601676597,3145728
1601676600,3145728
1601676603,3145728
1601676606,3145728
1601676609,3145728
1601676612,3145728
1601676615,3145728
1601676618,3145728
1601676621,3145728
1601676624,3145728
1601676627,3145728
1601676630,3145728
1601676633,3145728
1601676636,3145728
1601676639,3145728
1601676642,3145728
1601676645,3145728
1601676648,3145728
1601676651,3145728
1601676654,3145728
1601676657,3145728
1601676660,3145728
1601676663,3145728
1601676666,3145728
1601676669,3145728
1601676672,3145728
1601676675,3145728
1601676678,3145728
1601676681,3145728
1601676684,3145728
1601676687,3145728
1601676690,3145728
1601676693,3145728
1601676696,3145728
1601676699,3145728
1601676702,3145728
1601676705,3145728
1601676708,3145728
1601676711,3145728
1601676714,3145728
1601676717,3145728
1601676720,3145728
1601676723,3145728
1601676726,3145728
1601676729,3145728
1601676732,3145728
1601676735,3145728
1601676738,3145728
1601676741,3145728
1601676744,3145728
1601676747,3145728
1601676750,3145728
1601676753,3145728
1601676756,3145728
1601676759,3145728
1601676762,3145728
1601676765,3145728
1601676768,3145728
1601676771,3145728
1601676774,3145728
1601676777,3145728
1601676780,3145728
1601676783,3145728
1601676786,3145728
1601676789,3145728
1601676792,3145728
1601676795,3145728
1601676798,3145728
1601676801,3145728
1601676804,3145728
1601676807,3145728
1601676810,3145728
1601676813,3145728
1601676816,3145728
1601676819,3145728
1601676822,3145728
1601676825,3145728
1601676828,3145728
1601676831,3145728
1601676834,3145728
1601676837,3145728
1601676840,3145728
1601676843,3145728
1601676846,3145728
1601676849,3145728
1601676852,3145728
1601676855,3145728
1601676858,3145728
1601676861,3145728
1601676864,3145728
1601676867,3145728
1601676870,3145728
1601676873,3145728
1601676876,3145728
1601676879,3145728
1601676882,3145728
1601676885,3145728
1601676888,3145728
1601676891,3145728
1601676894,3145728
1601676897,3145728
1601676900,3145728
1601676903,3145728
1601676906,3145728
1601676909,3145728
1601676912,3145728
1601676915,3145728
1601676918,3145728
1601676921,3145728
1601676924,3145728
1601676927,3145728
1601676930,3145728
1601676933,3145728
1601676936,3145728
1601676939,3145728
1601676942,3145728
1601676945,3145728
1601676948,3145728
1601676951,3145728
1601676954,3145728
1601676957,3145728
1601676960,3145728
1601676963,3145728
1601676966,3145728
1601676969,3145728
1601676972,3145728
1601676975,3145728
1601676978,3145728
1601676981,3145728
1601676984,3145728
1601676987,3145728
1601676990,3145728
1601676993,3145728
1601676996,3145728
1601676999,3145728
1601677002,3145728
1601677005,3145728
1601677008,3145728
1601677011,3145728
1601677014,3145728
1601677017,3145728
1601677020,3145728
1601677023,3145728
1601677026,3145728
1601677029,3145728
1601677032,3145728
1601677035,3145728
1601677038,3145728
1601677041,3145728
1601677044,3145728
1601677047,3145728
1601677050,3145728
1601677053,3145728
1601677056,3145728
1601677059,3145728
1601677062,3145728
1601677065,3145728
1601677068,3145728
1601677071,3145728
1601677074,3145728
1601677077,3145728
1601677080,3145728
1601677083,3145728
1601677086,3145728
1601677089,3145728
1601677092,3145728
1601677095,3145728
1601677098,3145728
1601677101,3145728
1601677104,3145728
1601677107,3145728
1601677110,3145728
1601677113,3145728
1601677116,3145728
1601677119,3145728
1601677122,3145728
1601677125,3145728
1601677128,3145728
1601677131,3145728
1601677134,3145728
1601677137,3145728
1601677140,3145728
1601677143,3145728
1601677146,3145728
1601677149,3145728
1601677152,3145728
1601677155,3145728
1601677158,3145728
1601677161,3145728
1601677164,3145728
1601677167,3145728
1601677170,3145728
1601677173,3145728
1601677176,3145728
1601677179,3145728
1601677182,3145728
1601677185,3145728
1601677188,3145728
1601677191,3145728
1601677194,3145728
1601677197,3145728
1601677200,3145728
1601677203,3145728
1601677206,3145728
1601677209,3145728
1601677212,3145728
1601677215,3145728
1601677218,3145728
1601677221,3145728
1601677224,3145728
1601677227,3145728
1601677230,3145728
1601677233,3145728
1601677236,3145728
1601677239,3145728
1601677242,3145728
1601677245,3145728
1601677248,3145728
1601677251,3145728
1601677254,3145728
1601677257,3145728
1601677260,3145728
1601677263,3145728
1601677266,3145728
1601677269,3145728
1601677272,3145728
1601677275,3145728
1601677278,3145728
1601677281,3145728
1601677284,3145728
1601677287,3145728
1601677290,3145728
1601677293,3145728
1601677296,3145728
1601677299,3145728
1601677302,3145728
1601677305,3145728
1601677308,3145728
1601677311,3145728
1601677314,3145728
1601677317,3145728
1601677320,3145728
1601677323,3145728
1601677326,3145728
1601677329,3145728
1601677332,3145728
1601677335,3145728
1601677338,3145728
1601677341,3145728
1601677344,3145728
1601677347,3145728
1601677350,3145728
1601677353,3145728
1601677356,3145728
1601677359,3145728
1601677362,3145728
1601677365,3145728
1601677368,3145728
1601677371,3145728
1601677374,3145728
1601677377,3145728
1601677380,3145728
1601677383,3145728
1601677386,3145728
1601677389,3145728
1601677392,3145728
1601677395,3145728
1601677398,3145728
1601677401,3145728
1601677404,3145728
1601677407,3145728
1601677410,3145728
1601677413,3145728
1601677416,3145728
1601677419,3145728
1601677422,3145728
1601677425,3145728
1601677428,3145728
1601677431,3145728
1601677434,3145728
1601677437,3145728
1601677440,3145728
1601677443,3145728
1601677446,3145728
1601677449,3145728
1601677452,3145728
1601677455,3145728
1601677458,3145728
1601677461,3145728
1601677464,3145728
1601677467,3145728
1601677470,3145728
1601677473,3145728
