t,value
1601675475,4194304
1601675478,4194304
1601675481,4194304
1601675484,4194304
1601675487,4194304
1601675490,4194304
1601675493,4194304
1601675496,4194304
1601675499,4194304
1601675502,4194304
1601675505,4194304
1601675508,4194304
1601675511,4194304
1601675514,4194304
1601675517,4194304
1601675520,4194304
1601675523,4194304
1601675526,4194304
1601675529,4194304
1601675532,4194304
1601675535,4194304
1601675538,4194304
1601675541,4194304
1601675544,4194304
1601675547,4194304
1601675550,4194304
1601675553,4194304
1601675556,4194304
1601675559,4194304
1601675562,4194304
1601675565,4194304
1601675568,4194304
1601675571,4194304
1601675574,4194304
1601675577,4194304
1601675580,4194304
1601675583,4194304
1601675586,4194304
1601675589,4194304
1601675592,4194304
1601675595,4194304
1601675598,4194304
1601675601,4194304
1601675604,4194304
1601675607,4194304
1601675610,4194304
1601675613,4194304
1601675616,4194304
1601675619,4194304
1601675622,4194304
1601675625,4194304
1601675628,4194304
1601675631,4194304
1601675634,4194304
1601675637,4194304
1601675640,4194304
1601675643,4194304
1601675646,4194304
1601675649,4194304
1601675652,4194304
1601675655,4194304
1601675658,4194304
1601675661,4194304
1601675664,4194304
1601675667,4194304
1601675670,4194304
1601675673,4194304
1601675676,4194304
1601675679,4194304
1601675682,4194304
1601675685,4194304
1601675688,4194304
1601675691,4194304
1601675694,4194304
1601675697,4194304
1601675700,4194304
1601675703,4194304
1601675706,4194304
1601675709,4194304
1601675712,4194304
1601675715,4194304
1601675718,4194304
1601675721,4194304
1601675724,4194304
1601675727,4194304
1601675730,4194304
1601675733,4194304
1601675736,4194304
1601675739,4194304
1601675742,4194304
1601675745,4194304
1601675748,4194304
1601675751,4194304
1601675754,4194304
1601675757,4194304
1601675760,4194304
1601675763,4194304
1601675766,4194304
1601675769,4194304
1601675772,4194304
1601675775,4194304
1601675778,4194304
1601675781,4194304
1601675784,4194304
1601675787,4194304
1601675790,4194304
1601675793,4194304
1601675796,4194304
1601675799,4194304
1601675802,4194304
1601675805,4194304
1601675808,4194304
1601675811,4194304
1601675814,4194304
1601675817,4194304
1601675820,4194304
1601675823,4194304
1601675826,4194304
1601675829,4194304
1601675832,4194304
1601675835,4194304
1601675838,4194304
1601675841,4194304
1601675844,4194304
1601675847,4194304
1601675850,4194304
1601675853,4194304
1601675856,4194304
1601675859,4194304
1601675862,4194304
1601675865,4194304
1601675868,4194304
1601675871,4194304
1601675874,4194304
1601675877,4194304
1601675880,4194304
1601675883,4194304
1601675886,4194304
1601675889,4194304
1601675892,4194304
1601675895,4194304
1601675898,4194304
1601675901,4194304
1601675904,4194304
1601675907,4194304
1601675910,4194304
1601675913,4194304
1601675916,4194304
1601675919,4194304
1601675922,4194304
1601675925,4194304
1601675928,4194304
1601675931,4194304
1601675934,4194304
1601675937,4194304
1601675940,4194304
1601675943,4194304
1601675946,4194304
1601675949,4194304
1601675952,4194304
1601675955,4194304
1601675958,4194304
1601675961,4194304
1601675964,4194304
1601675967,4194304
1601675970,4194304
1601675973,4194304
1601675976,4194304
1601675979,4194304
1601675982,4194304
1601675985,4194304
1601675988,4194304
1601675991,4194304
1601675994,4194304
1601675997,4194304
1601676000,4194304
1601676003,4194304
1601676006,4194304
1601676009,4194304
1601676012,4194304
1601676015,4194304
1601676018,4194304
1601676021,4194304
1601676024,4194304
1601676027,4194304
1601676030,4194304
1601676033,4194304
1601676036,4194304
1601676039,4194304
1601676042,4194304
1601676045,4194304
1601676048,4194304
1601676051,4194304
1601676054,4194304
1601676057,4194304
1601676060,4194304
1601676063,4194304
1601676066,4194304
1601676069,4194304
1601676072,4194304
1601676075,4194304
1601676078,4194304
1601676081,4194304
1601676084,4194304
1601676087,4194304
1601676090,4194304
1601676093,4194304
1601676096,4194304
1601676099,4194304
1601676102,4194304
1601676105,4194304
1601676108,4194304
1601676111,4194304
1601676114,4194304
1601676117,4194304
1601676120,4194304
1601676123,4194304
1601676126,4194304
1601676129,4194304
1601676132,4194304
1601676135,4194304
1601676138,4194304
1601676141,4194304
1601676144,4194304
1601676147,4194304
1601676150,4194304
1601676153,4194304
1601676156,4194304
1601676159,4194304
1601676162,4194304
1601676165,4194304
1601676168,4194304
1601676171,4194304
1601676174,4194304
1601676177,4194304
1601676180,4194304
1601676183,4194304
1601676186,4194304
1601676189,4194304
1601676192,4194304
1601676195,4194304
1601676198,4194304
1601676201,4194304
1601676204,4194304
1601676207,4194304
1601676210,4194304
1601676213,4194304
1601676216,4194304
1601676219,4194304
1601676222,4194304
1601676225,4194304
1601676228,4194304
1601676231,4194304
1601676234,4194304
1601676237,4194304
1601676240,4194304
1601676243,4194304
1601676246,4194304
1601676249,4194304
1601676252,4194304
1601676255,4194304
1601676258,4194304
1601676261,4194304
1601676264,4194304
1601676267,4194304
1601676270,4194304
1601676273,4194304
1601676276,4194304
1601676279,4194304
1601676282,4194304
1601676285,4194304
1601676288,4194304
1601676291,4194304
1601676294,4194304
1601676297,4194304
1601676300,4194304
1601676303,4194304
1601676306,4194304
1601676309,4194304
1601676312,4194304
1601676315,4194304
1601676318,4194304
1601676321,4194304
1601676324,4194304
1601676327,4194304
1601676330,4194304
1601676333,4194304
1601676336,4194304
1601676339,4194304
1601676342,4194304
1601676345,4194304
1601676348,4194304
1601676351,4194304
1601676354,4194304
1601676357,4194304
1601676360,4194304
1601676363,4194304
1601676366,4194304
1601676369,4194304
1601676372,4194304
1601676375,4194304
1601676378,4194304
1601676381,4194304
1601676384,4194304
1601676387,4194304
1601676390,4194304
1601676393,4194304
1601676396,4194304
1601676399,4194304
1601676402,4194304
1601676405,4194304
1601676408,4194304
1601676411,4194304
1601676414,4194304
1601676417,4194304
1601676420,4194304
1601676423,4194304
1601676426,4194304
1601676429,4194304
1601676432,4194304
1601676435,4194304
1601676438,4194304
1601676441,4194304
1601676444,4194304
1601676447,4194304
1601676450,4194304
1601676453,4194304
1601676456,4194304
1601676459,4194304
1601676462,4194304
1601676465,4194304
1601676468,4194304
1601676471,4194304
1601676474,4194304
1601676477,4194304
1601676480,4194304
1601676483,4194304
1601676486,4194304
1601676489,4194304
1601676492,4194304
1601676495,4194304
1601676498,4194304
1601676501,4194304
1601676504,4194304
1601676507,4194304
1601676510,4194304
1601676513,4194304
1601676516,4194304
1601676519,4194304
1601676522,4194304
1601676525,4194304
1601676528,4194304
1601676531,4194304
1601676534,4194304
1601676537,4194304
1601676540,4194304
1601676543,4194304
1601676546,4194304
1601676549,4194304
1601676552,4194304
1601676555,4194304
1601676558,4194304
1601676561,4194304
1601676564,4194304
1601676567,4194304
1601676570,4194304
1601676573,4194304
1601676576,4194304
1601676579,4194304
1601676582,4194304
1601676585,4194304
1601676588,4194304
1601676591,4194304
1601676594,4194304
1601676597,4194304
1601676600,4194304
1601676603,4194304
1601676606,4194304
1601676609,4194304
1601676612,4194304
1601676615,4194304
1601676618,4194304
1601676621,4194304
1601676624,4194304
1601676627,4194304
1601676630,4194304
1601676633,4194304
1601676636,4194304
1601676639,4194304
1601676642,4194304
1601676645,4194304
1601676648,4194304
1601676651,4194304
1601676654,4194304
1601676657,4194304
1601676660,4194304
1601676663,4194304
1601676666,4194304
1601676669,4194304
1601676672,4194304
1601676675,4194304
1601676678,4194304
1601676681,4194304
1601676684,4194304
1601676687,4194304
1601676690,4194304
1601676693,4194304
1601676696,4194304
1601676699,4194304
1601676702,4194304
1601676705,4194304
1601676708,4194304
1601676711,4194304
1601676714,4194304
1601676717,4194304
1601676720,4194304
1601676723,4194304
1601676726,4194304
1601676729,4194304
1601676732,4194304
1601676735,4194304
1601676738,4194304
1601676741,4194304
1601676744,4194304
1601676747,4194304
1601676750,4194304
1601676753,4194304
1601676756,4194304
1601676759,4194304
1601676762,4194304
1601676765,4194304
1601676768,4194304
1601676771,4194304
1601676774,4194304
1601676777,4194304
1601676780,4194304
1601676783,4194304
1601676786,4194304
1601676789,4194304
1601676792,4194304
1601676795,4194304
1601676798,4194304
1601676801,4194304
1601676804,4194304
1601676807,4194304
1601676810,4194304
1601676813,4194304
1601676816,4194304
1601676819,4194304
1601676822,4194304
1601676825,4194304
1601676828,4194304
1601676831,4194304
1601676834,4194304
1601676837,4194304
1601676840,4194304
1601676843,4194304
1601676846,4194304
1601676849,4194304
1601676852,4194304
1601676855,4194304
1601676858,4194304
1601676861,4194304
1601676864,4194304
1601676867,4194304
1601676870,4194304
1601676873,4194304
1601676876,4194304
1601676879,4194304
1601676882,4194304
1601676885,4194304
1601676888,4194304
1601676891,4194304
