t,value
1601675475,229520
1601675478,230592
1601675481,230592
1601675484,230592
1601675487,230592
1601675490,230592
1601675493,230592
1601675496,230592
1601675499,230592
1601675502,231488
1601675505,233512
1601675508,233512
1601675511,233512
1601675514,233512
1601675517,233512
1601675520,233512
1601675523,234944
1601675526,234944
1601675529,234944
1601675532,235088
1601675535,235088
1601675538,235088
1601675541,236240
1601675544,236824
1601675547,236976
1601675550,236976
1601675553,237128
1601675556,237128
1601675559,237128
1601675562,238560
1601675565,238560
1601675568,238560
1601675571,238856
1601675574,238856
1601675577,238856
1601675580,238856
1601675583,240288
1601675586,240288
1601675589,240288
1601675592,240288
1601675595,240288
1601675598,240288
1601675601,240288
1601675604,241720
1601675607,241720
1601675610,241720
1601675613,241864
1601675616,242304
1601675619,242456
1601675622,243888
1601675625,243888
1601675628,243888
1601675631,243888
1601675634,243888
1601675637,243888
1601675640,243888
1601675643,245320
1601675646,245320
1601675649,245320
1601675652,245320
1601675655,245320
1601675658,245320
1601675661,245320
1601675664,246752
1601675667,246752
1601675670,246752
1601675673,246752
1601675676,246752
1601675679,246752
1601675682,248184
1601675685,248184
1601675688,248184
1601675691,248184
1601675694,248184
1601675697,248184
1601675700,248184
1601675703,249616
1601675706,249616
1601675709,249616
1601675712,249616
1601675715,249616
1601675718,249616
1601675721,249616
1601675724,251048
1601675727,251048
1601675730,251048
1601675733,251048
1601675736,251048
1601675739,251048
1601675742,252480
1601675745,252480
1601675748,252480
1601675751,252480
1601675754,252480
1601675757,252480
1601675760,252480
1601675763,253912
1601675766,253912
1601675769,253912
1601675772,253912
1601675775,253912
1601675778,253912
1601675781,253912
1601675784,255344
1601675787,255344
1601675790,255344
1601675793,255344
1601675796,255344
1601675799,255344
1601675802,256776
1601675805,256776
1601675808,256776
1601675811,256776
1601675814,256776
1601675817,256776
1601675820,256776
1601675823,258512
1601675826,258512
1601675829,258512
1601675832,258512
1601675835,258512
1601675838,258512
1601675841,258512
1601675844,259944
1601675847,259944
1601675850,259944
1601675853,259944
1601675856,259944
1601675859,259944
1601675862,261376
1601675865,261376
1601675868,261376
1601675871,261376
1601675874,261376
1601675877,261376
1601675880,261376
1601675883,262808
1601675886,262808
1601675889,262952
1601675892,262952
1601675895,262952
1601675898,262952
1601675901,262952
1601675904,264384
1601675907,264384
1601675910,264384
1601675913,264384
1601675916,264384
1601675919,264384
1601675922,265816
1601675925,265816
1601675928,265816
1601675931,265816
1601675934,265816
1601675937,265816
1601675940,265816
1601675943,267248
1601675946,267248
1601675949,267248
1601675952,267248
1601675955,267248
1601675958,267248
1601675961,267248
1601675964,268680
1601675967,268680
1601675970,269256
1601675973,269408
1601675976,269560
1601675979,269560
1601675982,270992
1601675985,270992
1601675988,270992
1601675991,270992
1601675994,270992
1601675997,270992
1601676000,270992
1601676003,272424
1601676006,272424
1601676009,272424
1601676012,272424
1601676015,272424
1601676018,272424
1601676021,272424
1601676024,273856
1601676027,273856
1601676030,273856
1601676033,273856
1601676036,273856
1601676039,273856
1601676042,275288
1601676045,275288
1601676048,275288
1601676051,275288
1601676054,275288
1601676057,275288
1601676060,275288
1601676063,276720
1601676066,276720
1601676069,276720
1601676072,276872
1601676075,276872
1601676078,276872
1601676081,277024
1601676084,278608
1601676087,278608
1601676090,278608
1601676093,278928
1601676096,279096
1601676099,279096
1601676102,280528
1601676105,282120
1601676108,282288
1601676111,282608
1601676114,284368
1601676117,284368
1601676120,284536
1601676123,287896
1601676126,289680
1601676129,290144
1601676132,290144
1601676135,290144
1601676138,291904
1601676141,292072
1601676144,293824
1601676147,295416
1601676150,295584
1601676153,295584
1601676156,296072
1601676159,296072
1601676162,297504
1601676165,297832
1601676168,297832
1601676171,297832
1601676174,297992
1601676177,297992
1601676180,298168
1601676183,299600
1601676186,299600
1601676189,299600
1601676192,299784
1601676195,299784
1601676198,299784
1601676201,299784
1601676204,301216
1601676207,301216
1601676210,301216
1601676213,301216
1601676216,301216
1601676219,301216
1601676222,302496
1601676225,302648
1601676228,302648
1601676231,302648
1601676234,302648
1601676237,302648
1601676240,302648
1601676243,304080
1601676246,304080
1601676249,304080
1601676252,304080
1601676255,304080
1601676258,304080
1601676261,304080
1601676264,305512
1601676267,305512
1601676270,305512
1601676273,305512
1601676276,305512
1601676279,305512
1601676282,306792
1601676285,306944
1601676288,306944
1601676291,306944
1601676294,306944
1601676297,306944
1601676300,306944
1601676303,308376
1601676306,308376
1601676309,308376
1601676312,308376
1601676315,308376
1601676318,308376
1601676321,308376
1601676324,309808
1601676327,309808
1601676330,309808
1601676333,309808
1601676336,309808
1601676339,309808
1601676342,311088
1601676345,311240
1601676348,311240
1601676351,311240
1601676354,311240
1601676357,311240
1601676360,311240
1601676363,312672
1601676366,312672
1601676369,312672
1601676372,312672
1601676375,312672
1601676378,312672
1601676381,312672
1601676384,314104
1601676387,314104
1601676390,314104
1601676393,314104
1601676396,314104
1601676399,314104
1601676402,315240
1601676405,315536
1601676408,315536
1601676411,315536
1601676414,315536
1601676417,315536
1601676420,315536
1601676423,316968
1601676426,316968
1601676429,316968
1601676432,316968
1601676435,316968
1601676438,316968
1601676441,316968
1601676444,318400
1601676447,318400
1601676450,318400
1601676453,318400
1601676456,318400
1601676459,318400
1601676462,319536
1601676465,319832
1601676468,319832
1601676471,319832
1601676474,319832
1601676477,319832
1601676480,319832
1601676483,321264
1601676486,321264
1601676489,321264
1601676492,321264
1601676495,321264
1601676498,321264
1601676501,321264
1601676504,322696
1601676507,322696
1601676510,322696
1601676513,322696
1601676516,322696
1601676519,322696
1601676522,323832
1601676525,324128
1601676528,324128
1601676531,324128
1601676534,324128
1601676537,324128
1601676540,324128
1601676543,325560
1601676546,325560
1601676549,325560
1601676552,325560
1601676555,325560
1601676558,325560
1601676561,325560
1601676564,326992
1601676567,326992
1601676570,326992
1601676573,326992
1601676576,326992
1601676579,326992
1601676582,328128
1601676585,328424
1601676588,328424
1601676591,328424
1601676594,328424
1601676597,328424
1601676600,328424
1601676603,329856
1601676606,329856
1601676609,329856
1601676612,329856
1601676615,329856
1601676618,329856
1601676621,329856
1601676624,331288
1601676627,331288
1601676630,331288
1601676633,331288
1601676636,331288
1601676639,331288
1601676642,332424
1601676645,332720
1601676648,332720
1601676651,332720
1601676654,332720
1601676657,332720
1601676660,332720
1601676663,334152
1601676666,334152
1601676669,334152
1601676672,334152
1601676675,334152
1601676678,334152
1601676681,334152
1601676684,335584
1601676687,335584
1601676690,335584
1601676693,335584
1601676696,335584
1601676699,335584
1601676702,336720
1601676705,337016
1601676708,337016
1601676711,337016
1601676714,337016
1601676717,337016
1601676720,337016
1601676723,338448
1601676726,338448
1601676729,338448
1601676732,338448
1601676735,338448
1601676738,338448
1601676741,338448
1601676744,339880
1601676747,339880
1601676750,339880
1601676753,339880
1601676756,339880
1601676759,339880
1601676762,341016
1601676765,341312
1601676768,341312
1601676771,341312
1601676774,341312
1601676777,341312
1601676780,341312
1601676783,342744
1601676786,342744
1601676789,342744
1601676792,342744
1601676795,342744
1601676798,342744
1601676801,342744
1601676804,344176
1601676807,344176
1601676810,344176
1601676813,344176
1601676816,344176
1601676819,344176
1601676822,345312
1601676825,345608
1601676828,345608
1601676831,345608
1601676834,345608
1601676837,345608
1601676840,345608
1601676843,347040
1601676846,347040
1601676849,347040
1601676852,347040
1601676855,347040
1601676858,347040
1601676861,347040
1601676864,348472
1601676867,348472
1601676870,348472
1601676873,348472
1601676876,348472
1601676879,348472
1601676882,349608
1601676885,349904
1601676888,349904
1601676891,349904
1601676894,349904
1601676897,349904
1601676900,349904
1601676903,351336
1601676906,351336
1601676909,351336
1601676912,351336
1601676915,351336
1601676918,351336
1601676921,351336
1601676924,352768
1601676927,352768
1601676930,352768
1601676933,352768
1601676936,352768
1601676939,352768
1601676942,353904
1601676945,354200
