t,value
1601675475,0
1601675478,0
1601675481,0
1601675484,0
1601675487,0
1601675490,0
1601675493,0
1601675496,0
1601675499,0
1601675502,0
1601675505,0
1601675508,0
1601675511,0
1601675514,0
1601675517,0
1601675520,0
1601675523,0
1601675526,0
1601675529,0
1601675532,0
1601675535,0
1601675538,0
1601675541,2097152
1601675544,0
1601675547,0
1601675550,0
1601675553,0
1601675556,0
1601675559,0
1601675562,0
1601675565,0
1601675568,0
1601675571,0
1601675574,0
1601675577,0
1601675580,0
1601675583,0
1601675586,0
1601675589,0
1601675592,0
1601675595,0
1601675598,0
1601675601,0
1601675604,0
1601675607,0
1601675610,0
1601675613,0
1601675616,0
1601675619,0
1601675622,0
1601675625,0
1601675628,0
1601675631,0
1601675634,0
1601675637,0
1601675640,0
1601675643,0
1601675646,0
1601675649,0
1601675652,0
1601675655,0
1601675658,0
1601675661,0
1601675664,0
1601675667,0
1601675670,0
1601675673,0
1601675676,0
1601675679,0
1601675682,0
1601675685,0
1601675688,0
1601675691,0
1601675694,0
1601675697,0
1601675700,0
1601675703,0
1601675706,0
1601675709,0
1601675712,0
1601675715,0
1601675718,0
1601675721,0
1601675724,0
1601675727,0
1601675730,0
1601675733,0
1601675736,0
1601675739,0
1601675742,0
1601675745,0
1601675748,0
1601675751,0
1601675754,0
1601675757,0
1601675760,0
1601675763,0
1601675766,0
1601675769,0
1601675772,0
1601675775,0
1601675778,0
1601675781,0
1601675784,0
1601675787,0
1601675790,0
1601675793,0
1601675796,0
1601675799,0
1601675802,0
1601675805,0
1601675808,0
1601675811,0
1601675814,0
1601675817,0
1601675820,0
1601675823,0
1601675826,0
1601675829,0
1601675832,0
1601675835,0
1601675838,0
1601675841,0
1601675844,0
1601675847,0
1601675850,0
1601675853,0
1601675856,0
1601675859,0
1601675862,0
1601675865,0
1601675868,0
1601675871,0
1601675874,0
1601675877,0
1601675880,0
1601675883,0
1601675886,0
1601675889,0
1601675892,0
1601675895,0
1601675898,0
1601675901,0
1601675904,0
1601675907,0
1601675910,0
1601675913,0
1601675916,0
1601675919,0
1601675922,0
1601675925,0
1601675928,0
1601675931,0
1601675934,0
1601675937,0
1601675940,0
1601675943,0
1601675946,0
1601675949,0
1601675952,0
1601675955,0
1601675958,0
1601675961,0
1601675964,0
1601675967,0
1601675970,0
1601675973,0
1601675976,0
1601675979,0
1601675982,0
1601675985,0
1601675988,0
1601675991,0
1601675994,0
1601675997,0
1601676000,0
1601676003,0
1601676006,0
1601676009,0
1601676012,0
1601676015,0
1601676018,0
1601676021,0
1601676024,0
1601676027,0
1601676030,0
1601676033,0
1601676036,0
1601676039,0
1601676042,0
1601676045,0
1601676048,0
1601676051,0
1601676054,0
1601676057,0
1601676060,0
1601676063,0
1601676066,0
1601676069,0
1601676072,0
1601676075,0
1601676078,0
1601676081,0
1601676084,0
1601676087,0
1601676090,0
1601676093,0
1601676096,0
1601676099,0
1601676102,0
1601676105,0
1601676108,0
1601676111,0
1601676114,0
1601676117,0
1601676120,0
1601676123,0
1601676126,0
1601676129,0
1601676132,0
1601676135,0
1601676138,0
1601676141,0
1601676144,0
1601676147,0
1601676150,0
1601676153,0
1601676156,0
1601676159,0
1601676162,0
1601676165,0
1601676168,0
1601676171,0
1601676174,0
1601676177,0
1601676180,0
1601676183,0
1601676186,0
1601676189,0
1601676192,0
1601676195,0
1601676198,0
1601676201,0
1601676204,0
1601676207,0
1601676210,0
1601676213,0
1601676216,0
1601676219,0
1601676222,0
1601676225,0
1601676228,0
1601676231,0
1601676234,0
1601676237,0
1601676240,0
1601676243,0
1601676246,0
1601676249,0
1601676252,0
1601676255,0
1601676258,0
1601676261,0
1601676264,0
1601676267,0
1601676270,0
1601676273,0
1601676276,0
1601676279,0
1601676282,0
1601676285,0
1601676288,0
1601676291,0
1601676294,0
1601676297,0
1601676300,0
1601676303,0
1601676306,0
1601676309,0
1601676312,0
1601676315,0
1601676318,0
1601676321,0
1601676324,0
1601676327,0
1601676330,0
1601676333,0
1601676336,0
1601676339,0
1601676342,0
1601676345,0
1601676348,0
1601676351,0
1601676354,0
1601676357,0
1601676360,0
1601676363,0
1601676366,0
1601676369,0
1601676372,0
1601676375,0
1601676378,0
1601676381,0
1601676384,0
1601676387,0
1601676390,0
1601676393,0
1601676396,0
1601676399,0
1601676402,0
1601676405,0
1601676408,0
1601676411,0
1601676414,0
1601676417,0
1601676420,0
1601676423,0
1601676426,0
1601676429,0
1601676432,0
1601676435,0
1601676438,0
1601676441,0
1601676444,0
1601676447,0
1601676450,0
1601676453,0
1601676456,0
1601676459,0
1601676462,0
1601676465,0
1601676468,0
1601676471,0
1601676474,0
1601676477,0
1601676480,0
1601676483,0
1601676486,0
1601676489,0
1601676492,0
1601676495,0
1601676498,0
1601676501,0
1601676504,0
1601676507,0
1601676510,0
1601676513,0
1601676516,0
1601676519,0
1601676522,0
1601676525,0
1601676528,0
1601676531,0
1601676534,0
1601676537,0
1601676540,0
1601676543,0
1601676546,0
1601676549,0
1601676552,0
1601676555,0
1601676558,0
1601676561,0
1601676564,0
1601676567,0
1601676570,0
1601676573,0
1601676576,0
1601676579,0
1601676582,0
1601676585,0
1601676588,0
