t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606374884,5,0.000191,0.000000,0.000000,0.000000,events/second
1606374887,5,0.000191,0.000000,0.000000,0.000000,events/second
1606374890,5,0.000191,0.000000,0.000000,0.000000,events/second
1606374893,5,0.000191,0.000000,0.000000,0.000000,events/second
1606374896,5,0.000191,0.000000,0.000000,0.000000,events/second
1606374899,5,0.000191,0.000000,0.000000,0.000000,events/second
1606374902,5,0.000191,0.000000,0.000000,0.000000,events/second
1606374905,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374908,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374911,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374914,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374917,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374920,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374923,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374926,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374929,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374932,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374935,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374938,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374941,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374944,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374947,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374950,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374953,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374956,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374959,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374962,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374965,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374968,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374971,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374974,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374977,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374980,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374983,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374986,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374989,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374992,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374995,5,0.000190,0.000000,0.000000,0.000000,events/second
1606374998,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375001,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375004,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375007,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375010,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375013,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375016,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375019,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375022,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375025,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375028,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375031,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375034,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375037,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375040,5,0.000190,0.000000,0.000000,0.000000,events/second
1606375043,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375046,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375049,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375052,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375055,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375058,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375061,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375064,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375067,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375070,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375073,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375076,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375079,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375082,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375085,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375088,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375091,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375094,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375097,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375100,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375103,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375106,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375109,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375112,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375115,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375118,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375121,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375124,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375127,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375130,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375133,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375136,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375139,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375142,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375145,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375148,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375151,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375154,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375157,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375160,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375163,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375166,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375169,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375172,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375175,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375178,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375181,5,0.000189,0.000000,0.000000,0.000000,events/second
1606375184,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375187,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375190,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375193,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375196,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375199,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375202,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375205,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375208,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375211,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375214,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375217,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375220,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375223,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375226,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375229,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375232,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375235,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375238,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375241,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375244,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375247,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375250,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375253,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375256,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375259,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375262,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375265,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375268,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375271,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375274,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375277,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375280,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375283,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375286,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375289,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375292,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375295,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375298,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375301,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375304,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375307,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375310,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375313,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375316,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375319,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375322,5,0.000188,0.000000,0.000000,0.000000,events/second
1606375325,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375328,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375331,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375334,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375337,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375340,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375343,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375346,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375349,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375352,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375355,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375358,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375361,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375364,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375367,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375370,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375373,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375376,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375379,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375382,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375385,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375388,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375391,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375394,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375397,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375400,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375403,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375406,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375409,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375412,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375415,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375418,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375421,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375424,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375427,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375430,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375433,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375436,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375439,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375442,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375445,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375448,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375451,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375454,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375457,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375460,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375463,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375466,5,0.000187,0.000000,0.000000,0.000000,events/second
1606375469,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375472,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375475,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375478,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375481,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375484,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375487,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375490,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375493,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375496,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375499,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375502,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375505,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375508,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375511,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375514,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375517,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375520,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375523,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375526,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375529,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375532,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375535,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375538,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375541,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375544,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375547,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375550,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375553,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375556,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375559,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375562,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375565,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375568,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375571,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375574,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375577,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375580,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375583,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375586,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375589,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375592,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375595,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375598,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375601,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375604,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375607,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375610,5,0.000186,0.000000,0.000000,0.000000,events/second
1606375613,5,0.000185,0.000000,0.000000,0.000000,events/second
1606375616,5,0.000185,0.000000,0.000000,0.000000,events/second
1606375619,5,0.000185,0.000000,0.000000,0.000000,events/second
1606375622,5,0.000185,0.000000,0.000000,0.000000,events/second
1606375625,5,0.000185,0.000000,0.000000,0.000000,events/second
1606375628,5,0.000185,0.000000,0.000000,0.000000,events/second
1606375631,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375634,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375637,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375640,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375643,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375646,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375649,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375652,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375655,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375658,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375661,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375664,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375667,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375670,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375673,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375676,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375679,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375682,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375685,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375688,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375691,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375694,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375697,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375700,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375703,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375706,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375709,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375712,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375715,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375718,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375721,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375724,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375727,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375730,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375733,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375736,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375739,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375742,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375745,6,0.000222,0.000000,0.000000,0.000000,events/second
1606375748,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375751,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375754,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375757,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375760,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375763,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375766,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375769,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375772,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375775,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375778,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375781,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375784,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375787,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375790,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375793,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375796,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375799,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375802,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375805,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375808,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375811,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375814,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375817,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375820,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375823,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375826,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375829,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375832,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375835,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375838,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375841,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375844,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375847,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375850,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375853,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375856,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375859,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375862,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375865,6,0.000221,0.000000,0.000000,0.000000,events/second
1606375868,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375871,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375874,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375877,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375880,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375883,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375886,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375889,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375892,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375895,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375898,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375901,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375904,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375907,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375910,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375913,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375916,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375919,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375922,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375925,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375928,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375931,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375934,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375937,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375940,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375943,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375946,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375949,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375952,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375955,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375958,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375961,6,0.000220,0.000000,0.000000,0.000000,events/second
1606375964,6,0.000220,0.000000,0.000000,0.000000,events/second
