t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606369772,325,0.015392,0.000000,0.000000,0.000000,events/second
1606369775,325,0.015390,0.000000,0.000000,0.000000,events/second
1606369778,325,0.015388,0.000000,0.000000,0.000000,events/second
1606369781,325,0.015385,0.000000,0.000000,0.000000,events/second
1606369784,325,0.015383,0.000000,0.000000,0.000000,events/second
1606369787,325,0.015381,0.000000,0.000000,0.000000,events/second
1606369790,325,0.015379,0.000000,0.000000,0.000000,events/second
1606369793,325,0.015377,0.000000,0.000000,0.000000,events/second
1606369796,325,0.015374,0.000000,0.000000,0.000000,events/second
1606369799,325,0.015372,0.000000,0.000000,0.000000,events/second
1606369802,325,0.015370,0.000000,0.000000,0.000000,events/second
1606369805,325,0.015368,0.000000,0.000000,0.000000,events/second
1606369808,325,0.015366,0.000000,0.000000,0.000000,events/second
1606369811,325,0.015364,0.000000,0.000000,0.000000,events/second
1606369814,325,0.015361,0.000000,0.000000,0.000000,events/second
1606369817,325,0.015359,0.000000,0.000000,0.000000,events/second
1606369820,325,0.015357,0.000000,0.000000,0.000000,events/second
1606369823,325,0.015355,0.000000,0.000000,0.000000,events/second
1606369826,325,0.015353,0.000000,0.000000,0.000000,events/second
1606369829,325,0.015350,0.000000,0.000000,0.000000,events/second
1606369832,325,0.015348,0.000000,0.000000,0.000000,events/second
1606369835,325,0.015346,0.000000,0.000000,0.000000,events/second
1606369838,325,0.015344,0.000000,0.000000,0.000000,events/second
1606369841,325,0.015342,0.000000,0.000000,0.000000,events/second
1606369844,325,0.015340,0.000000,0.000000,0.000000,events/second
1606369847,325,0.015337,0.000000,0.000000,0.000000,events/second
1606369850,325,0.015335,0.000000,0.000000,0.000000,events/second
1606369853,325,0.015333,0.000000,0.000000,0.000000,events/second
1606369856,325,0.015331,0.000000,0.000000,0.000000,events/second
1606369859,325,0.015329,0.000000,0.000000,0.000000,events/second
1606369862,325,0.015327,0.000000,0.000000,0.000000,events/second
1606369865,325,0.015324,0.000000,0.000000,0.000000,events/second
1606369868,325,0.015322,0.000000,0.000000,0.000000,events/second
1606369871,325,0.015320,0.000000,0.000000,0.000000,events/second
1606369874,325,0.015318,0.000000,0.000000,0.000000,events/second
1606369877,325,0.015316,0.000000,0.000000,0.000000,events/second
1606369880,325,0.015314,0.000000,0.000000,0.000000,events/second
1606369883,325,0.015311,0.000000,0.000000,0.000000,events/second
1606369886,325,0.015309,0.000000,0.000000,0.000000,events/second
1606369889,325,0.015307,0.000000,0.000000,0.000000,events/second
1606369892,325,0.015305,0.000000,0.000000,0.000000,events/second
1606369895,325,0.015303,0.000000,0.000000,0.000000,events/second
1606369898,325,0.015301,0.000000,0.000000,0.000000,events/second
1606369901,325,0.015298,0.000000,0.000000,0.000000,events/second
1606369904,325,0.015296,0.000000,0.000000,0.000000,events/second
1606369907,325,0.015294,0.000000,0.000000,0.000000,events/second
1606369910,325,0.015292,0.000000,0.000000,0.000000,events/second
1606369913,325,0.015290,0.000000,0.000000,0.000000,events/second
1606369916,325,0.015288,0.000000,0.000000,0.000000,events/second
1606369919,325,0.015286,0.000000,0.000000,0.000000,events/second
1606369922,325,0.015283,0.000000,0.000000,0.000000,events/second
1606369925,325,0.015281,0.000000,0.000000,0.000000,events/second
1606369928,325,0.015279,0.000000,0.000000,0.000000,events/second
1606369931,325,0.015277,0.000000,0.000000,0.000000,events/second
1606369934,325,0.015275,0.000000,0.000000,0.000000,events/second
1606369937,325,0.015273,0.000000,0.000000,0.000000,events/second
1606369940,325,0.015270,0.000000,0.000000,0.000000,events/second
1606369943,325,0.015268,0.000000,0.000000,0.000000,events/second
1606369946,325,0.015266,0.000000,0.000000,0.000000,events/second
1606369949,325,0.015264,0.000000,0.000000,0.000000,events/second
1606369952,325,0.015262,0.000000,0.000000,0.000000,events/second
1606369955,325,0.015260,0.000000,0.000000,0.000000,events/second
1606369958,325,0.015258,0.000000,0.000000,0.000000,events/second
1606369961,325,0.015255,0.000000,0.000000,0.000000,events/second
