t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606374416,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374419,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374422,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374425,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374428,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374431,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374434,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374437,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374440,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374443,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374446,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374449,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374452,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374455,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374458,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374461,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374464,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374467,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374470,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374473,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374476,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374479,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374482,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374485,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374488,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374491,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374494,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374497,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374500,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374503,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374506,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374509,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374512,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374515,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374518,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374521,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374524,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374527,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374530,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374533,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374536,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374539,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374542,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374545,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374548,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374551,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374554,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374557,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374560,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374563,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374566,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374569,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374572,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374575,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374578,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374581,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374584,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374587,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374590,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374593,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374596,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374599,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374602,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374605,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374608,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374611,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374614,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374617,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374620,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374623,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374626,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374629,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374632,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374635,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374638,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374641,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374644,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374647,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374650,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374653,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374656,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374659,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374662,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374665,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374668,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374671,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374674,0,0.000000,0.000000,0.000000,0.000000,events/second
1606374677,0,0.000000,0.000000,0.000000,0.000000,events/second
