t,value
1601675475,1572864
1601675478,1572864
1601675481,1572864
1601675484,1572864
1601675487,1572864
1601675490,1572864
1601675493,1572864
1601675496,1572864
1601675499,1572864
1601675502,1572864
1601675505,1572864
1601675508,1572864
1601675511,1572864
1601675514,1572864
1601675517,1572864
1601675520,1572864
1601675523,1572864
1601675526,1572864
1601675529,1572864
1601675532,1572864
1601675535,1572864
1601675538,1572864
1601675541,1572864
1601675544,1572864
1601675547,1572864
1601675550,1572864
1601675553,1572864
1601675556,1572864
1601675559,1572864
1601675562,1572864
1601675565,1572864
1601675568,1572864
1601675571,1572864
1601675574,1572864
1601675577,1572864
1601675580,1572864
1601675583,1572864
1601675586,1572864
1601675589,1572864
1601675592,1572864
1601675595,1572864
1601675598,1572864
1601675601,1572864
1601675604,1572864
1601675607,1572864
1601675610,1572864
1601675613,1572864
1601675616,1572864
1601675619,1572864
1601675622,1572864
1601675625,1572864
1601675628,1572864
1601675631,1572864
1601675634,1572864
1601675637,1572864
1601675640,1572864
1601675643,1572864
1601675646,1572864
1601675649,1572864
1601675652,1572864
1601675655,1572864
1601675658,1572864
1601675661,1572864
1601675664,1572864
1601675667,1572864
1601675670,1572864
1601675673,1572864
1601675676,1572864
1601675679,1572864
1601675682,1572864
1601675685,1572864
1601675688,1572864
1601675691,1572864
1601675694,1572864
1601675697,1572864
1601675700,1572864
1601675703,1572864
1601675706,1572864
1601675709,1572864
1601675712,1572864
1601675715,1572864
1601675718,1572864
1601675721,1572864
1601675724,1572864
1601675727,1572864
1601675730,1572864
1601675733,1572864
1601675736,1572864
1601675739,1572864
1601675742,1572864
1601675745,1572864
1601675748,1572864
1601675751,1572864
1601675754,1572864
1601675757,1572864
1601675760,1572864
1601675763,1572864
1601675766,1572864
1601675769,1572864
1601675772,1572864
1601675775,1572864
1601675778,1572864
1601675781,1572864
1601675784,1572864
1601675787,1572864
1601675790,1572864
1601675793,1572864
1601675796,1572864
1601675799,1572864
1601675802,1572864
1601675805,1572864
1601675808,1572864
1601675811,1572864
1601675814,1572864
1601675817,1572864
1601675820,1572864
1601675823,1572864
1601675826,1572864
1601675829,1572864
1601675832,1572864
1601675835,1572864
1601675838,1572864
1601675841,1572864
1601675844,1572864
1601675847,1572864
1601675850,1572864
1601675853,1572864
1601675856,1572864
1601675859,1572864
1601675862,1572864
1601675865,1572864
1601675868,1572864
1601675871,1572864
1601675874,1572864
1601675877,1572864
1601675880,1572864
1601675883,1572864
1601675886,1572864
1601675889,1572864
1601675892,1572864
1601675895,1572864
1601675898,1572864
1601675901,1572864
1601675904,1572864
1601675907,1572864
1601675910,1572864
1601675913,1572864
1601675916,1572864
1601675919,1572864
1601675922,1572864
1601675925,1572864
1601675928,1572864
1601675931,1572864
1601675934,1572864
1601675937,1572864
1601675940,1572864
1601675943,1572864
1601675946,1572864
1601675949,1572864
1601675952,1572864
1601675955,1572864
1601675958,1572864
1601675961,1572864
1601675964,1572864
1601675967,1572864
1601675970,1572864
1601675973,1572864
1601675976,1572864
1601675979,1572864
1601675982,1572864
1601675985,1572864
1601675988,1572864
1601675991,1572864
1601675994,1572864
1601675997,1572864
1601676000,1572864
1601676003,1572864
1601676006,1572864
1601676009,1572864
1601676012,1572864
1601676015,1572864
1601676018,1572864
1601676021,1572864
1601676024,1572864
1601676027,1572864
1601676030,1572864
1601676033,1572864
1601676036,1572864
1601676039,1572864
1601676042,1572864
1601676045,1572864
1601676048,1572864
1601676051,1572864
1601676054,1572864
1601676057,1572864
1601676060,1572864
1601676063,1572864
1601676066,1572864
1601676069,1572864
1601676072,1572864
1601676075,1572864
1601676078,1572864
1601676081,1572864
1601676084,1572864
1601676087,1572864
1601676090,1572864
1601676093,1572864
1601676096,1572864
1601676099,1572864
1601676102,1572864
1601676105,1572864
1601676108,1572864
1601676111,1572864
1601676114,1572864
1601676117,1572864
1601676120,1572864
1601676123,1572864
1601676126,1572864
1601676129,1572864
1601676132,1572864
1601676135,1572864
1601676138,1572864
1601676141,1572864
1601676144,1572864
1601676147,1572864
1601676150,1572864
1601676153,1572864
1601676156,1572864
1601676159,1572864
1601676162,1572864
1601676165,1572864
1601676168,1572864
1601676171,1572864
1601676174,1572864
1601676177,1572864
1601676180,1572864
1601676183,1572864
1601676186,1572864
1601676189,1572864
1601676192,1572864
1601676195,1572864
1601676198,1572864
1601676201,1572864
1601676204,1572864
1601676207,1572864
1601676210,1572864
1601676213,1572864
1601676216,1572864
1601676219,1572864
1601676222,1572864
1601676225,1572864
1601676228,1572864
1601676231,1572864
1601676234,1572864
1601676237,1572864
1601676240,1572864
1601676243,1572864
1601676246,1572864
1601676249,1572864
1601676252,1572864
1601676255,1572864
1601676258,1572864
1601676261,1572864
1601676264,1572864
1601676267,1572864
1601676270,1572864
1601676273,1572864
1601676276,1572864
1601676279,1572864
1601676282,1572864
1601676285,1572864
1601676288,1572864
1601676291,1572864
1601676294,1572864
1601676297,1572864
1601676300,1572864
1601676303,1572864
1601676306,1572864
1601676309,1572864
1601676312,1572864
1601676315,1572864
1601676318,1572864
1601676321,1572864
1601676324,1572864
1601676327,1572864
1601676330,1572864
1601676333,1572864
1601676336,1572864
1601676339,1572864
1601676342,1572864
1601676345,1572864
1601676348,1572864
1601676351,1572864
1601676354,1572864
1601676357,1572864
1601676360,1572864
1601676363,1572864
1601676366,1572864
1601676369,1572864
1601676372,1572864
1601676375,1572864
1601676378,1572864
1601676381,1572864
1601676384,1572864
1601676387,1572864
1601676390,1572864
1601676393,1572864
1601676396,1572864
1601676399,1572864
1601676402,1572864
1601676405,1572864
1601676408,1572864
1601676411,1572864
1601676414,1572864
1601676417,1572864
1601676420,1572864
1601676423,1572864
1601676426,1572864
1601676429,1572864
1601676432,1572864
1601676435,1572864
1601676438,1572864
1601676441,1572864
1601676444,1572864
1601676447,1572864
1601676450,1572864
1601676453,1572864
1601676456,1572864
1601676459,1572864
1601676462,1572864
1601676465,1572864
1601676468,1572864
1601676471,1572864
1601676474,1572864
1601676477,1572864
1601676480,1572864
1601676483,1572864
1601676486,1572864
1601676489,1572864
1601676492,1572864
1601676495,1572864
1601676498,1572864
1601676501,1572864
1601676504,1572864
1601676507,1572864
1601676510,1572864
1601676513,1572864
1601676516,1572864
1601676519,1572864
1601676522,1572864
1601676525,1572864
1601676528,1572864
1601676531,1572864
1601676534,1572864
1601676537,1572864
1601676540,1572864
1601676543,1572864
1601676546,1572864
1601676549,1572864
1601676552,1572864
1601676555,1572864
1601676558,1572864
1601676561,1572864
1601676564,1572864
1601676567,1572864
1601676570,1572864
1601676573,1572864
1601676576,1572864
1601676579,1572864
1601676582,1572864
1601676585,1572864
1601676588,1572864
1601676591,1572864
1601676594,1572864
1601676597,1572864
1601676600,1572864
1601676603,1572864
1601676606,1572864
1601676609,1572864
1601676612,1572864
1601676615,1572864
1601676618,1572864
1601676621,1572864
1601676624,1572864
1601676627,1572864
1601676630,1572864
1601676633,1572864
1601676636,1572864
1601676639,1572864
1601676642,1572864
1601676645,1572864
1601676648,1572864
1601676651,1572864
1601676654,1572864
1601676657,1572864
1601676660,1572864
1601676663,1572864
1601676666,1572864
1601676669,1572864
1601676672,1572864
1601676675,1572864
1601676678,1572864
1601676681,1572864
1601676684,1572864
1601676687,1572864
1601676690,1572864
1601676693,1572864
1601676696,1572864
1601676699,1572864
1601676702,1572864
1601676705,1572864
1601676708,1572864
1601676711,1572864
