t,value
1601675475,810925
1601675478,810925
1601675481,810925
1601675484,810925
1601675487,810925
1601675490,810925
1601675493,810925
1601675496,810925
1601675499,810925
1601675502,810925
1601675505,810925
1601675508,810925
1601675511,810925
1601675514,810925
1601675517,810925
1601675520,810925
1601675523,810925
1601675526,810925
1601675529,810925
1601675532,810925
1601675535,810925
1601675538,810925
1601675541,810925
1601675544,810925
1601675547,810925
1601675550,810925
1601675553,810925
1601675556,810925
1601675559,810925
1601675562,810925
1601675565,810925
1601675568,810925
1601675571,810925
1601675574,810925
1601675577,810925
1601675580,810925
1601675583,810925
1601675586,810925
1601675589,810925
1601675592,810925
1601675595,810925
1601675598,810925
1601675601,810925
1601675604,810925
1601675607,810925
1601675610,810925
1601675613,810925
1601675616,810925
1601675619,810925
1601675622,810925
1601675625,810925
1601675628,810925
1601675631,810925
1601675634,810925
1601675637,810925
1601675640,810925
1601675643,810925
1601675646,810925
1601675649,810925
1601675652,810925
1601675655,810925
1601675658,810925
1601675661,810925
1601675664,810925
1601675667,810925
1601675670,810925
1601675673,810925
1601675676,810925
1601675679,810925
1601675682,810925
1601675685,810925
1601675688,810925
1601675691,810925
1601675694,810925
1601675697,810925
1601675700,810925
1601675703,810925
1601675706,810925
1601675709,810925
1601675712,810925
1601675715,810925
1601675718,810925
1601675721,810925
1601675724,810925
1601675727,810925
1601675730,810925
1601675733,810925
1601675736,810925
1601675739,810925
1601675742,810925
1601675745,810925
1601675748,810925
1601675751,810925
1601675754,810925
1601675757,810925
1601675760,810925
1601675763,810925
1601675766,810925
1601675769,810925
1601675772,810925
1601675775,810925
1601675778,810925
1601675781,810925
1601675784,810925
1601675787,810925
1601675790,810925
1601675793,810925
1601675796,810925
1601675799,810925
1601675802,810925
1601675805,810925
1601675808,810925
1601675811,810925
1601675814,810925
1601675817,810925
1601675820,810925
1601675823,810925
1601675826,810925
1601675829,810925
1601675832,810925
1601675835,810925
1601675838,810925
1601675841,810925
1601675844,810925
1601675847,810925
1601675850,810925
1601675853,810925
1601675856,810925
1601675859,810925
1601675862,810925
1601675865,810925
1601675868,810925
1601675871,810925
1601675874,810925
1601675877,810925
1601675880,810925
1601675883,810925
1601675886,810925
1601675889,810925
1601675892,810925
1601675895,810925
1601675898,810925
1601675901,810925
1601675904,810925
1601675907,810925
1601675910,810925
1601675913,810925
1601675916,810925
1601675919,810925
1601675922,810925
1601675925,810925
1601675928,810925
1601675931,810925
1601675934,810925
1601675937,810925
1601675940,810925
1601675943,810925
1601675946,810925
1601675949,810925
1601675952,810925
1601675955,810925
1601675958,810925
1601675961,810925
1601675964,810925
1601675967,810925
1601675970,810925
1601675973,810925
1601675976,810925
1601675979,810925
1601675982,810925
1601675985,810925
1601675988,810925
1601675991,810925
1601675994,810925
1601675997,810925
1601676000,810925
1601676003,810925
1601676006,810925
1601676009,810925
1601676012,810925
1601676015,810925
1601676018,810925
1601676021,810925
1601676024,810925
1601676027,810925
1601676030,810925
1601676033,810925
1601676036,810925
1601676039,810925
1601676042,810925
1601676045,810925
1601676048,810925
1601676051,810925
1601676054,810925
1601676057,810925
1601676060,810925
1601676063,810925
1601676066,810925
1601676069,810925
1601676072,819874
1601676075,819874
1601676078,819874
1601676081,819874
1601676084,819874
1601676087,819874
1601676090,819874
1601676093,819874
1601676096,819874
1601676099,819874
1601676102,819874
1601676105,819874
1601676108,819874
1601676111,819874
1601676114,819874
1601676117,819874
1601676120,819874
1601676123,819874
1601676126,819874
1601676129,819874
1601676132,819874
1601676135,819874
1601676138,819874
1601676141,819874
1601676144,819874
1601676147,819874
1601676150,819874
1601676153,819874
1601676156,819874
1601676159,819874
1601676162,819874
1601676165,819874
1601676168,819874
1601676171,819874
1601676174,819874
1601676177,819874
1601676180,819874
1601676183,819874
1601676186,819874
1601676189,819874
1601676192,819874
1601676195,819874
1601676198,819874
1601676201,819874
1601676204,819874
1601676207,819874
1601676210,819874
1601676213,819874
1601676216,819874
1601676219,819874
1601676222,819874
1601676225,819874
1601676228,819874
1601676231,819874
1601676234,819874
1601676237,819874
1601676240,819874
1601676243,819874
1601676246,819874
1601676249,819874
1601676252,819874
1601676255,819874
1601676258,819874
1601676261,819874
1601676264,819874
1601676267,819874
1601676270,819874
1601676273,819874
1601676276,819874
1601676279,819874
1601676282,819874
1601676285,819874
1601676288,819874
1601676291,819874
1601676294,819874
1601676297,819874
1601676300,819874
1601676303,819874
1601676306,819874
1601676309,819874
1601676312,819874
1601676315,819874
1601676318,819874
1601676321,819874
1601676324,819874
1601676327,819874
1601676330,819874
1601676333,819874
1601676336,819874
1601676339,819874
1601676342,819874
1601676345,819874
1601676348,819874
1601676351,819874
1601676354,819874
1601676357,819874
1601676360,819874
1601676363,819874
1601676366,819874
1601676369,819874
1601676372,819874
1601676375,819874
1601676378,819874
1601676381,819874
1601676384,819874
1601676387,819874
1601676390,819874
1601676393,819874
1601676396,819874
1601676399,819874
1601676402,819874
1601676405,819874
1601676408,819874
1601676411,819874
1601676414,819874
1601676417,819874
1601676420,819874
1601676423,819874
1601676426,819874
1601676429,819874
1601676432,819874
1601676435,819874
1601676438,819874
1601676441,819874
1601676444,819874
1601676447,819874
1601676450,819874
1601676453,819874
1601676456,819874
1601676459,819874
1601676462,819874
1601676465,819874
1601676468,819874
1601676471,819874
1601676474,819874
1601676477,819874
1601676480,819874
1601676483,819874
1601676486,819874
1601676489,819874
1601676492,819874
1601676495,819874
1601676498,819874
1601676501,819874
1601676504,819874
1601676507,819874
1601676510,819874
1601676513,819874
1601676516,819874
1601676519,819874
1601676522,819874
1601676525,819874
1601676528,819874
1601676531,819874
1601676534,819874
1601676537,819874
1601676540,819874
1601676543,819874
1601676546,819874
1601676549,819874
1601676552,819874
1601676555,819874
1601676558,819874
1601676561,819874
1601676564,819874
1601676567,819874
1601676570,819874
1601676573,819874
1601676576,819874
1601676579,819874
1601676582,819874
1601676585,819874
1601676588,819874
1601676591,819874
1601676594,819874
1601676597,819874
1601676600,819874
1601676603,819874
1601676606,819874
1601676609,819874
1601676612,819874
1601676615,819874
1601676618,819874
1601676621,819874
1601676624,819874
1601676627,819874
1601676630,819874
1601676633,819874
1601676636,819874
1601676639,819874
1601676642,819874
1601676645,819874
1601676648,819874
1601676651,819874
1601676654,819874
1601676657,819874
1601676660,819874
1601676663,819874
1601676666,819874
1601676669,819874
1601676672,821387
1601676675,821387
1601676678,821387
1601676681,821387
1601676684,821387
1601676687,821387
1601676690,821387
1601676693,821387
1601676696,821387
1601676699,821387
1601676702,821387
1601676705,821387
1601676708,821387
1601676711,821387
1601676714,821387
1601676717,821387
1601676720,821387
1601676723,821387
1601676726,821387
1601676729,821387
1601676732,821387
1601676735,821387
1601676738,821387
1601676741,821387
1601676744,821387
1601676747,821387
1601676750,821387
1601676753,821387
1601676756,821387
1601676759,821387
1601676762,821387
1601676765,821387
1601676768,821387
1601676771,821387
1601676774,821387
1601676777,821387
1601676780,821387
1601676783,821387
1601676786,821387
1601676789,821387
1601676792,821387
1601676795,821387
1601676798,821387
1601676801,821387
1601676804,821387
1601676807,821387
1601676810,821387
1601676813,821387
1601676816,821387
1601676819,821387
1601676822,821387
1601676825,821387
1601676828,821387
1601676831,821387
1601676834,821387
1601676837,821387
1601676840,821387
1601676843,821387
1601676846,821387
1601676849,821387
1601676852,821387
1601676855,821387
1601676858,821387
1601676861,821387
1601676864,821387
1601676867,821387
1601676870,821387
1601676873,821387
1601676876,821387
1601676879,821387
1601676882,821387
1601676885,821387
1601676888,821387
1601676891,821387
1601676894,821387
1601676897,821387
1601676900,821387
1601676903,821387
1601676906,821387
1601676909,821387
1601676912,821387
1601676915,821387
1601676918,821387
1601676921,821387
1601676924,821387
1601676927,821387
1601676930,821387
1601676933,821387
1601676936,821387
1601676939,821387
1601676942,821387
1601676945,821387
1601676948,821387
1601676951,821387
1601676954,821387
1601676957,821387
1601676960,821387
1601676963,821387
1601676966,821387
1601676969,821387
1601676972,821387
1601676975,821387
1601676978,821387
1601676981,821387
1601676984,821387
1601676987,821387
1601676990,821387
1601676993,821387
1601676996,821387
1601676999,821387
1601677002,821387
1601677005,821387
1601677008,821387
1601677011,821387
1601677014,821387
1601677017,821387
1601677020,821387
1601677023,821387
1601677026,821387
1601677029,821387
1601677032,821387
1601677035,821387
1601677038,821387
1601677041,821387
1601677044,821387
1601677047,821387
1601677050,821387
1601677053,821387
1601677056,821387
1601677059,821387
1601677062,821387
1601677065,821387
1601677068,821387
1601677071,821387
1601677074,821387
1601677077,821387
1601677080,821387
1601677083,821387
1601677086,821387
1601677089,821387
1601677092,821387
1601677095,821387
1601677098,821387
1601677101,821387
1601677104,821387
1601677107,821387
1601677110,821387
1601677113,821387
1601677116,821387
1601677119,821387
1601677122,821387
1601677125,821387
1601677128,821387
1601677131,821387
1601677134,821387
1601677137,821387
1601677140,821387
1601677143,821387
1601677146,821387
1601677149,821387
1601677152,821387
1601677155,821387
1601677158,821387
1601677161,821387
1601677164,821387
1601677167,821387
1601677170,821387
1601677173,821387
1601677176,821387
1601677179,821387
1601677182,821387
1601677185,821387
1601677188,821387
1601677191,821387
1601677194,821387
1601677197,821387
1601677200,821387
1601677203,821387
1601677206,821387
1601677209,821387
1601677212,821387
1601677215,821387
1601677218,821387
1601677221,821387
1601677224,821387
1601677227,821387
1601677230,821387
1601677233,821387
1601677236,821387
1601677239,821387
1601677242,821387
1601677245,821387
1601677248,821387
1601677251,821387
1601677254,821387
1601677257,821387
1601677260,821387
1601677263,821387
1601677266,821387
1601677269,821387
1601677272,870522
1601677275,870522
1601677278,870522
1601677281,870522
1601677284,870522
1601677287,870522
1601677290,870522
1601677293,870522
1601677296,870522
1601677299,870522
1601677302,870522
1601677305,870522
1601677308,870522
1601677311,870522
1601677314,870522
1601677317,870522
1601677320,870522
1601677323,870522
1601677326,870522
1601677329,870522
1601677332,870522
1601677335,870522
1601677338,870522
1601677341,870522
1601677344,870522
1601677347,870522
1601677350,870522
1601677353,870522
1601677356,870522
1601677359,870522
1601677362,870522
1601677365,870522
1601677368,870522
1601677371,870522
1601677374,870522
1601677377,870522
1601677380,870522
1601677383,870522
1601677386,870522
1601677389,870522
1601677392,870522
1601677395,870522
1601677398,870522
1601677401,870522
1601677404,870522
1601677407,870522
1601677410,870522
1601677413,870522
1601677416,870522
1601677419,870522
1601677422,870522
1601677425,870522
1601677428,870522
1601677431,870522
1601677434,870522
1601677437,870522
1601677440,870522
1601677443,870522
1601677446,870522
1601677449,870522
1601677452,870522
1601677455,870522
1601677458,870522
1601677461,870522
1601677464,870522
1601677467,870522
1601677470,870522
1601677473,870522
1601677476,870522
1601677479,870522
1601677482,870522
1601677485,870522
1601677488,870522
1601677491,870522
1601677494,870522
1601677497,870522
1601677500,870522
1601677503,870522
1601677506,870522
1601677509,870522
1601677512,870522
1601677515,870522
1601677518,870522
1601677521,870522
1601677524,870522
1601677527,870522
1601677530,870522
1601677533,870522
1601677536,870522
1601677539,870522
1601677542,870522
1601677545,870522
1601677548,870522
1601677551,870522
1601677554,870522
1601677557,870522
1601677560,870522
1601677563,870522
1601677566,870522
1601677569,870522
1601677572,870522
1601677575,870522
1601677578,870522
1601677581,870522
1601677584,870522
1601677587,870522
1601677590,870522
1601677593,870522
1601677596,870522
1601677599,870522
1601677602,870522
1601677605,870522
1601677608,870522
1601677611,870522
1601677614,870522
1601677617,870522
1601677620,870522
1601677623,870522
1601677626,870522
1601677629,870522
1601677632,870522
1601677635,870522
1601677638,870522
1601677641,870522
1601677644,870522
1601677647,870522
1601677650,870522
1601677653,870522
1601677656,870522
1601677659,870522
1601677662,870522
1601677665,870522
1601677668,870522
1601677671,870522
1601677674,870522
1601677677,870522
1601677680,870522
1601677683,870522
1601677686,870522
1601677689,870522
1601677692,870522
1601677695,870522
1601677698,870522
1601677701,870522
1601677704,870522
1601677707,870522
1601677710,870522
1601677713,870522
1601677716,870522
1601677719,870522
1601677722,870522
1601677725,870522
1601677728,870522
1601677731,870522
1601677734,870522
1601677737,870522
