t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606358336,6,0.000620,0.000000,0.000000,0.000000,events/second
1606358339,6,0.000620,0.000000,0.000000,0.000000,events/second
1606358342,6,0.000620,0.000000,0.000000,0.000000,events/second
1606358345,6,0.000619,0.000000,0.000000,0.000000,events/second
1606358348,6,0.000619,0.000000,0.000000,0.000000,events/second
1606358351,6,0.000619,0.000000,0.000000,0.000000,events/second
1606358354,6,0.000619,0.000000,0.000000,0.000000,events/second
1606358357,6,0.000619,0.000000,0.000000,0.000000,events/second
1606358360,6,0.000618,0.000000,0.000000,0.000000,events/second
1606358363,6,0.000618,0.000000,0.000000,0.000000,events/second
1606358366,6,0.000618,0.000000,0.000000,0.000000,events/second
1606358369,6,0.000618,0.000000,0.000000,0.000000,events/second
1606358372,6,0.000618,0.000000,0.000000,0.000000,events/second
1606358375,6,0.000617,0.000000,0.000000,0.000000,events/second
1606358378,6,0.000617,0.000000,0.000000,0.000000,events/second
1606358381,6,0.000617,0.000000,0.000000,0.000000,events/second
1606358384,6,0.000617,0.000000,0.000000,0.000000,events/second
1606358387,6,0.000617,0.000000,0.000000,0.000000,events/second
1606358390,6,0.000616,0.000000,0.000000,0.000000,events/second
1606358393,6,0.000616,0.000000,0.000000,0.000000,events/second
1606358396,6,0.000616,0.000000,0.000000,0.000000,events/second
1606358399,6,0.000616,0.000000,0.000000,0.000000,events/second
1606358402,6,0.000616,0.000000,0.000000,0.000000,events/second
1606358405,6,0.000616,0.000000,0.000000,0.000000,events/second
1606358408,6,0.000615,0.000000,0.000000,0.000000,events/second
1606358411,6,0.000615,0.000000,0.000000,0.000000,events/second
1606358414,6,0.000615,0.000000,0.000000,0.000000,events/second
1606358417,6,0.000615,0.000000,0.000000,0.000000,events/second
1606358420,6,0.000615,0.000000,0.000000,0.000000,events/second
1606358423,6,0.000614,0.000000,0.000000,0.000000,events/second
1606358426,6,0.000614,0.000000,0.000000,0.000000,events/second
1606358429,6,0.000614,0.000000,0.000000,0.000000,events/second
1606358432,6,0.000614,0.000000,0.000000,0.000000,events/second
1606358435,6,0.000614,0.000000,0.000000,0.000000,events/second
1606358438,6,0.000613,0.000000,0.000000,0.000000,events/second
1606358441,6,0.000613,0.000000,0.000000,0.000000,events/second
1606358444,6,0.000613,0.000000,0.000000,0.000000,events/second
1606358447,6,0.000613,0.000000,0.000000,0.000000,events/second
1606358450,6,0.000613,0.000000,0.000000,0.000000,events/second
1606358453,6,0.000612,0.000000,0.000000,0.000000,events/second
1606358456,6,0.000612,0.000000,0.000000,0.000000,events/second
1606358459,6,0.000612,0.000000,0.000000,0.000000,events/second
1606358462,6,0.000612,0.000000,0.000000,0.000000,events/second
1606358465,6,0.000612,0.000000,0.000000,0.000000,events/second
1606358468,6,0.000612,0.000000,0.000000,0.000000,events/second
1606358471,6,0.000611,0.000000,0.000000,0.000000,events/second
1606358474,6,0.000611,0.000000,0.000000,0.000000,events/second
1606358477,6,0.000611,0.000000,0.000000,0.000000,events/second
1606358480,6,0.000611,0.000000,0.000000,0.000000,events/second
1606358483,6,0.000611,0.000000,0.000000,0.000000,events/second
1606358486,6,0.000610,0.000000,0.000000,0.000000,events/second
1606358489,6,0.000610,0.000000,0.000000,0.000000,events/second
1606358492,6,0.000610,0.000000,0.000000,0.000000,events/second
1606358495,6,0.000610,0.000000,0.000000,0.000000,events/second
1606358498,6,0.000610,0.000000,0.000000,0.000000,events/second
1606358501,6,0.000610,0.000000,0.000000,0.000000,events/second
1606358504,6,0.000609,0.000000,0.000000,0.000000,events/second
1606358507,6,0.000609,0.000000,0.000000,0.000000,events/second
1606358510,6,0.000609,0.000000,0.000000,0.000000,events/second
1606358513,6,0.000609,0.000000,0.000000,0.000000,events/second
1606358516,6,0.000609,0.000000,0.000000,0.000000,events/second
1606358519,6,0.000608,0.000000,0.000000,0.000000,events/second
1606358522,6,0.000608,0.000000,0.000000,0.000000,events/second
1606358525,6,0.000608,0.000000,0.000000,0.000000,events/second
1606358528,6,0.000608,0.000000,0.000000,0.000000,events/second
1606358531,6,0.000608,0.000000,0.000000,0.000000,events/second
1606358534,6,0.000607,0.000000,0.000000,0.000000,events/second
1606358537,6,0.000607,0.000000,0.000000,0.000000,events/second
1606358540,6,0.000607,0.000000,0.000000,0.000000,events/second
1606358543,6,0.000607,0.000000,0.000000,0.000000,events/second
1606358546,6,0.000607,0.000000,0.000000,0.000000,events/second
1606358549,6,0.000607,0.000000,0.000000,0.000000,events/second
1606358552,6,0.000606,0.000000,0.000000,0.000000,events/second
1606358555,6,0.000606,0.000000,0.000000,0.000000,events/second
1606358558,6,0.000606,0.000000,0.000000,0.000000,events/second
1606358561,6,0.000606,0.000000,0.000000,0.000000,events/second
1606358564,6,0.000606,0.000000,0.000000,0.000000,events/second
1606358567,6,0.000605,0.000000,0.000000,0.000000,events/second
1606358570,6,0.000605,0.000000,0.000000,0.000000,events/second
1606358573,6,0.000605,0.000000,0.000000,0.000000,events/second
1606358576,6,0.000605,0.000000,0.000000,0.000000,events/second
1606358579,6,0.000605,0.000000,0.000000,0.000000,events/second
1606358582,6,0.000605,0.000000,0.000000,0.000000,events/second
1606358585,6,0.000604,0.000000,0.000000,0.000000,events/second
1606358588,6,0.000604,0.000000,0.000000,0.000000,events/second
1606358591,6,0.000604,0.000000,0.000000,0.000000,events/second
1606358594,6,0.000604,0.000000,0.000000,0.000000,events/second
1606358597,6,0.000604,0.000000,0.000000,0.000000,events/second
1606358600,6,0.000603,0.000000,0.000000,0.000000,events/second
1606358603,6,0.000603,0.000000,0.000000,0.000000,events/second
1606358606,6,0.000603,0.000000,0.000000,0.000000,events/second
1606358609,6,0.000603,0.000000,0.000000,0.000000,events/second
1606358612,6,0.000603,0.000000,0.000000,0.000000,events/second
1606358615,6,0.000603,0.000000,0.000000,0.000000,events/second
1606358618,6,0.000602,0.000000,0.000000,0.000000,events/second
1606358621,6,0.000602,0.000000,0.000000,0.000000,events/second
1606358624,6,0.000602,0.000000,0.000000,0.000000,events/second
1606358627,6,0.000602,0.000000,0.000000,0.000000,events/second
1606358630,6,0.000602,0.000000,0.000000,0.000000,events/second
1606358633,6,0.000601,0.000000,0.000000,0.000000,events/second
1606358636,6,0.000601,0.000000,0.000000,0.000000,events/second
1606358639,6,0.000601,0.000000,0.000000,0.000000,events/second
1606358642,6,0.000601,0.000000,0.000000,0.000000,events/second
1606358645,6,0.000601,0.000000,0.000000,0.000000,events/second
1606358648,6,0.000601,0.000000,0.000000,0.000000,events/second
1606358651,6,0.000600,0.000000,0.000000,0.000000,events/second
1606358654,6,0.000600,0.000000,0.000000,0.000000,events/second
1606358657,6,0.000600,0.000000,0.000000,0.000000,events/second
1606358660,6,0.000600,0.000000,0.000000,0.000000,events/second
1606358663,6,0.000600,0.000000,0.000000,0.000000,events/second
1606358666,6,0.000599,0.000000,0.000000,0.000000,events/second
1606358669,6,0.000599,0.000000,0.000000,0.000000,events/second
1606358672,6,0.000599,0.000000,0.000000,0.000000,events/second
1606358675,6,0.000599,0.000000,0.000000,0.000000,events/second
1606358678,6,0.000599,0.000000,0.000000,0.000000,events/second
1606358681,6,0.000599,0.000000,0.000000,0.000000,events/second
1606358684,6,0.000598,0.000000,0.000000,0.000000,events/second
1606358687,6,0.000598,0.000000,0.000000,0.000000,events/second
1606358690,6,0.000598,0.000000,0.000000,0.000000,events/second
1606358693,6,0.000598,0.000000,0.000000,0.000000,events/second
1606358696,6,0.000598,0.000000,0.000000,0.000000,events/second
1606358699,6,0.000597,0.000000,0.000000,0.000000,events/second
1606358702,6,0.000597,0.000000,0.000000,0.000000,events/second
1606358705,6,0.000597,0.000000,0.000000,0.000000,events/second
1606358708,6,0.000597,0.000000,0.000000,0.000000,events/second
1606358711,6,0.000597,0.000000,0.000000,0.000000,events/second
1606358714,6,0.000597,0.000000,0.000000,0.000000,events/second
1606358717,6,0.000596,0.000000,0.000000,0.000000,events/second
1606358720,6,0.000596,0.000000,0.000000,0.000000,events/second
1606358723,6,0.000596,0.000000,0.000000,0.000000,events/second
