t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606373021,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373024,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373027,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373030,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373033,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373036,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373039,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373042,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373045,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373048,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373051,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373054,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373057,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373060,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373063,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373066,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373069,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373072,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373075,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373078,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373081,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373084,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373087,7,0.000287,0.000000,0.000000,0.000000,events/second
1606373090,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373093,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373096,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373099,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373102,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373105,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373108,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373111,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373114,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373117,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373120,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373123,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373126,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373129,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373132,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373135,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373138,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373141,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373144,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373147,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373150,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373153,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373156,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373159,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373162,7,0.000286,0.000000,0.000000,0.000000,events/second
1606373165,7,0.000286,0.000000,0.000000,0.000000,events/second
