t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606365935,134,0.007756,0.000000,0.000000,0.000000,events/second
1606365938,134,0.007754,0.000000,0.000000,0.000000,events/second
1606365941,134,0.007753,0.000000,0.000000,0.000000,events/second
1606365944,134,0.007752,0.000000,0.000000,0.000000,events/second
1606365947,134,0.007750,0.000000,0.000000,0.000000,events/second
1606365950,134,0.007749,0.000000,0.000000,0.000000,events/second
1606365953,134,0.007747,0.000000,0.000000,0.000000,events/second
1606365956,134,0.007746,0.000000,0.000000,0.000000,events/second
1606365959,134,0.007745,0.000000,0.000000,0.000000,events/second
1606365962,134,0.007743,0.000000,0.000000,0.000000,events/second
1606365965,134,0.007742,0.000000,0.000000,0.000000,events/second
1606365968,134,0.007741,0.000000,0.000000,0.000000,events/second
1606365971,134,0.007739,0.000000,0.000000,0.000000,events/second
1606365974,134,0.007738,0.000000,0.000000,0.000000,events/second
1606365977,134,0.007737,0.000000,0.000000,0.000000,events/second
1606365980,134,0.007735,0.000000,0.000000,0.000000,events/second
1606365983,134,0.007734,0.000000,0.000000,0.000000,events/second
1606365986,134,0.007733,0.000000,0.000000,0.000000,events/second
1606365989,134,0.007731,0.000000,0.000000,0.000000,events/second
1606365992,134,0.007730,0.000000,0.000000,0.000000,events/second
1606365995,134,0.007729,0.000000,0.000000,0.000000,events/second
1606365998,134,0.007727,0.000000,0.000000,0.000000,events/second
1606366001,134,0.007726,0.000000,0.000000,0.000000,events/second
1606366004,134,0.007725,0.000000,0.000000,0.000000,events/second
1606366007,134,0.007723,0.000000,0.000000,0.000000,events/second
1606366010,134,0.007722,0.000000,0.000000,0.000000,events/second
1606366013,134,0.007721,0.000000,0.000000,0.000000,events/second
1606366016,134,0.007719,0.000000,0.000000,0.000000,events/second
1606366019,134,0.007718,0.000000,0.000000,0.000000,events/second
1606366022,134,0.007717,0.000000,0.000000,0.000000,events/second
1606366025,134,0.007715,0.000000,0.000000,0.000000,events/second
1606366028,134,0.007714,0.000000,0.000000,0.000000,events/second
1606366031,134,0.007713,0.000000,0.000000,0.000000,events/second
1606366034,134,0.007711,0.000000,0.000000,0.000000,events/second
1606366037,134,0.007710,0.000000,0.000000,0.000000,events/second
1606366040,134,0.007709,0.000000,0.000000,0.000000,events/second
1606366043,134,0.007707,0.000000,0.000000,0.000000,events/second
1606366046,134,0.007706,0.000000,0.000000,0.000000,events/second
1606366049,134,0.007705,0.000000,0.000000,0.000000,events/second
1606366052,134,0.007703,0.000000,0.000000,0.000000,events/second
1606366055,134,0.007702,0.000000,0.000000,0.000000,events/second
1606366058,134,0.007701,0.000000,0.000000,0.000000,events/second
1606366061,134,0.007699,0.000000,0.000000,0.000000,events/second
1606366064,134,0.007698,0.000000,0.000000,0.000000,events/second
1606366067,134,0.007697,0.000000,0.000000,0.000000,events/second
1606366070,134,0.007695,0.000000,0.000000,0.000000,events/second
1606366073,134,0.007694,0.000000,0.000000,0.000000,events/second
1606366076,134,0.007693,0.000000,0.000000,0.000000,events/second
1606366079,134,0.007691,0.000000,0.000000,0.000000,events/second
1606366082,134,0.007690,0.000000,0.000000,0.000000,events/second
1606366085,134,0.007689,0.000000,0.000000,0.000000,events/second
1606366088,134,0.007687,0.000000,0.000000,0.000000,events/second
1606366091,134,0.007686,0.000000,0.000000,0.000000,events/second
1606366094,134,0.007685,0.000000,0.000000,0.000000,events/second
1606366097,134,0.007684,0.000000,0.000000,0.000000,events/second
1606366100,134,0.007682,0.000000,0.000000,0.000000,events/second
1606366103,134,0.007681,0.000000,0.000000,0.000000,events/second
1606366106,134,0.007680,0.000000,0.000000,0.000000,events/second
1606366109,134,0.007678,0.000000,0.000000,0.000000,events/second
1606366112,134,0.007677,0.000000,0.000000,0.000000,events/second
1606366115,134,0.007676,0.000000,0.000000,0.000000,events/second
1606366118,134,0.007674,0.000000,0.000000,0.000000,events/second
1606366121,134,0.007673,0.000000,0.000000,0.000000,events/second
1606366124,134,0.007672,0.000000,0.000000,0.000000,events/second
1606366127,134,0.007670,0.000000,0.000000,0.000000,events/second
1606366130,134,0.007669,0.000000,0.000000,0.000000,events/second
1606366133,134,0.007668,0.000000,0.000000,0.000000,events/second
1606366136,134,0.007666,0.000000,0.000000,0.000000,events/second
1606366139,134,0.007665,0.000000,0.000000,0.000000,events/second
1606366142,134,0.007664,0.000000,0.000000,0.000000,events/second
1606366145,134,0.007662,0.000000,0.000000,0.000000,events/second
1606366148,134,0.007661,0.000000,0.000000,0.000000,events/second
1606366151,134,0.007660,0.000000,0.000000,0.000000,events/second
1606366154,134,0.007658,0.000000,0.000000,0.000000,events/second
1606366157,134,0.007657,0.000000,0.000000,0.000000,events/second
1606366160,134,0.007656,0.000000,0.000000,0.000000,events/second
1606366163,134,0.007655,0.000000,0.000000,0.000000,events/second
1606366166,134,0.007653,0.000000,0.000000,0.000000,events/second
1606366169,134,0.007652,0.000000,0.000000,0.000000,events/second
1606366172,134,0.007651,0.000000,0.000000,0.000000,events/second
1606366175,134,0.007649,0.000000,0.000000,0.000000,events/second
1606366178,134,0.007648,0.000000,0.000000,0.000000,events/second
1606366181,134,0.007647,0.000000,0.000000,0.000000,events/second
1606366184,134,0.007645,0.000000,0.000000,0.000000,events/second
1606366187,134,0.007644,0.000000,0.000000,0.000000,events/second
1606366190,134,0.007643,0.000000,0.000000,0.000000,events/second
1606366193,134,0.007641,0.000000,0.000000,0.000000,events/second
1606366196,134,0.007640,0.000000,0.000000,0.000000,events/second
1606366199,134,0.007639,0.000000,0.000000,0.000000,events/second
1606366202,134,0.007638,0.000000,0.000000,0.000000,events/second
1606366205,134,0.007636,0.000000,0.000000,0.000000,events/second
1606366208,134,0.007635,0.000000,0.000000,0.000000,events/second
1606366211,134,0.007634,0.000000,0.000000,0.000000,events/second
1606366214,134,0.007632,0.000000,0.000000,0.000000,events/second
1606366217,134,0.007631,0.000000,0.000000,0.000000,events/second
1606366220,134,0.007630,0.000000,0.000000,0.000000,events/second
1606366223,134,0.007628,0.000000,0.000000,0.000000,events/second
1606366226,134,0.007627,0.000000,0.000000,0.000000,events/second
1606366229,134,0.007626,0.000000,0.000000,0.000000,events/second
1606366232,134,0.007624,0.000000,0.000000,0.000000,events/second
1606366235,134,0.007623,0.000000,0.000000,0.000000,events/second
1606366238,134,0.007622,0.000000,0.000000,0.000000,events/second
1606366241,134,0.007621,0.000000,0.000000,0.000000,events/second
1606366244,134,0.007619,0.000000,0.000000,0.000000,events/second
1606366247,134,0.007618,0.000000,0.000000,0.000000,events/second
1606366250,134,0.007617,0.000000,0.000000,0.000000,events/second
1606366253,134,0.007615,0.000000,0.000000,0.000000,events/second
1606366256,134,0.007614,0.000000,0.000000,0.000000,events/second
1606366259,134,0.007613,0.000000,0.000000,0.000000,events/second
1606366262,134,0.007611,0.000000,0.000000,0.000000,events/second
1606366265,134,0.007610,0.000000,0.000000,0.000000,events/second
1606366268,134,0.007609,0.000000,0.000000,0.000000,events/second
