t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606373057,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373060,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373063,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373066,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373069,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373072,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373075,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373078,9,0.000369,0.000000,0.000000,0.000000,events/second
1606373081,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373084,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373087,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373090,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373093,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373096,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373099,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373102,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373105,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373108,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373111,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373114,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373117,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373120,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373123,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373126,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373129,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373132,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373135,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373138,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373141,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373144,9,0.000368,0.000000,0.000000,0.000000,events/second
1606373147,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373150,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373153,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373156,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373159,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373162,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373165,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373168,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373171,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373174,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373177,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373180,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373183,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373186,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373189,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373192,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373195,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373198,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373201,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373204,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373207,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373210,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373213,9,0.000367,0.000000,0.000000,0.000000,events/second
1606373216,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373219,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373222,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373225,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373228,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373231,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373234,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373237,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373240,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373243,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373246,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373249,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373252,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373255,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373258,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373261,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373264,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373267,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373270,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373273,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373276,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373279,9,0.000366,0.000000,0.000000,0.000000,events/second
1606373282,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373285,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373288,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373291,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373294,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373297,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373300,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373303,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373306,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373309,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373312,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373315,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373318,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373321,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373324,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373327,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373330,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373333,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373336,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373339,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373342,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373345,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373348,9,0.000365,0.000000,0.000000,0.000000,events/second
1606373351,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373354,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373357,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373360,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373363,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373366,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373369,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373372,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373375,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373378,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373381,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373384,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373387,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373390,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373393,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373396,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373399,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373402,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373405,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373408,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373411,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373414,9,0.000364,0.000000,0.000000,0.000000,events/second
1606373417,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373420,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373423,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373426,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373429,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373432,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373435,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373438,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373441,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373444,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373447,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373450,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373453,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373456,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373459,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373462,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373465,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373468,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373471,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373474,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373477,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373480,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373483,9,0.000363,0.000000,0.000000,0.000000,events/second
1606373486,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373489,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373492,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373495,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373498,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373501,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373504,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373507,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373510,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373513,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373516,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373519,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373522,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373525,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373528,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373531,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373534,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373537,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373540,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373543,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373546,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373549,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373552,9,0.000362,0.000000,0.000000,0.000000,events/second
1606373555,9,0.000361,0.000000,0.000000,0.000000,events/second
1606373558,9,0.000361,0.000000,0.000000,0.000000,events/second
1606373561,9,0.000361,0.000000,0.000000,0.000000,events/second
1606373564,9,0.000361,0.000000,0.000000,0.000000,events/second
1606373567,9,0.000361,0.000000,0.000000,0.000000,events/second
1606373570,9,0.000361,0.000000,0.000000,0.000000,events/second
1606373573,9,0.000361,0.000000,0.000000,0.000000,events/second
1606373576,9,0.000361,0.000000,0.000000,0.000000,events/second
