t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606364561,39,0.002452,0.000000,0.000000,0.000000,events/second
1606364564,39,0.002452,0.000000,0.000000,0.000000,events/second
1606364567,39,0.002451,0.000000,0.000000,0.000000,events/second
1606364570,39,0.002451,0.000000,0.000000,0.000000,events/second
1606364573,39,0.002451,0.000000,0.000000,0.000000,events/second
1606364576,39,0.002450,0.000000,0.000000,0.000000,events/second
1606364579,39,0.002450,0.000000,0.000000,0.000000,events/second
1606364582,39,0.002449,0.000000,0.000000,0.000000,events/second
1606364585,39,0.002449,0.000000,0.000000,0.000000,events/second
1606364588,39,0.002448,0.000000,0.000000,0.000000,events/second
1606364591,39,0.002448,0.000000,0.000000,0.000000,events/second
1606364594,39,0.002447,0.000000,0.000000,0.000000,events/second
1606364597,39,0.002447,0.000000,0.000000,0.000000,events/second
1606364600,39,0.002446,0.000000,0.000000,0.000000,events/second
1606364603,39,0.002446,0.000000,0.000000,0.000000,events/second
1606364606,39,0.002445,0.000000,0.000000,0.000000,events/second
1606364609,39,0.002445,0.000000,0.000000,0.000000,events/second
1606364612,39,0.002445,0.000000,0.000000,0.000000,events/second
1606364615,39,0.002444,0.000000,0.000000,0.000000,events/second
1606364618,39,0.002444,0.000000,0.000000,0.000000,events/second
1606364621,39,0.002443,0.000000,0.000000,0.000000,events/second
1606364624,39,0.002443,0.000000,0.000000,0.000000,events/second
1606364627,39,0.002442,0.000000,0.000000,0.000000,events/second
1606364630,39,0.002442,0.000000,0.000000,0.000000,events/second
1606364633,39,0.002441,0.000000,0.000000,0.000000,events/second
1606364636,39,0.002441,0.000000,0.000000,0.000000,events/second
1606364639,39,0.002440,0.000000,0.000000,0.000000,events/second
1606364642,39,0.002440,0.000000,0.000000,0.000000,events/second
1606364645,39,0.002439,0.000000,0.000000,0.000000,events/second
1606364648,39,0.002439,0.000000,0.000000,0.000000,events/second
1606364651,39,0.002439,0.000000,0.000000,0.000000,events/second
1606364654,39,0.002438,0.000000,0.000000,0.000000,events/second
1606364657,39,0.002438,0.000000,0.000000,0.000000,events/second
1606364660,39,0.002437,0.000000,0.000000,0.000000,events/second
1606364663,39,0.002437,0.000000,0.000000,0.000000,events/second
1606364666,39,0.002436,0.000000,0.000000,0.000000,events/second
1606364669,39,0.002436,0.000000,0.000000,0.000000,events/second
1606364672,39,0.002435,0.000000,0.000000,0.000000,events/second
1606364675,39,0.002435,0.000000,0.000000,0.000000,events/second
1606364678,39,0.002434,0.000000,0.000000,0.000000,events/second
1606364681,39,0.002434,0.000000,0.000000,0.000000,events/second
1606364684,39,0.002434,0.000000,0.000000,0.000000,events/second
1606364687,39,0.002433,0.000000,0.000000,0.000000,events/second
1606364690,39,0.002433,0.000000,0.000000,0.000000,events/second
1606364693,39,0.002432,0.000000,0.000000,0.000000,events/second
1606364696,39,0.002432,0.000000,0.000000,0.000000,events/second
1606364699,39,0.002431,0.000000,0.000000,0.000000,events/second
1606364702,39,0.002431,0.000000,0.000000,0.000000,events/second
1606364705,39,0.002430,0.000000,0.000000,0.000000,events/second
1606364708,39,0.002430,0.000000,0.000000,0.000000,events/second
1606364711,39,0.002429,0.000000,0.000000,0.000000,events/second
1606364714,39,0.002429,0.000000,0.000000,0.000000,events/second
1606364717,39,0.002429,0.000000,0.000000,0.000000,events/second
1606364720,39,0.002428,0.000000,0.000000,0.000000,events/second
1606364723,39,0.002428,0.000000,0.000000,0.000000,events/second
1606364726,39,0.002427,0.000000,0.000000,0.000000,events/second
1606364729,39,0.002427,0.000000,0.000000,0.000000,events/second
1606364732,39,0.002426,0.000000,0.000000,0.000000,events/second
1606364735,39,0.002426,0.000000,0.000000,0.000000,events/second
1606364738,39,0.002425,0.000000,0.000000,0.000000,events/second
1606364741,39,0.002425,0.000000,0.000000,0.000000,events/second
1606364744,39,0.002424,0.000000,0.000000,0.000000,events/second
1606364747,39,0.002424,0.000000,0.000000,0.000000,events/second
1606364750,39,0.002424,0.000000,0.000000,0.000000,events/second
1606364753,39,0.002423,0.000000,0.000000,0.000000,events/second
1606364756,39,0.002423,0.000000,0.000000,0.000000,events/second
1606364759,39,0.002422,0.000000,0.000000,0.000000,events/second
1606364762,39,0.002422,0.000000,0.000000,0.000000,events/second
1606364765,39,0.002421,0.000000,0.000000,0.000000,events/second
1606364768,39,0.002421,0.000000,0.000000,0.000000,events/second
1606364771,39,0.002420,0.000000,0.000000,0.000000,events/second
1606364774,39,0.002420,0.000000,0.000000,0.000000,events/second
1606364777,39,0.002420,0.000000,0.000000,0.000000,events/second
1606364780,39,0.002419,0.000000,0.000000,0.000000,events/second
1606364783,39,0.002419,0.000000,0.000000,0.000000,events/second
1606364786,39,0.002418,0.000000,0.000000,0.000000,events/second
1606364789,39,0.002418,0.000000,0.000000,0.000000,events/second
1606364792,39,0.002417,0.000000,0.000000,0.000000,events/second
1606364795,39,0.002417,0.000000,0.000000,0.000000,events/second
1606364798,39,0.002416,0.000000,0.000000,0.000000,events/second
1606364801,39,0.002416,0.000000,0.000000,0.000000,events/second
1606364804,39,0.002415,0.000000,0.000000,0.000000,events/second
1606364807,39,0.002415,0.000000,0.000000,0.000000,events/second
1606364810,39,0.002415,0.000000,0.000000,0.000000,events/second
1606364813,39,0.002414,0.000000,0.000000,0.000000,events/second
1606364816,39,0.002414,0.000000,0.000000,0.000000,events/second
1606364819,39,0.002413,0.000000,0.000000,0.000000,events/second
1606364822,39,0.002413,0.000000,0.000000,0.000000,events/second
1606364825,39,0.002412,0.000000,0.000000,0.000000,events/second
1606364828,39,0.002412,0.000000,0.000000,0.000000,events/second
1606364831,39,0.002411,0.000000,0.000000,0.000000,events/second
1606364834,39,0.002411,0.000000,0.000000,0.000000,events/second
1606364837,39,0.002411,0.000000,0.000000,0.000000,events/second
1606364840,39,0.002410,0.000000,0.000000,0.000000,events/second
1606364843,39,0.002410,0.000000,0.000000,0.000000,events/second
1606364846,39,0.002409,0.000000,0.000000,0.000000,events/second
1606364849,39,0.002409,0.000000,0.000000,0.000000,events/second
1606364852,39,0.002408,0.000000,0.000000,0.000000,events/second
1606364855,39,0.002408,0.000000,0.000000,0.000000,events/second
1606364858,39,0.002407,0.000000,0.000000,0.000000,events/second
1606364861,39,0.002407,0.000000,0.000000,0.000000,events/second
1606364864,39,0.002407,0.000000,0.000000,0.000000,events/second
1606364867,39,0.002406,0.000000,0.000000,0.000000,events/second
1606364870,39,0.002406,0.000000,0.000000,0.000000,events/second
1606364873,39,0.002405,0.000000,0.000000,0.000000,events/second
1606364876,39,0.002405,0.000000,0.000000,0.000000,events/second
1606364879,39,0.002404,0.000000,0.000000,0.000000,events/second
1606364882,39,0.002404,0.000000,0.000000,0.000000,events/second
1606364885,39,0.002403,0.000000,0.000000,0.000000,events/second
1606364888,39,0.002403,0.000000,0.000000,0.000000,events/second
1606364891,39,0.002403,0.000000,0.000000,0.000000,events/second
1606364894,39,0.002402,0.000000,0.000000,0.000000,events/second
1606364897,39,0.002402,0.000000,0.000000,0.000000,events/second
1606364900,39,0.002401,0.000000,0.000000,0.000000,events/second
1606364903,39,0.002401,0.000000,0.000000,0.000000,events/second
1606364906,39,0.002400,0.000000,0.000000,0.000000,events/second
1606364909,39,0.002400,0.000000,0.000000,0.000000,events/second
1606364912,39,0.002399,0.000000,0.000000,0.000000,events/second
1606364915,39,0.002399,0.000000,0.000000,0.000000,events/second
1606364918,39,0.002399,0.000000,0.000000,0.000000,events/second
1606364921,39,0.002398,0.000000,0.000000,0.000000,events/second
1606364924,39,0.002398,0.000000,0.000000,0.000000,events/second
1606364927,39,0.002397,0.000000,0.000000,0.000000,events/second
1606364930,39,0.002397,0.000000,0.000000,0.000000,events/second
1606364933,39,0.002396,0.000000,0.000000,0.000000,events/second
1606364936,39,0.002396,0.000000,0.000000,0.000000,events/second
1606364939,39,0.002395,0.000000,0.000000,0.000000,events/second
1606364942,39,0.002395,0.000000,0.000000,0.000000,events/second
1606364945,39,0.002395,0.000000,0.000000,0.000000,events/second
1606364948,39,0.002394,0.000000,0.000000,0.000000,events/second
1606364951,39,0.002394,0.000000,0.000000,0.000000,events/second
1606364954,39,0.002393,0.000000,0.000000,0.000000,events/second
1606364957,39,0.002393,0.000000,0.000000,0.000000,events/second
1606364960,39,0.002392,0.000000,0.000000,0.000000,events/second
1606364963,39,0.002392,0.000000,0.000000,0.000000,events/second
1606364966,39,0.002391,0.000000,0.000000,0.000000,events/second
1606364969,39,0.002391,0.000000,0.000000,0.000000,events/second
1606364972,39,0.002391,0.000000,0.000000,0.000000,events/second
1606364975,39,0.002390,0.000000,0.000000,0.000000,events/second
1606364978,39,0.002390,0.000000,0.000000,0.000000,events/second
1606364981,39,0.002389,0.000000,0.000000,0.000000,events/second
1606364984,39,0.002389,0.000000,0.000000,0.000000,events/second
1606364987,39,0.002388,0.000000,0.000000,0.000000,events/second
1606364990,39,0.002388,0.000000,0.000000,0.000000,events/second
1606364993,39,0.002388,0.000000,0.000000,0.000000,events/second
1606364996,39,0.002387,0.000000,0.000000,0.000000,events/second
1606364999,39,0.002387,0.000000,0.000000,0.000000,events/second
1606365002,39,0.002386,0.000000,0.000000,0.000000,events/second
1606365005,39,0.002386,0.000000,0.000000,0.000000,events/second
1606365008,39,0.002385,0.000000,0.000000,0.000000,events/second
1606365011,39,0.002385,0.000000,0.000000,0.000000,events/second
1606365014,39,0.002384,0.000000,0.000000,0.000000,events/second
1606365017,39,0.002384,0.000000,0.000000,0.000000,events/second
1606365020,39,0.002384,0.000000,0.000000,0.000000,events/second
1606365023,39,0.002383,0.000000,0.000000,0.000000,events/second
1606365026,39,0.002383,0.000000,0.000000,0.000000,events/second
1606365029,39,0.002382,0.000000,0.000000,0.000000,events/second
1606365032,39,0.002382,0.000000,0.000000,0.000000,events/second
1606365035,39,0.002381,0.000000,0.000000,0.000000,events/second
1606365038,39,0.002381,0.000000,0.000000,0.000000,events/second
1606365041,39,0.002381,0.000000,0.000000,0.000000,events/second
1606365044,39,0.002380,0.000000,0.000000,0.000000,events/second
1606365047,39,0.002380,0.000000,0.000000,0.000000,events/second
1606365050,39,0.002379,0.000000,0.000000,0.000000,events/second
1606365053,39,0.002379,0.000000,0.000000,0.000000,events/second
1606365056,39,0.002378,0.000000,0.000000,0.000000,events/second
1606365059,39,0.002378,0.000000,0.000000,0.000000,events/second
1606365062,39,0.002377,0.000000,0.000000,0.000000,events/second
1606365065,39,0.002377,0.000000,0.000000,0.000000,events/second
1606365068,39,0.002377,0.000000,0.000000,0.000000,events/second
1606365071,39,0.002376,0.000000,0.000000,0.000000,events/second
1606365074,39,0.002376,0.000000,0.000000,0.000000,events/second
1606365077,39,0.002375,0.000000,0.000000,0.000000,events/second
1606365080,39,0.002375,0.000000,0.000000,0.000000,events/second
1606365083,39,0.002374,0.000000,0.000000,0.000000,events/second
1606365086,39,0.002374,0.000000,0.000000,0.000000,events/second
1606365089,39,0.002374,0.000000,0.000000,0.000000,events/second
1606365092,39,0.002373,0.000000,0.000000,0.000000,events/second
1606365095,39,0.002373,0.000000,0.000000,0.000000,events/second
1606365098,39,0.002372,0.000000,0.000000,0.000000,events/second
1606365101,39,0.002372,0.000000,0.000000,0.000000,events/second
1606365104,39,0.002371,0.000000,0.000000,0.000000,events/second
1606365107,39,0.002371,0.000000,0.000000,0.000000,events/second
1606365110,39,0.002371,0.000000,0.000000,0.000000,events/second
1606365113,39,0.002370,0.000000,0.000000,0.000000,events/second
1606365116,39,0.002370,0.000000,0.000000,0.000000,events/second
1606365119,39,0.002369,0.000000,0.000000,0.000000,events/second
1606365122,39,0.002369,0.000000,0.000000,0.000000,events/second
1606365125,39,0.002368,0.000000,0.000000,0.000000,events/second
1606365128,39,0.002368,0.000000,0.000000,0.000000,events/second
1606365131,39,0.002368,0.000000,0.000000,0.000000,events/second
1606365134,39,0.002367,0.000000,0.000000,0.000000,events/second
1606365137,39,0.002367,0.000000,0.000000,0.000000,events/second
1606365140,39,0.002366,0.000000,0.000000,0.000000,events/second
1606365143,39,0.002366,0.000000,0.000000,0.000000,events/second
1606365146,39,0.002365,0.000000,0.000000,0.000000,events/second
1606365149,39,0.002365,0.000000,0.000000,0.000000,events/second
1606365152,39,0.002365,0.000000,0.000000,0.000000,events/second
1606365155,39,0.002364,0.000000,0.000000,0.000000,events/second
1606365158,39,0.002364,0.000000,0.000000,0.000000,events/second
1606365161,39,0.002363,0.000000,0.000000,0.000000,events/second
1606365164,39,0.002363,0.000000,0.000000,0.000000,events/second
1606365167,39,0.002362,0.000000,0.000000,0.000000,events/second
1606365170,39,0.002362,0.000000,0.000000,0.000000,events/second
1606365173,39,0.002361,0.000000,0.000000,0.000000,events/second
1606365176,39,0.002361,0.000000,0.000000,0.000000,events/second
1606365179,39,0.002361,0.000000,0.000000,0.000000,events/second
1606365182,39,0.002360,0.000000,0.000000,0.000000,events/second
1606365185,39,0.002360,0.000000,0.000000,0.000000,events/second
1606365188,39,0.002359,0.000000,0.000000,0.000000,events/second
1606365191,39,0.002359,0.000000,0.000000,0.000000,events/second
1606365194,39,0.002358,0.000000,0.000000,0.000000,events/second
1606365197,39,0.002358,0.000000,0.000000,0.000000,events/second
1606365200,39,0.002358,0.000000,0.000000,0.000000,events/second
1606365203,39,0.002357,0.000000,0.000000,0.000000,events/second
1606365206,39,0.002357,0.000000,0.000000,0.000000,events/second
1606365209,39,0.002356,0.000000,0.000000,0.000000,events/second
1606365212,39,0.002356,0.000000,0.000000,0.000000,events/second
1606365215,39,0.002356,0.000000,0.000000,0.000000,events/second
1606365218,39,0.002355,0.000000,0.000000,0.000000,events/second
1606365221,39,0.002355,0.000000,0.000000,0.000000,events/second
1606365224,39,0.002354,0.000000,0.000000,0.000000,events/second
1606365227,39,0.002354,0.000000,0.000000,0.000000,events/second
1606365230,39,0.002353,0.000000,0.000000,0.000000,events/second
1606365233,39,0.002353,0.000000,0.000000,0.000000,events/second
1606365236,39,0.002353,0.000000,0.000000,0.000000,events/second
1606365239,39,0.002352,0.000000,0.000000,0.000000,events/second
1606365242,39,0.002352,0.000000,0.000000,0.000000,events/second
1606365245,39,0.002351,0.000000,0.000000,0.000000,events/second
1606365248,39,0.002351,0.000000,0.000000,0.000000,events/second
1606365251,39,0.002350,0.000000,0.000000,0.000000,events/second
1606365254,39,0.002350,0.000000,0.000000,0.000000,events/second
1606365257,39,0.002350,0.000000,0.000000,0.000000,events/second
1606365260,39,0.002349,0.000000,0.000000,0.000000,events/second
1606365263,39,0.002349,0.000000,0.000000,0.000000,events/second
1606365266,39,0.002348,0.000000,0.000000,0.000000,events/second
1606365269,39,0.002348,0.000000,0.000000,0.000000,events/second
1606365272,39,0.002347,0.000000,0.000000,0.000000,events/second
1606365275,39,0.002347,0.000000,0.000000,0.000000,events/second
1606365278,39,0.002347,0.000000,0.000000,0.000000,events/second
1606365281,39,0.002346,0.000000,0.000000,0.000000,events/second
1606365284,39,0.002346,0.000000,0.000000,0.000000,events/second
1606365287,39,0.002345,0.000000,0.000000,0.000000,events/second
1606365290,39,0.002345,0.000000,0.000000,0.000000,events/second
1606365293,39,0.002344,0.000000,0.000000,0.000000,events/second
1606365296,39,0.002344,0.000000,0.000000,0.000000,events/second
1606365299,39,0.002344,0.000000,0.000000,0.000000,events/second
1606365302,39,0.002343,0.000000,0.000000,0.000000,events/second
1606365305,39,0.002343,0.000000,0.000000,0.000000,events/second
1606365308,39,0.002342,0.000000,0.000000,0.000000,events/second
1606365311,39,0.002342,0.000000,0.000000,0.000000,events/second
1606365314,39,0.002342,0.000000,0.000000,0.000000,events/second
1606365317,39,0.002341,0.000000,0.000000,0.000000,events/second
1606365320,39,0.002341,0.000000,0.000000,0.000000,events/second
1606365323,39,0.002340,0.000000,0.000000,0.000000,events/second
