t,value
1601675475,0.0
1601675478,1.0
1601675481,1.0
1601675484,1.0
1601675487,1.0
1601675490,1.0
1601675493,1.0
1601675496,1.0
1601675499,1.0
1601675502,1.0
1601675505,1.0
1601675508,1.0
1601675511,1.0
1601675514,1.0
1601675517,1.0
1601675520,1.0
1601675523,1.0
1601675526,1.0
1601675529,1.0
1601675532,1.0
1601675535,1.0
1601675538,1.0
1601675541,1.0
1601675544,1.0
1601675547,1.0
1601675550,1.0
1601675553,1.0
1601675556,1.0
1601675559,1.0
1601675562,1.0
1601675565,1.0
1601675568,1.0
1601675571,1.0
1601675574,1.0
1601675577,1.0
1601675580,1.0
1601675583,1.0
1601675586,1.0
1601675589,1.0
1601675592,1.0
1601675595,1.0
1601675598,1.0
1601675601,1.0
1601675604,1.0
1601675607,1.0
1601675610,1.0
1601675613,1.0
1601675616,1.0
1601675619,1.0
1601675622,1.0
1601675625,1.0
1601675628,1.0
1601675631,1.0
1601675634,1.0
1601675637,1.0
1601675640,1.0
1601675643,1.0
1601675646,1.0
1601675649,1.0
1601675652,1.0
1601675655,1.0
1601675658,1.0
1601675661,1.0
1601675664,1.0
1601675667,1.0
1601675670,1.0
1601675673,1.0
1601675676,1.0
1601675679,1.0
1601675682,1.0
1601675685,1.0
1601675688,1.0
1601675691,1.0
1601675694,1.0
1601675697,1.0
1601675700,1.0
1601675703,1.0
1601675706,1.0
1601675709,1.0
1601675712,1.0
1601675715,1.0
1601675718,1.0
1601675721,1.0
1601675724,1.0
1601675727,1.0
1601675730,1.0
1601675733,1.0
1601675736,1.0
1601675739,1.0
1601675742,1.0
1601675745,1.0
1601675748,1.0
1601675751,1.0
1601675754,1.0
1601675757,1.0
1601675760,1.0
1601675763,1.0
1601675766,1.0
1601675769,1.0
1601675772,1.0
1601675775,1.0
1601675778,1.0
1601675781,1.0
1601675784,1.0
1601675787,1.0
1601675790,1.0
1601675793,1.0
1601675796,1.0
1601675799,1.0
1601675802,1.0
1601675805,1.0
1601675808,1.0
1601675811,1.0
1601675814,1.0
1601675817,1.0
1601675820,1.0
1601675823,1.0
1601675826,1.0
1601675829,1.0
1601675832,1.0
1601675835,1.0
1601675838,1.0
1601675841,1.0
1601675844,1.0
1601675847,1.0
1601675850,1.0
1601675853,1.0
1601675856,1.0
1601675859,1.0
1601675862,1.0
1601675865,1.0
1601675868,1.0
1601675871,1.0
1601675874,1.0
1601675877,1.0
1601675880,1.0
1601675883,1.0
1601675886,1.0
1601675889,1.0
1601675892,1.0
1601675895,1.0
1601675898,1.0
1601675901,1.0
1601675904,1.0
1601675907,1.0
1601675910,1.0
1601675913,1.0
1601675916,1.0
1601675919,1.0
1601675922,1.0
1601675925,1.0
1601675928,1.0
1601675931,1.0
1601675934,1.0
1601675937,1.0
1601675940,1.0
1601675943,1.0
1601675946,1.0
1601675949,1.0
1601675952,1.0
1601675955,1.0
1601675958,1.0
1601675961,1.0
1601675964,1.0
1601675967,1.0
1601675970,1.0
1601675973,1.0
1601675976,1.0
1601675979,1.0
1601675982,1.0
1601675985,1.0
1601675988,1.0
1601675991,1.0
1601675994,1.0
1601675997,1.0
1601676000,1.0
1601676003,1.0
1601676006,1.0
1601676009,1.0
1601676012,1.0
1601676015,1.0
1601676018,1.0
1601676021,1.0
1601676024,1.0
1601676027,1.0
1601676030,1.0
1601676033,1.0
1601676036,1.0
1601676039,1.0
1601676042,1.0
1601676045,1.0
1601676048,1.0
1601676051,1.0
1601676054,1.0
1601676057,1.0
1601676060,1.0
1601676063,1.0
1601676066,1.0
1601676069,1.0
1601676072,1.0
1601676075,1.0
1601676078,1.0
1601676081,1.0
1601676084,1.0
1601676087,1.0
1601676090,1.0
1601676093,1.0
1601676096,1.0
1601676099,1.0
1601676102,1.0
1601676105,0.9868421052631579
1601676108,0.9868073878627969
1601676111,0.9868421052631579
1601676114,0.9877450980392157
1601676117,0.9877149877149877
1601676120,0.9869109947643979
1601676123,0.9884526558891455
1601676126,0.9891067538126361
1601676129,0.9891304347826086
1601676132,0.9891774891774892
1601676135,0.9892008639308856
1601676138,0.9897119341563786
1601676141,0.9892008639308856
1601676144,0.9896907216494846
1601676147,0.9902152641878669
1601676150,0.9901574803149606
1601676153,0.9901380670611439
1601676156,0.9901185770750988
1601676159,0.989648033126294
1601676162,1.0
1601676165,1.0
1601676168,1.0
1601676171,1.0
1601676174,1.0
1601676177,1.0
1601676180,1.0
1601676183,1.0
1601676186,1.0
1601676189,1.0
1601676192,1.0
1601676195,1.0
1601676198,1.0
1601676201,1.0
1601676204,1.0
1601676207,1.0
1601676210,1.0
1601676213,1.0
1601676216,1.0
1601676219,1.0
1601676222,1.0
1601676225,1.0
1601676228,1.0
1601676231,1.0
1601676234,1.0
1601676237,1.0
1601676240,1.0
1601676243,1.0
1601676246,1.0
1601676249,1.0
1601676252,1.0
1601676255,1.0
1601676258,1.0
1601676261,1.0
1601676264,1.0
1601676267,1.0
1601676270,1.0
1601676273,1.0
1601676276,1.0
1601676279,1.0
1601676282,1.0
1601676285,1.0
1601676288,1.0
1601676291,1.0
1601676294,1.0
1601676297,1.0
1601676300,1.0
1601676303,1.0
1601676306,1.0
1601676309,1.0
1601676312,1.0
1601676315,1.0
1601676318,1.0
1601676321,1.0
1601676324,1.0
1601676327,1.0
1601676330,1.0
1601676333,1.0
1601676336,1.0
1601676339,1.0
1601676342,1.0
1601676345,1.0
1601676348,1.0
1601676351,1.0
1601676354,1.0
1601676357,1.0
1601676360,1.0
1601676363,1.0
1601676366,1.0
1601676369,1.0
1601676372,1.0
1601676375,1.0
1601676378,1.0
1601676381,1.0
1601676384,1.0
1601676387,1.0
1601676390,1.0
1601676393,1.0
1601676396,1.0
1601676399,1.0
1601676402,1.0
1601676405,1.0
1601676408,1.0
1601676411,1.0
1601676414,1.0
1601676417,1.0
1601676420,1.0
1601676423,1.0
1601676426,1.0
1601676429,1.0
1601676432,1.0
1601676435,1.0
1601676438,1.0
1601676441,1.0
1601676444,1.0
1601676447,1.0
1601676450,1.0
1601676453,1.0
1601676456,1.0
1601676459,1.0
1601676462,1.0
1601676465,1.0
1601676468,1.0
1601676471,1.0
1601676474,1.0
1601676477,1.0
1601676480,1.0
1601676483,1.0
1601676486,1.0
1601676489,1.0
1601676492,1.0
1601676495,1.0
1601676498,1.0
1601676501,1.0
1601676504,1.0
1601676507,1.0
1601676510,1.0
1601676513,1.0
1601676516,1.0
1601676519,1.0
1601676522,1.0
1601676525,1.0
1601676528,1.0
1601676531,1.0
1601676534,1.0
1601676537,1.0
1601676540,1.0
1601676543,1.0
1601676546,1.0
1601676549,1.0
1601676552,1.0
1601676555,1.0
1601676558,1.0
1601676561,1.0
1601676564,1.0
1601676567,1.0
1601676570,1.0
1601676573,1.0
1601676576,1.0
1601676579,1.0
1601676582,1.0
1601676585,1.0
1601676588,1.0
1601676591,1.0
1601676594,1.0
1601676597,1.0
1601676600,1.0
1601676603,1.0
1601676606,1.0
1601676609,1.0
1601676612,1.0
1601676615,1.0
1601676618,1.0
1601676621,1.0
1601676624,1.0
1601676627,1.0
1601676630,1.0
1601676633,1.0
1601676636,1.0
1601676639,1.0
1601676642,1.0
1601676645,1.0
1601676648,1.0
1601676651,1.0
1601676654,1.0
1601676657,1.0
1601676660,1.0
1601676663,1.0
1601676666,1.0
1601676669,1.0
1601676672,1.0
1601676675,1.0
1601676678,1.0
1601676681,1.0
1601676684,1.0
1601676687,1.0
1601676690,1.0
1601676693,1.0
1601676696,1.0
1601676699,1.0
1601676702,1.0
1601676705,1.0
1601676708,1.0
1601676711,1.0
1601676714,0.9975
1601676717,0.9975
1601676720,0.9973684210526316
1601676723,0.9975308641975309
1601676726,0.9975369458128078
1601676729,0.9975429975429976
1601676732,0.9975550122249389
1601676735,0.9975550122249389
1601676738,0.9975669099756691
1601676741,0.9975728155339806
1601676744,0.9975609756097561
1601676747,0.9975728155339806
1601676750,0.9975728155339806
1601676753,0.9975845410628019
1601676756,0.9975903614457832
1601676759,0.9975961538461539
1601676762,0.9976076555023924
1601676765,0.9976133651551312
1601676768,0.997624703087886
1601676771,0.9976303317535545
1601676774,1.0
1601676777,1.0
1601676780,1.0
1601676783,1.0
1601676786,1.0
1601676789,1.0
1601676792,1.0
1601676795,1.0
1601676798,1.0
1601676801,1.0
1601676804,1.0
1601676807,1.0
1601676810,1.0
1601676813,1.0
1601676816,1.0
1601676819,1.0
1601676822,0.9954128440366973
1601676825,0.9954545454545455
1601676828,0.995475113122172
1601676831,0.995475113122172
1601676834,0.9955156950672646
1601676837,0.9955156950672646
1601676840,0.9952941176470588
1601676843,0.995575221238938
1601676846,0.9955947136563876
1601676849,0.9910313901345291
1601676852,0.9956521739130435
1601676855,0.9956521739130435
1601676858,0.9956896551724138
1601676861,0.9957081545064378
1601676864,0.9957264957264957
1601676867,0.9957446808510638
1601676870,0.9957446808510638
1601676873,0.9957805907172996
1601676876,0.9957983193277311
1601676879,0.99581589958159
1601676882,1.0
1601676885,1.0
1601676888,1.0
1601676891,1.0
1601676894,1.0
1601676897,1.0
1601676900,1.0
1601676903,1.0
1601676906,1.0
