t,value
1601675475,12
1601675478,12
1601675481,12
1601675484,12
1601675487,12
1601675490,12
1601675493,12
1601675496,12
1601675499,12
1601675502,12
1601675505,12
1601675508,12
1601675511,12
1601675514,12
1601675517,12
1601675520,12
1601675523,12
1601675526,12
1601675529,12
1601675532,12
1601675535,12
1601675538,12
1601675541,12
1601675544,12
1601675547,12
1601675550,12
1601675553,12
1601675556,12
1601675559,12
1601675562,12
1601675565,12
1601675568,12
1601675571,12
1601675574,12
1601675577,12
1601675580,12
1601675583,12
1601675586,12
1601675589,12
1601675592,12
1601675595,12
1601675598,12
1601675601,12
1601675604,12
1601675607,12
1601675610,12
1601675613,12
1601675616,12
1601675619,12
1601675622,12
1601675625,12
1601675628,12
1601675631,12
1601675634,12
1601675637,12
1601675640,12
1601675643,12
1601675646,12
1601675649,12
1601675652,12
1601675655,12
1601675658,12
1601675661,12
1601675664,12
1601675667,12
1601675670,12
1601675673,12
1601675676,12
1601675679,12
1601675682,12
1601675685,12
1601675688,12
1601675691,12
1601675694,12
1601675697,12
1601675700,12
1601675703,12
1601675706,12
1601675709,12
1601675712,12
1601675715,12
1601675718,12
1601675721,12
1601675724,12
1601675727,12
1601675730,12
1601675733,12
1601675736,12
1601675739,12
1601675742,12
1601675745,12
1601675748,12
1601675751,12
1601675754,12
1601675757,12
1601675760,12
1601675763,12
1601675766,12
1601675769,12
1601675772,12
1601675775,12
1601675778,12
1601675781,12
1601675784,12
1601675787,12
1601675790,12
1601675793,12
1601675796,12
1601675799,12
1601675802,12
1601675805,12
1601675808,12
1601675811,12
1601675814,12
1601675817,12
1601675820,12
1601675823,12
1601675826,12
1601675829,12
1601675832,12
1601675835,12
1601675838,12
1601675841,12
1601675844,12
1601675847,12
1601675850,12
1601675853,12
1601675856,12
1601675859,12
1601675862,12
1601675865,12
1601675868,12
1601675871,12
1601675874,12
1601675877,12
1601675880,12
1601675883,12
1601675886,12
1601675889,12
1601675892,12
1601675895,12
1601675898,12
1601675901,12
1601675904,12
1601675907,12
1601675910,12
1601675913,12
1601675916,12
1601675919,12
1601675922,12
1601675925,12
1601675928,12
1601675931,12
1601675934,12
1601675937,12
1601675940,12
1601675943,12
1601675946,12
1601675949,12
1601675952,12
1601675955,12
1601675958,12
1601675961,12
1601675964,12
1601675967,12
1601675970,12
1601675973,12
1601675976,12
1601675979,12
1601675982,12
1601675985,12
1601675988,12
1601675991,12
1601675994,12
1601675997,12
1601676000,12
1601676003,12
1601676006,12
1601676009,12
1601676012,12
1601676015,12
1601676018,12
1601676021,12
1601676024,12
1601676027,12
1601676030,12
1601676033,12
1601676036,12
1601676039,12
1601676042,12
1601676045,12
1601676048,12
1601676051,12
1601676054,12
1601676057,12
1601676060,12
1601676063,12
1601676066,12
1601676069,12
1601676072,12
1601676075,12
1601676078,12
1601676081,12
1601676084,12
1601676087,12
1601676090,12
1601676093,12
1601676096,12
1601676099,12
1601676102,12
1601676105,12
1601676108,12
1601676111,12
1601676114,12
1601676117,12
1601676120,12
1601676123,12
1601676126,12
1601676129,12
1601676132,12
1601676135,12
1601676138,12
1601676141,12
1601676144,12
1601676147,12
1601676150,12
1601676153,12
1601676156,12
1601676159,12
1601676162,12
1601676165,12
1601676168,12
1601676171,12
1601676174,12
1601676177,12
1601676180,12
1601676183,12
1601676186,12
1601676189,12
1601676192,12
1601676195,12
1601676198,12
1601676201,12
1601676204,12
1601676207,12
1601676210,12
1601676213,12
1601676216,12
1601676219,12
1601676222,12
1601676225,12
1601676228,12
1601676231,12
1601676234,12
1601676237,12
1601676240,12
1601676243,12
1601676246,12
1601676249,12
1601676252,12
1601676255,12
1601676258,12
1601676261,12
1601676264,12
1601676267,12
1601676270,12
1601676273,12
1601676276,12
1601676279,12
1601676282,12
1601676285,12
1601676288,12
1601676291,12
1601676294,12
1601676297,12
1601676300,12
1601676303,12
1601676306,12
1601676309,12
1601676312,12
1601676315,12
1601676318,12
1601676321,12
1601676324,12
1601676327,12
1601676330,12
1601676333,12
1601676336,12
1601676339,12
1601676342,12
1601676345,12
1601676348,12
1601676351,12
1601676354,12
1601676357,12
1601676360,12
1601676363,12
1601676366,12
1601676369,12
1601676372,12
1601676375,12
1601676378,12
1601676381,12
1601676384,12
1601676387,12
1601676390,12
1601676393,12
1601676396,12
1601676399,12
1601676402,12
1601676405,12
1601676408,12
1601676411,12
1601676414,12
1601676417,12
1601676420,12
1601676423,12
1601676426,12
1601676429,12
1601676432,12
1601676435,12
1601676438,12
1601676441,12
1601676444,12
1601676447,12
1601676450,12
1601676453,12
1601676456,12
1601676459,12
1601676462,12
1601676465,12
1601676468,12
1601676471,12
1601676474,12
1601676477,12
1601676480,12
1601676483,12
1601676486,12
1601676489,12
1601676492,12
1601676495,12
1601676498,12
1601676501,12
1601676504,12
1601676507,12
1601676510,12
1601676513,12
1601676516,12
1601676519,12
1601676522,12
1601676525,12
1601676528,12
1601676531,12
1601676534,12
1601676537,12
1601676540,12
1601676543,12
1601676546,12
1601676549,12
1601676552,12
1601676555,12
1601676558,12
1601676561,12
1601676564,12
1601676567,12
1601676570,12
1601676573,12
1601676576,12
1601676579,12
1601676582,12
1601676585,12
1601676588,12
1601676591,12
1601676594,12
1601676597,12
1601676600,12
1601676603,12
1601676606,12
1601676609,12
1601676612,12
1601676615,12
1601676618,12
1601676621,12
1601676624,12
1601676627,12
1601676630,12
1601676633,12
1601676636,12
1601676639,12
1601676642,12
1601676645,12
1601676648,12
1601676651,12
1601676654,12
1601676657,12
1601676660,12
1601676663,12
1601676666,12
1601676669,12
1601676672,12
1601676675,12
1601676678,12
1601676681,12
1601676684,12
1601676687,12
1601676690,12
1601676693,12
1601676696,12
1601676699,12
1601676702,12
1601676705,12
1601676708,12
1601676711,12
1601676714,12
1601676717,12
1601676720,12
1601676723,12
1601676726,12
1601676729,12
1601676732,12
1601676735,12
1601676738,12
1601676741,12
1601676744,12
1601676747,12
1601676750,12
1601676753,12
1601676756,12
1601676759,12
1601676762,12
1601676765,12
1601676768,12
1601676771,12
1601676774,12
1601676777,12
1601676780,12
1601676783,12
1601676786,12
1601676789,12
1601676792,12
1601676795,12
1601676798,12
1601676801,12
1601676804,12
1601676807,12
1601676810,12
1601676813,12
1601676816,12
1601676819,12
1601676822,12
1601676825,12
1601676828,12
1601676831,12
1601676834,12
1601676837,12
1601676840,12
1601676843,12
1601676846,12
1601676849,12
1601676852,12
1601676855,12
1601676858,12
1601676861,12
1601676864,12
1601676867,12
1601676870,12
1601676873,12
1601676876,12
1601676879,12
1601676882,12
1601676885,12
1601676888,12
1601676891,12
1601676894,12
1601676897,12
1601676900,12
1601676903,12
1601676906,12
1601676909,12
1601676912,12
1601676915,12
1601676918,12
1601676921,12
1601676924,12
1601676927,12
1601676930,12
1601676933,12
1601676936,12
1601676939,12
1601676942,12
1601676945,12
1601676948,12
1601676951,12
1601676954,12
1601676957,12
1601676960,12
1601676963,12
1601676966,12
1601676969,12
1601676972,12
1601676975,12
1601676978,12
1601676981,12
1601676984,12
1601676987,12
1601676990,12
1601676993,12
1601676996,12
1601676999,12
1601677002,12
1601677005,12
1601677008,12
1601677011,12
1601677014,12
1601677017,12
1601677020,12
1601677023,12
1601677026,12
1601677029,12
1601677032,12
1601677035,12
1601677038,12
1601677041,12
1601677044,12
1601677047,12
1601677050,12
1601677053,12
1601677056,12
1601677059,12
1601677062,12
1601677065,12
1601677068,12
1601677071,12
1601677074,12
1601677077,12
1601677080,12
1601677083,12
1601677086,12
1601677089,12
1601677092,12
1601677095,12
1601677098,12
1601677101,12
1601677104,12
1601677107,12
1601677110,12
1601677113,12
1601677116,12
1601677119,12
1601677122,12
1601677125,12
1601677128,12
1601677131,12
1601677134,12
1601677137,12
1601677140,12
1601677143,12
1601677146,12
1601677149,12
1601677152,12
1601677155,12
1601677158,12
1601677161,12
1601677164,12
1601677167,12
1601677170,12
1601677173,12
1601677176,12
1601677179,12
1601677182,12
1601677185,12
1601677188,12
1601677191,12
1601677194,12
1601677197,12
1601677200,12
1601677203,12
1601677206,12
1601677209,12
1601677212,12
1601677215,12
1601677218,12
1601677221,12
1601677224,12
1601677227,12
1601677230,12
1601677233,12
1601677236,12
1601677239,12
1601677242,12
1601677245,12
1601677248,12
1601677251,12
1601677254,12
1601677257,12
1601677260,12
1601677263,12
1601677266,12
1601677269,12
1601677272,12
1601677275,12
1601677278,12
1601677281,12
1601677284,12
1601677287,12
1601677290,12
1601677293,12
1601677296,12
1601677299,12
1601677302,12
1601677305,12
1601677308,12
1601677311,12
1601677314,12
1601677317,12
1601677320,12
1601677323,12
1601677326,12
1601677329,12
1601677332,12
1601677335,12
1601677338,12
1601677341,12
1601677344,12
1601677347,12
1601677350,12
1601677353,12
1601677356,12
1601677359,12
1601677362,12
1601677365,12
1601677368,12
1601677371,12
1601677374,12
1601677377,12
1601677380,12
1601677383,12
1601677386,12
1601677389,12
1601677392,12
1601677395,12
1601677398,12
1601677401,12
1601677404,12
1601677407,12
1601677410,12
1601677413,12
1601677416,12
1601677419,12
1601677422,12
1601677425,12
1601677428,12
1601677431,12
1601677434,12
1601677437,12
1601677440,12
1601677443,12
1601677446,12
1601677449,12
1601677452,12
1601677455,12
1601677458,12
1601677461,12
1601677464,12
1601677467,12
1601677470,12
1601677473,12
1601677476,12
1601677479,12
1601677482,12
1601677485,12
1601677488,12
1601677491,12
1601677494,12
1601677497,12
1601677500,12
1601677503,12
1601677506,12
1601677509,12
1601677512,12
1601677515,12
1601677518,12
1601677521,12
1601677524,12
1601677527,12
1601677530,12
1601677533,12
1601677536,12
1601677539,12
1601677542,12
1601677545,12
1601677548,12
1601677551,12
1601677554,12
1601677557,12
1601677560,12
1601677563,12
1601677566,12
1601677569,12
1601677572,12
1601677575,12
1601677578,12
1601677581,12
1601677584,12
1601677587,12
1601677590,12
1601677593,12
1601677596,12
1601677599,12
1601677602,12
1601677605,12
1601677608,12
1601677611,12
1601677614,12
1601677617,12
1601677620,12
1601677623,12
1601677626,12
1601677629,12
1601677632,12
1601677635,12
1601677638,12
1601677641,12
1601677644,12
1601677647,12
1601677650,12
1601677653,12
1601677656,12
1601677659,12
1601677662,12
1601677665,12
1601677668,12
1601677671,12
1601677674,12
1601677677,12
1601677680,12
1601677683,12
1601677686,12
1601677689,12
1601677692,12
1601677695,12
1601677698,12
1601677701,12
1601677704,12
1601677707,12
1601677710,12
1601677713,12
1601677716,12
1601677719,12
1601677722,12
1601677725,12
1601677728,12
1601677731,12
1601677734,12
1601677737,12
1601677740,12
1601677743,12
1601677746,12
1601677749,12
1601677752,12
1601677755,12
1601677758,12
1601677761,12
1601677764,12
1601677767,12
1601677770,12
1601677773,12
1601677776,12
