t,value
1601675475,6
1601675478,6
1601675481,6
1601675484,6
1601675487,6
1601675490,6
1601675493,6
1601675496,6
1601675499,6
1601675502,6
1601675505,6
1601675508,6
1601675511,6
1601675514,6
1601675517,6
1601675520,6
1601675523,6
1601675526,6
1601675529,6
1601675532,6
1601675535,7
1601675538,7
1601675541,7
1601675544,7
1601675547,7
1601675550,7
1601675553,7
1601675556,7
1601675559,7
1601675562,7
1601675565,7
1601675568,7
1601675571,7
1601675574,7
1601675577,7
1601675580,7
1601675583,7
1601675586,7
1601675589,7
1601675592,7
1601675595,7
1601675598,7
1601675601,7
1601675604,7
1601675607,7
1601675610,7
1601675613,7
1601675616,7
1601675619,7
1601675622,7
1601675625,7
1601675628,7
1601675631,7
1601675634,7
1601675637,7
1601675640,7
1601675643,7
1601675646,7
1601675649,7
1601675652,7
1601675655,7
1601675658,7
1601675661,7
1601675664,7
1601675667,7
1601675670,7
1601675673,7
1601675676,7
1601675679,7
1601675682,7
1601675685,7
1601675688,7
1601675691,7
1601675694,7
1601675697,7
1601675700,7
1601675703,7
1601675706,7
1601675709,7
1601675712,7
1601675715,7
1601675718,7
1601675721,7
1601675724,7
1601675727,7
1601675730,7
1601675733,7
1601675736,7
1601675739,7
1601675742,7
1601675745,7
1601675748,7
1601675751,7
1601675754,7
1601675757,7
1601675760,7
1601675763,7
1601675766,7
1601675769,7
1601675772,7
1601675775,7
1601675778,7
1601675781,7
1601675784,7
1601675787,7
1601675790,7
1601675793,7
1601675796,7
1601675799,7
1601675802,7
1601675805,7
1601675808,7
1601675811,7
1601675814,7
1601675817,7
1601675820,7
1601675823,7
1601675826,7
1601675829,7
1601675832,7
1601675835,7
1601675838,7
1601675841,7
1601675844,7
1601675847,7
1601675850,7
1601675853,7
1601675856,7
1601675859,7
1601675862,7
1601675865,7
1601675868,7
1601675871,7
1601675874,7
1601675877,7
1601675880,7
1601675883,7
1601675886,7
1601675889,7
1601675892,7
1601675895,7
1601675898,7
1601675901,7
1601675904,7
1601675907,7
1601675910,7
1601675913,7
1601675916,7
1601675919,7
1601675922,7
1601675925,7
1601675928,7
1601675931,7
1601675934,7
1601675937,7
1601675940,7
1601675943,7
1601675946,7
1601675949,7
1601675952,7
1601675955,7
1601675958,7
1601675961,7
1601675964,7
1601675967,7
1601675970,7
1601675973,7
1601675976,7
1601675979,7
1601675982,7
1601675985,7
1601675988,7
1601675991,7
1601675994,7
1601675997,7
1601676000,7
1601676003,7
1601676006,7
1601676009,7
1601676012,7
1601676015,7
1601676018,7
1601676021,7
1601676024,7
1601676027,7
1601676030,7
1601676033,7
1601676036,7
1601676039,7
1601676042,7
1601676045,7
1601676048,7
1601676051,7
1601676054,7
1601676057,7
1601676060,7
1601676063,7
1601676066,7
1601676069,7
1601676072,7
1601676075,7
1601676078,7
1601676081,7
1601676084,7
1601676087,7
1601676090,7
1601676093,7
1601676096,7
1601676099,7
1601676102,7
1601676105,7
1601676108,7
1601676111,7
1601676114,7
1601676117,7
1601676120,7
1601676123,7
1601676126,7
1601676129,7
1601676132,7
1601676135,7
1601676138,7
1601676141,7
1601676144,7
1601676147,7
1601676150,7
1601676153,7
1601676156,7
1601676159,7
1601676162,7
1601676165,7
1601676168,7
1601676171,7
1601676174,7
1601676177,7
1601676180,7
1601676183,7
1601676186,7
1601676189,7
1601676192,7
1601676195,7
1601676198,7
1601676201,7
1601676204,7
1601676207,7
1601676210,7
1601676213,7
1601676216,7
1601676219,7
1601676222,7
1601676225,7
1601676228,7
1601676231,7
1601676234,7
1601676237,7
1601676240,7
1601676243,7
1601676246,7
1601676249,7
1601676252,7
1601676255,7
1601676258,7
1601676261,7
1601676264,7
1601676267,7
1601676270,7
1601676273,7
1601676276,7
1601676279,7
1601676282,7
1601676285,7
1601676288,7
1601676291,7
1601676294,7
1601676297,7
1601676300,7
1601676303,7
1601676306,7
1601676309,7
1601676312,7
1601676315,7
1601676318,7
1601676321,7
1601676324,7
1601676327,7
1601676330,7
1601676333,7
1601676336,7
1601676339,7
1601676342,7
1601676345,7
1601676348,7
1601676351,7
1601676354,7
1601676357,7
1601676360,7
1601676363,7
1601676366,7
1601676369,7
1601676372,7
1601676375,7
1601676378,7
1601676381,7
1601676384,7
1601676387,7
1601676390,7
1601676393,7
1601676396,7
1601676399,7
1601676402,7
1601676405,7
1601676408,7
1601676411,7
1601676414,7
1601676417,7
1601676420,7
1601676423,7
1601676426,7
1601676429,7
1601676432,7
1601676435,7
1601676438,7
1601676441,7
1601676444,7
1601676447,7
1601676450,7
1601676453,7
1601676456,7
1601676459,7
1601676462,7
1601676465,7
1601676468,7
1601676471,7
1601676474,7
1601676477,7
1601676480,7
1601676483,7
1601676486,7
1601676489,7
1601676492,7
1601676495,7
1601676498,7
1601676501,7
1601676504,7
1601676507,7
1601676510,7
1601676513,7
1601676516,7
1601676519,7
1601676522,7
1601676525,7
1601676528,7
1601676531,7
1601676534,7
1601676537,7
1601676540,7
1601676543,7
1601676546,7
1601676549,7
1601676552,7
1601676555,7
1601676558,7
1601676561,7
1601676564,7
1601676567,7
