t,value
1601675475,32
1601675478,32
1601675481,32
1601675484,32
1601675487,32
1601675490,32
1601675493,32
1601675496,32
1601675499,32
1601675502,32
1601675505,32
1601675508,32
1601675511,32
1601675514,32
1601675517,32
1601675520,32
1601675523,32
1601675526,32
1601675529,32
1601675532,32
1601675535,32
1601675538,32
1601675541,32
1601675544,32
1601675547,32
1601675550,32
1601675553,32
1601675556,32
1601675559,32
1601675562,32
1601675565,32
1601675568,32
1601675571,32
1601675574,32
1601675577,32
1601675580,32
1601675583,32
1601675586,32
1601675589,32
1601675592,32
1601675595,32
1601675598,32
1601675601,32
1601675604,32
1601675607,32
1601675610,32
1601675613,32
1601675616,32
1601675619,32
1601675622,32
1601675625,32
1601675628,32
1601675631,32
1601675634,32
1601675637,32
1601675640,32
1601675643,32
1601675646,32
1601675649,32
1601675652,32
1601675655,32
1601675658,32
1601675661,32
1601675664,32
1601675667,32
1601675670,32
1601675673,32
1601675676,32
1601675679,32
1601675682,32
1601675685,32
1601675688,32
1601675691,32
1601675694,32
1601675697,32
1601675700,32
1601675703,32
1601675706,32
1601675709,32
1601675712,32
1601675715,32
1601675718,32
1601675721,32
1601675724,32
1601675727,32
1601675730,32
1601675733,32
1601675736,32
1601675739,32
1601675742,32
1601675745,32
1601675748,32
1601675751,32
1601675754,32
1601675757,32
1601675760,32
1601675763,32
1601675766,32
1601675769,32
1601675772,32
1601675775,32
1601675778,32
1601675781,32
1601675784,32
1601675787,32
1601675790,32
1601675793,32
1601675796,32
1601675799,32
1601675802,32
1601675805,32
1601675808,32
1601675811,32
1601675814,32
1601675817,32
1601675820,32
1601675823,32
1601675826,32
1601675829,32
1601675832,32
1601675835,32
1601675838,32
1601675841,32
1601675844,32
1601675847,32
1601675850,32
1601675853,32
1601675856,32
1601675859,32
1601675862,32
1601675865,32
1601675868,32
1601675871,32
1601675874,32
1601675877,32
1601675880,32
1601675883,32
1601675886,32
1601675889,32
1601675892,32
1601675895,32
1601675898,32
1601675901,32
1601675904,32
1601675907,32
1601675910,32
1601675913,32
1601675916,32
1601675919,32
1601675922,32
1601675925,32
1601675928,32
1601675931,32
1601675934,32
1601675937,32
1601675940,32
1601675943,32
1601675946,32
1601675949,32
1601675952,32
1601675955,32
1601675958,32
1601675961,32
1601675964,32
1601675967,32
1601675970,32
1601675973,32
1601675976,32
1601675979,32
1601675982,32
1601675985,32
1601675988,32
1601675991,32
1601675994,32
1601675997,32
1601676000,32
1601676003,32
1601676006,32
1601676009,32
1601676012,32
1601676015,32
1601676018,32
1601676021,32
1601676024,32
1601676027,32
1601676030,32
1601676033,32
1601676036,32
1601676039,32
1601676042,32
1601676045,32
1601676048,32
1601676051,32
1601676054,32
1601676057,32
1601676060,32
1601676063,32
1601676066,32
1601676069,32
1601676072,32
1601676075,32
1601676078,32
1601676081,32
1601676084,32
1601676087,32
1601676090,32
1601676093,32
1601676096,32
1601676099,32
1601676102,32
1601676105,32
1601676108,32
1601676111,32
1601676114,32
1601676117,32
1601676120,32
1601676123,32
1601676126,32
1601676129,32
1601676132,32
1601676135,32
1601676138,32
1601676141,32
1601676144,32
