t,value
1601675475,80
1601675478,80
1601675481,80
1601675484,80
1601675487,80
1601675490,80
1601675493,80
1601675496,80
1601675499,80
1601675502,80
1601675505,80
1601675508,80
1601675511,80
1601675514,80
1601675517,80
1601675520,80
1601675523,80
1601675526,80
1601675529,80
1601675532,80
1601675535,80
1601675538,80
1601675541,80
1601675544,80
1601675547,80
1601675550,80
1601675553,80
1601675556,80
1601675559,80
1601675562,80
1601675565,80
1601675568,80
1601675571,80
1601675574,80
1601675577,80
1601675580,80
1601675583,80
1601675586,80
1601675589,80
1601675592,80
1601675595,80
1601675598,80
1601675601,80
1601675604,80
1601675607,80
1601675610,80
1601675613,80
1601675616,80
1601675619,80
1601675622,80
1601675625,80
1601675628,80
1601675631,80
1601675634,80
1601675637,80
1601675640,80
1601675643,80
1601675646,80
1601675649,80
1601675652,80
1601675655,80
1601675658,80
1601675661,80
1601675664,80
1601675667,80
1601675670,80
1601675673,80
1601675676,80
1601675679,80
1601675682,80
1601675685,80
1601675688,80
1601675691,80
1601675694,80
1601675697,80
1601675700,80
1601675703,80
1601675706,80
1601675709,80
1601675712,80
1601675715,80
1601675718,80
1601675721,80
1601675724,80
1601675727,80
1601675730,80
1601675733,80
1601675736,80
1601675739,80
1601675742,80
1601675745,80
1601675748,80
1601675751,80
1601675754,80
1601675757,80
1601675760,80
1601675763,80
1601675766,80
1601675769,80
1601675772,80
1601675775,80
1601675778,80
1601675781,80
1601675784,80
1601675787,80
1601675790,80
1601675793,80
1601675796,80
1601675799,80
1601675802,80
1601675805,80
1601675808,80
1601675811,80
1601675814,80
1601675817,80
1601675820,80
1601675823,80
1601675826,80
1601675829,80
1601675832,80
1601675835,80
1601675838,80
1601675841,80
1601675844,80
1601675847,80
1601675850,80
1601675853,80
1601675856,80
1601675859,80
1601675862,80
1601675865,80
1601675868,80
1601675871,80
1601675874,80
1601675877,80
1601675880,80
1601675883,80
1601675886,80
1601675889,80
1601675892,80
1601675895,80
1601675898,80
1601675901,80
1601675904,80
1601675907,80
1601675910,80
1601675913,80
1601675916,80
1601675919,80
1601675922,80
