t,value
1601675475,61
1601675478,61
1601675481,61
1601675484,61
1601675487,61
1601675490,61
1601675493,61
1601675496,61
1601675499,61
1601675502,61
1601675505,61
1601675508,61
1601675511,61
1601675514,61
1601675517,61
1601675520,61
1601675523,61
1601675526,61
1601675529,61
1601675532,61
1601675535,61
1601675538,61
1601675541,61
1601675544,61
1601675547,61
1601675550,61
1601675553,61
1601675556,61
1601675559,61
1601675562,61
1601675565,61
1601675568,61
1601675571,61
1601675574,61
1601675577,61
1601675580,61
1601675583,61
1601675586,61
1601675589,61
1601675592,61
1601675595,61
1601675598,61
1601675601,61
1601675604,61
1601675607,61
1601675610,61
1601675613,61
1601675616,61
1601675619,61
1601675622,61
1601675625,61
1601675628,61
1601675631,61
1601675634,61
1601675637,61
1601675640,61
1601675643,61
1601675646,61
1601675649,61
1601675652,61
1601675655,61
1601675658,61
1601675661,61
1601675664,61
1601675667,61
1601675670,61
1601675673,61
1601675676,61
1601675679,61
1601675682,61
1601675685,61
1601675688,61
1601675691,61
1601675694,61
1601675697,61
1601675700,61
1601675703,61
1601675706,61
1601675709,61
1601675712,61
1601675715,61
1601675718,61
1601675721,61
1601675724,61
1601675727,61
1601675730,61
1601675733,61
1601675736,61
1601675739,61
1601675742,61
1601675745,61
1601675748,61
1601675751,61
1601675754,61
1601675757,61
1601675760,61
1601675763,61
1601675766,61
1601675769,61
1601675772,61
1601675775,61
1601675778,61
1601675781,61
1601675784,61
1601675787,61
1601675790,61
1601675793,61
1601675796,61
1601675799,61
1601675802,61
1601675805,61
1601675808,61
1601675811,61
1601675814,61
1601675817,61
1601675820,61
1601675823,61
1601675826,61
1601675829,61
1601675832,61
1601675835,61
1601675838,61
1601675841,61
1601675844,61
1601675847,61
1601675850,61
1601675853,61
1601675856,61
1601675859,61
1601675862,61
1601675865,61
1601675868,61
1601675871,61
1601675874,61
1601675877,61
1601675880,61
1601675883,61
1601675886,61
1601675889,61
1601675892,61
1601675895,61
1601675898,61
1601675901,61
1601675904,61
1601675907,61
1601675910,61
1601675913,61
1601675916,61
1601675919,61
1601675922,61
1601675925,61
1601675928,61
1601675931,61
1601675934,61
1601675937,61
1601675940,61
1601675943,61
1601675946,61
1601675949,61
1601675952,61
1601675955,61
1601675958,61
1601675961,61
1601675964,61
1601675967,61
1601675970,61
1601675973,61
1601675976,61
1601675979,61
1601675982,61
1601675985,61
1601675988,61
1601675991,61
1601675994,61
1601675997,61
1601676000,61
1601676003,61
1601676006,61
1601676009,61
1601676012,61
1601676015,61
1601676018,61
1601676021,61
1601676024,61
1601676027,61
1601676030,61
1601676033,61
1601676036,61
1601676039,61
1601676042,61
1601676045,61
1601676048,61
1601676051,61
1601676054,61
1601676057,61
1601676060,61
1601676063,61
1601676066,61
1601676069,61
1601676072,61
1601676075,61
1601676078,61
1601676081,61
1601676084,61
1601676087,61
1601676090,61
1601676093,61
1601676096,61
1601676099,61
1601676102,61
1601676105,61
1601676108,61
1601676111,61
1601676114,61
1601676117,61
1601676120,61
1601676123,61
1601676126,61
1601676129,61
1601676132,61
1601676135,61
1601676138,61
1601676141,61
1601676144,61
1601676147,61
1601676150,61
1601676153,61
1601676156,61
1601676159,61
1601676162,61
1601676165,61
1601676168,61
1601676171,61
1601676174,61
1601676177,61
1601676180,61
1601676183,61
1601676186,61
1601676189,61
1601676192,61
1601676195,61
1601676198,61
1601676201,61
1601676204,61
1601676207,61
1601676210,61
1601676213,61
1601676216,61
1601676219,61
1601676222,61
1601676225,61
1601676228,61
1601676231,61
1601676234,61
1601676237,61
1601676240,61
1601676243,61
1601676246,61
1601676249,61
1601676252,61
1601676255,61
1601676258,61
1601676261,61
1601676264,61
1601676267,61
1601676270,61
1601676273,61
1601676276,61
1601676279,61
1601676282,61
1601676285,61
1601676288,61
1601676291,61
1601676294,61
1601676297,61
1601676300,61
1601676303,61
1601676306,61
1601676309,61
1601676312,61
1601676315,61
1601676318,61
1601676321,61
1601676324,61
1601676327,61
1601676330,61
1601676333,61
1601676336,61
1601676339,61
1601676342,61
1601676345,61
1601676348,61
1601676351,61
1601676354,61
1601676357,61
1601676360,61
1601676363,61
1601676366,61
1601676369,61
1601676372,61
1601676375,61
1601676378,61
1601676381,61
1601676384,61
1601676387,61
1601676390,61
1601676393,61
1601676396,61
1601676399,61
1601676402,61
1601676405,61
1601676408,61
1601676411,61
1601676414,61
1601676417,61
1601676420,61
1601676423,61
1601676426,61
1601676429,61
1601676432,61
1601676435,61
1601676438,61
1601676441,61
1601676444,61
1601676447,61
1601676450,61
1601676453,61
1601676456,61
1601676459,61
1601676462,61
1601676465,61
1601676468,61
1601676471,61
1601676474,61
1601676477,61
1601676480,61
1601676483,61
1601676486,61
1601676489,61
1601676492,61
1601676495,61
1601676498,61
1601676501,61
1601676504,61
1601676507,61
1601676510,61
1601676513,61
1601676516,61
1601676519,61
1601676522,61
1601676525,61
1601676528,61
1601676531,61
1601676534,61
1601676537,61
1601676540,61
1601676543,61
1601676546,61
1601676549,61
1601676552,61
1601676555,61
1601676558,61
1601676561,61
1601676564,61
1601676567,61
1601676570,61
1601676573,61
1601676576,61
1601676579,61
1601676582,61
1601676585,61
1601676588,61
1601676591,61
1601676594,61
1601676597,61
1601676600,61
1601676603,61
1601676606,61
1601676609,61
1601676612,61
1601676615,61
1601676618,61
1601676621,61
1601676624,61
1601676627,61
1601676630,61
1601676633,61
1601676636,61
1601676639,61
1601676642,61
1601676645,61
1601676648,61
1601676651,61
1601676654,61
1601676657,61
1601676660,61
1601676663,61
1601676666,61
1601676669,61
1601676672,61
1601676675,61
1601676678,61
1601676681,61
1601676684,61
1601676687,61
1601676690,61
1601676693,61
1601676696,61
1601676699,61
1601676702,61
1601676705,61
1601676708,61
1601676711,61
1601676714,61
1601676717,61
1601676720,61
1601676723,61
1601676726,61
1601676729,61
1601676732,61
1601676735,61
1601676738,61
1601676741,61
1601676744,61
1601676747,61
1601676750,61
1601676753,61
1601676756,61
1601676759,61
1601676762,61
1601676765,61
1601676768,61
1601676771,61
1601676774,61
1601676777,61
1601676780,61
1601676783,61
1601676786,61
1601676789,61
1601676792,61
1601676795,61
1601676798,61
1601676801,61
1601676804,61
1601676807,61
1601676810,61
1601676813,61
1601676816,61
1601676819,61
1601676822,61
1601676825,61
1601676828,61
1601676831,61
1601676834,61
1601676837,61
1601676840,61
1601676843,61
1601676846,61
1601676849,61
1601676852,61
1601676855,61
1601676858,61
1601676861,61
1601676864,61
1601676867,61
1601676870,61
1601676873,61
1601676876,61
1601676879,61
1601676882,61
1601676885,61
1601676888,61
1601676891,61
1601676894,61
1601676897,61
1601676900,61
1601676903,61
1601676906,61
1601676909,61
1601676912,61
1601676915,61
1601676918,61
1601676921,61
1601676924,61
1601676927,61
1601676930,61
1601676933,61
1601676936,61
1601676939,61
1601676942,61
1601676945,61
1601676948,61
1601676951,61
1601676954,61
1601676957,61
1601676960,61
1601676963,61
1601676966,61
1601676969,61
1601676972,61
1601676975,61
1601676978,61
1601676981,61
1601676984,61
1601676987,61
1601676990,61
1601676993,61
1601676996,61
1601676999,61
1601677002,61
1601677005,61
1601677008,61
1601677011,61
1601677014,61
1601677017,61
1601677020,61
1601677023,61
1601677026,61
1601677029,61
1601677032,61
1601677035,61
1601677038,61
1601677041,61
1601677044,61
1601677047,61
1601677050,61
1601677053,61
1601677056,61
1601677059,61
1601677062,61
1601677065,61
1601677068,61
1601677071,61
1601677074,61
1601677077,61
1601677080,61
1601677083,61
1601677086,61
1601677089,61
1601677092,61
1601677095,61
1601677098,61
1601677101,61
1601677104,61
1601677107,61
1601677110,61
1601677113,61
1601677116,61
1601677119,61
1601677122,61
1601677125,61
1601677128,61
1601677131,61
1601677134,61
1601677137,61
1601677140,61
1601677143,61
1601677146,61
1601677149,61
1601677152,61
1601677155,61
1601677158,61
1601677161,61
1601677164,61
1601677167,61
1601677170,61
1601677173,61
1601677176,61
1601677179,61
1601677182,61
1601677185,61
1601677188,61
1601677191,61
1601677194,61
1601677197,61
1601677200,61
1601677203,61
1601677206,61
1601677209,61
1601677212,61
1601677215,61
1601677218,61
1601677221,61
1601677224,61
1601677227,61
1601677230,61
1601677233,61
1601677236,61
1601677239,61
1601677242,61
1601677245,61
1601677248,61
1601677251,61
1601677254,61
1601677257,61
1601677260,61
1601677263,61
1601677266,61
1601677269,61
1601677272,61
1601677275,61
1601677278,61
1601677281,61
1601677284,61
1601677287,61
1601677290,61
1601677293,61
1601677296,61
1601677299,61
1601677302,61
1601677305,61
1601677308,61
1601677311,61
1601677314,61
1601677317,61
1601677320,61
1601677323,61
1601677326,61
1601677329,61
1601677332,61
1601677335,61
1601677338,61
1601677341,61
1601677344,61
1601677347,61
1601677350,61
1601677353,61
1601677356,61
1601677359,61
1601677362,61
1601677365,61
1601677368,61
1601677371,61
1601677374,61
1601677377,61
1601677380,61
1601677383,61
1601677386,61
1601677389,61
1601677392,61
1601677395,61
1601677398,61
1601677401,61
1601677404,61
1601677407,61
1601677410,61
1601677413,61
1601677416,61
1601677419,61
1601677422,61
1601677425,61
1601677428,61
1601677431,61
1601677434,61
1601677437,61
1601677440,61
1601677443,61
1601677446,61
1601677449,61
1601677452,61
1601677455,61
1601677458,61
1601677461,61
1601677464,61
1601677467,61
1601677470,61
1601677473,61
1601677476,61
1601677479,61
1601677482,61
1601677485,61
1601677488,61
1601677491,61
1601677494,61
1601677497,61
1601677500,61
1601677503,61
1601677506,61
1601677509,61
1601677512,61
1601677515,61
1601677518,61
1601677521,61
1601677524,61
1601677527,61
1601677530,61
1601677533,61
1601677536,61
1601677539,61
1601677542,61
1601677545,61
1601677548,61
1601677551,61
1601677554,61
1601677557,61
1601677560,61
1601677563,61
1601677566,61
1601677569,61
1601677572,61
1601677575,61
1601677578,61
1601677581,61
1601677584,61
1601677587,61
1601677590,61
1601677593,61
1601677596,61
1601677599,61
1601677602,61
1601677605,61
1601677608,61
1601677611,61
1601677614,61
1601677617,61
1601677620,61
1601677623,61
1601677626,61
1601677629,61
1601677632,61
1601677635,61
1601677638,61
1601677641,61
1601677644,61
1601677647,61
1601677650,61
1601677653,61
1601677656,61
1601677659,61
1601677662,61
1601677665,61
1601677668,61
1601677671,61
1601677674,61
1601677677,61
1601677680,61
1601677683,61
