t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606367324,46,0.002464,0.000000,0.000000,0.000000,events/second
1606367327,46,0.002464,0.000000,0.000000,0.000000,events/second
1606367330,46,0.002463,0.000000,0.000000,0.000000,events/second
1606367333,46,0.002463,0.000000,0.000000,0.000000,events/second
1606367336,46,0.002463,0.000000,0.000000,0.000000,events/second
1606367339,46,0.002462,0.000000,0.000000,0.000000,events/second
1606367342,46,0.002462,0.000000,0.000000,0.000000,events/second
1606367345,46,0.002461,0.000000,0.000000,0.000000,events/second
1606367348,46,0.002461,0.000000,0.000000,0.000000,events/second
1606367351,46,0.002461,0.000000,0.000000,0.000000,events/second
1606367354,46,0.002460,0.000000,0.000000,0.000000,events/second
1606367357,46,0.002460,0.000000,0.000000,0.000000,events/second
1606367360,46,0.002459,0.000000,0.000000,0.000000,events/second
1606367363,46,0.002459,0.000000,0.000000,0.000000,events/second
1606367366,46,0.002459,0.000000,0.000000,0.000000,events/second
1606367369,46,0.002458,0.000000,0.000000,0.000000,events/second
1606367372,46,0.002458,0.000000,0.000000,0.000000,events/second
1606367375,46,0.002457,0.000000,0.000000,0.000000,events/second
1606367378,46,0.002457,0.000000,0.000000,0.000000,events/second
1606367381,46,0.002457,0.000000,0.000000,0.000000,events/second
1606367384,46,0.002456,0.000000,0.000000,0.000000,events/second
1606367387,46,0.002456,0.000000,0.000000,0.000000,events/second
1606367390,46,0.002455,0.000000,0.000000,0.000000,events/second
1606367393,46,0.002455,0.000000,0.000000,0.000000,events/second
1606367396,46,0.002455,0.000000,0.000000,0.000000,events/second
1606367399,46,0.002454,0.000000,0.000000,0.000000,events/second
1606367402,46,0.002454,0.000000,0.000000,0.000000,events/second
1606367405,46,0.002454,0.000000,0.000000,0.000000,events/second
1606367408,46,0.002453,0.000000,0.000000,0.000000,events/second
1606367411,46,0.002453,0.000000,0.000000,0.000000,events/second
1606367414,46,0.002452,0.000000,0.000000,0.000000,events/second
1606367417,46,0.002452,0.000000,0.000000,0.000000,events/second
1606367420,46,0.002452,0.000000,0.000000,0.000000,events/second
1606367423,46,0.002451,0.000000,0.000000,0.000000,events/second
1606367426,46,0.002451,0.000000,0.000000,0.000000,events/second
1606367429,46,0.002450,0.000000,0.000000,0.000000,events/second
1606367432,46,0.002450,0.000000,0.000000,0.000000,events/second
1606367435,46,0.002450,0.000000,0.000000,0.000000,events/second
1606367438,46,0.002449,0.000000,0.000000,0.000000,events/second
