t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606374884,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374887,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374890,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374893,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374896,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374899,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374902,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374905,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374908,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374911,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374914,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374917,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374920,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374923,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374926,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374929,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374932,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374935,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374938,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374941,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374944,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374947,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374950,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374953,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374956,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374959,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374962,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374965,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374968,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374971,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374974,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374977,3,0.000114,0.000000,0.000000,0.000000,events/second
1606374980,3,0.000114,0.000000,0.000000,0.000000,events/second
