t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606358120,10,0.001057,0.000000,0.000000,0.000000,events/second
1606358123,10,0.001056,0.000000,0.000000,0.000000,events/second
1606358126,10,0.001056,0.000000,0.000000,0.000000,events/second
1606358129,10,0.001056,0.000000,0.000000,0.000000,events/second
1606358132,10,0.001055,0.000000,0.000000,0.000000,events/second
1606358135,10,0.001055,0.000000,0.000000,0.000000,events/second
1606358138,10,0.001055,0.000000,0.000000,0.000000,events/second
1606358141,10,0.001054,0.000000,0.000000,0.000000,events/second
1606358144,10,0.001054,0.000000,0.000000,0.000000,events/second
1606358147,10,0.001054,0.000000,0.000000,0.000000,events/second
1606358150,10,0.001053,0.000000,0.000000,0.000000,events/second
1606358153,10,0.001053,0.000000,0.000000,0.000000,events/second
1606358156,10,0.001053,0.000000,0.000000,0.000000,events/second
1606358159,10,0.001052,0.000000,0.000000,0.000000,events/second
1606358162,10,0.001052,0.000000,0.000000,0.000000,events/second
1606358165,10,0.001052,0.000000,0.000000,0.000000,events/second
1606358168,10,0.001051,0.000000,0.000000,0.000000,events/second
1606358171,10,0.001051,0.000000,0.000000,0.000000,events/second
1606358174,10,0.001051,0.000000,0.000000,0.000000,events/second
1606358177,10,0.001050,0.000000,0.000000,0.000000,events/second
1606358180,10,0.001050,0.000000,0.000000,0.000000,events/second
1606358183,10,0.001050,0.000000,0.000000,0.000000,events/second
1606358186,10,0.001049,0.000000,0.000000,0.000000,events/second
1606358189,10,0.001049,0.000000,0.000000,0.000000,events/second
1606358192,10,0.001049,0.000000,0.000000,0.000000,events/second
1606358195,10,0.001048,0.000000,0.000000,0.000000,events/second
1606358198,10,0.001048,0.000000,0.000000,0.000000,events/second
1606358201,10,0.001048,0.000000,0.000000,0.000000,events/second
1606358204,10,0.001047,0.000000,0.000000,0.000000,events/second
1606358207,10,0.001047,0.000000,0.000000,0.000000,events/second
1606358210,10,0.001047,0.000000,0.000000,0.000000,events/second
1606358213,10,0.001046,0.000000,0.000000,0.000000,events/second
1606358216,10,0.001046,0.000000,0.000000,0.000000,events/second
1606358219,10,0.001046,0.000000,0.000000,0.000000,events/second
1606358222,10,0.001045,0.000000,0.000000,0.000000,events/second
1606358225,10,0.001045,0.000000,0.000000,0.000000,events/second
