t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606364576,43,0.002701,0.000000,0.000000,0.000000,events/second
1606364579,43,0.002701,0.000000,0.000000,0.000000,events/second
1606364582,43,0.002700,0.000000,0.000000,0.000000,events/second
1606364585,43,0.002700,0.000000,0.000000,0.000000,events/second
1606364588,43,0.002699,0.000000,0.000000,0.000000,events/second
1606364591,43,0.002699,0.000000,0.000000,0.000000,events/second
1606364594,43,0.002698,0.000000,0.000000,0.000000,events/second
1606364597,43,0.002698,0.000000,0.000000,0.000000,events/second
1606364600,43,0.002697,0.000000,0.000000,0.000000,events/second
1606364603,43,0.002697,0.000000,0.000000,0.000000,events/second
1606364606,43,0.002696,0.000000,0.000000,0.000000,events/second
1606364609,43,0.002696,0.000000,0.000000,0.000000,events/second
1606364612,43,0.002695,0.000000,0.000000,0.000000,events/second
1606364615,43,0.002695,0.000000,0.000000,0.000000,events/second
1606364618,43,0.002694,0.000000,0.000000,0.000000,events/second
1606364621,43,0.002694,0.000000,0.000000,0.000000,events/second
1606364624,43,0.002693,0.000000,0.000000,0.000000,events/second
1606364627,43,0.002693,0.000000,0.000000,0.000000,events/second
1606364630,43,0.002692,0.000000,0.000000,0.000000,events/second
1606364633,43,0.002692,0.000000,0.000000,0.000000,events/second
1606364636,43,0.002691,0.000000,0.000000,0.000000,events/second
1606364639,43,0.002691,0.000000,0.000000,0.000000,events/second
1606364642,43,0.002690,0.000000,0.000000,0.000000,events/second
1606364645,43,0.002690,0.000000,0.000000,0.000000,events/second
1606364648,43,0.002689,0.000000,0.000000,0.000000,events/second
1606364651,43,0.002689,0.000000,0.000000,0.000000,events/second
1606364654,43,0.002688,0.000000,0.000000,0.000000,events/second
1606364657,43,0.002688,0.000000,0.000000,0.000000,events/second
1606364660,43,0.002687,0.000000,0.000000,0.000000,events/second
1606364663,43,0.002687,0.000000,0.000000,0.000000,events/second
1606364666,43,0.002686,0.000000,0.000000,0.000000,events/second
1606364669,43,0.002686,0.000000,0.000000,0.000000,events/second
1606364672,43,0.002685,0.000000,0.000000,0.000000,events/second
1606364675,43,0.002685,0.000000,0.000000,0.000000,events/second
1606364678,43,0.002684,0.000000,0.000000,0.000000,events/second
1606364681,43,0.002684,0.000000,0.000000,0.000000,events/second
1606364684,43,0.002683,0.000000,0.000000,0.000000,events/second
1606364687,43,0.002683,0.000000,0.000000,0.000000,events/second
1606364690,43,0.002682,0.000000,0.000000,0.000000,events/second
1606364693,43,0.002682,0.000000,0.000000,0.000000,events/second
1606364696,43,0.002681,0.000000,0.000000,0.000000,events/second
1606364699,43,0.002681,0.000000,0.000000,0.000000,events/second
1606364702,43,0.002680,0.000000,0.000000,0.000000,events/second
1606364705,43,0.002680,0.000000,0.000000,0.000000,events/second
1606364708,43,0.002679,0.000000,0.000000,0.000000,events/second
1606364711,43,0.002679,0.000000,0.000000,0.000000,events/second
1606364714,43,0.002678,0.000000,0.000000,0.000000,events/second
1606364717,43,0.002678,0.000000,0.000000,0.000000,events/second
1606364720,43,0.002677,0.000000,0.000000,0.000000,events/second
1606364723,43,0.002677,0.000000,0.000000,0.000000,events/second
1606364726,43,0.002676,0.000000,0.000000,0.000000,events/second
1606364729,43,0.002676,0.000000,0.000000,0.000000,events/second
1606364732,43,0.002675,0.000000,0.000000,0.000000,events/second
1606364735,43,0.002675,0.000000,0.000000,0.000000,events/second
1606364738,43,0.002674,0.000000,0.000000,0.000000,events/second
1606364741,43,0.002674,0.000000,0.000000,0.000000,events/second
1606364744,43,0.002673,0.000000,0.000000,0.000000,events/second
1606364747,43,0.002673,0.000000,0.000000,0.000000,events/second
1606364750,43,0.002672,0.000000,0.000000,0.000000,events/second
1606364753,43,0.002672,0.000000,0.000000,0.000000,events/second
1606364756,43,0.002671,0.000000,0.000000,0.000000,events/second
1606364759,43,0.002671,0.000000,0.000000,0.000000,events/second
1606364762,43,0.002670,0.000000,0.000000,0.000000,events/second
1606364765,43,0.002670,0.000000,0.000000,0.000000,events/second
1606364768,43,0.002669,0.000000,0.000000,0.000000,events/second
1606364771,43,0.002669,0.000000,0.000000,0.000000,events/second
1606364774,43,0.002668,0.000000,0.000000,0.000000,events/second
1606364777,43,0.002668,0.000000,0.000000,0.000000,events/second
1606364780,43,0.002667,0.000000,0.000000,0.000000,events/second
1606364783,43,0.002667,0.000000,0.000000,0.000000,events/second
1606364786,43,0.002666,0.000000,0.000000,0.000000,events/second
1606364789,43,0.002666,0.000000,0.000000,0.000000,events/second
1606364792,44,0.002727,0.000000,0.000000,0.000000,events/second
1606364795,44,0.002727,0.000000,0.000000,0.000000,events/second
1606364798,44,0.002726,0.000000,0.000000,0.000000,events/second
1606364801,44,0.002726,0.000000,0.000000,0.000000,events/second
1606364804,44,0.002725,0.000000,0.000000,0.000000,events/second
1606364807,44,0.002725,0.000000,0.000000,0.000000,events/second
1606364810,44,0.002724,0.000000,0.000000,0.000000,events/second
1606364813,44,0.002724,0.000000,0.000000,0.000000,events/second
1606364816,44,0.002723,0.000000,0.000000,0.000000,events/second
1606364819,44,0.002723,0.000000,0.000000,0.000000,events/second
1606364822,44,0.002722,0.000000,0.000000,0.000000,events/second
1606364825,44,0.002722,0.000000,0.000000,0.000000,events/second
