t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606360229,223,0.019272,0.000000,0.000000,0.000000,events/second
1606360232,223,0.019267,0.000000,0.000000,0.000000,events/second
1606360235,223,0.019262,0.000000,0.000000,0.000000,events/second
1606360238,223,0.019257,0.000000,0.000000,0.000000,events/second
1606360241,223,0.019252,0.000000,0.000000,0.000000,events/second
1606360244,223,0.019247,0.000000,0.000000,0.000000,events/second
1606360247,223,0.019242,0.000000,0.000000,0.000000,events/second
1606360250,223,0.019237,0.000000,0.000000,0.000000,events/second
1606360253,223,0.019232,0.000000,0.000000,0.000000,events/second
1606360256,223,0.019228,0.000000,0.000000,0.000000,events/second
1606360259,223,0.019223,0.000000,0.000000,0.000000,events/second
1606360262,223,0.019218,0.000000,0.000000,0.000000,events/second
1606360265,223,0.019213,0.000000,0.000000,0.000000,events/second
1606360268,223,0.019208,0.000000,0.000000,0.000000,events/second
1606360271,223,0.019203,0.000000,0.000000,0.000000,events/second
1606360274,223,0.019198,0.000000,0.000000,0.000000,events/second
1606360277,223,0.019193,0.000000,0.000000,0.000000,events/second
1606360280,223,0.019188,0.000000,0.000000,0.000000,events/second
1606360283,223,0.019183,0.000000,0.000000,0.000000,events/second
1606360286,223,0.019178,0.000000,0.000000,0.000000,events/second
1606360289,223,0.019173,0.000000,0.000000,0.000000,events/second
1606360292,223,0.019168,0.000000,0.000000,0.000000,events/second
1606360295,223,0.019163,0.000000,0.000000,0.000000,events/second
1606360298,223,0.019158,0.000000,0.000000,0.000000,events/second
1606360301,223,0.019153,0.000000,0.000000,0.000000,events/second
1606360304,223,0.019148,0.000000,0.000000,0.000000,events/second
1606360307,223,0.019143,0.000000,0.000000,0.000000,events/second
1606360310,223,0.019138,0.000000,0.000000,0.000000,events/second
1606360313,223,0.019133,0.000000,0.000000,0.000000,events/second
1606360316,223,0.019129,0.000000,0.000000,0.000000,events/second
1606360319,223,0.019124,0.000000,0.000000,0.000000,events/second
1606360322,223,0.019119,0.000000,0.000000,0.000000,events/second
1606360325,223,0.019114,0.000000,0.000000,0.000000,events/second
1606360328,223,0.019109,0.000000,0.000000,0.000000,events/second
1606360331,223,0.019104,0.000000,0.000000,0.000000,events/second
1606360334,223,0.019099,0.000000,0.000000,0.000000,events/second
1606360337,223,0.019094,0.000000,0.000000,0.000000,events/second
1606360340,223,0.019089,0.000000,0.000000,0.000000,events/second
1606360343,223,0.019084,0.000000,0.000000,0.000000,events/second
1606360346,223,0.019079,0.000000,0.000000,0.000000,events/second
1606360349,223,0.019075,0.000000,0.000000,0.000000,events/second
1606360352,223,0.019070,0.000000,0.000000,0.000000,events/second
1606360355,223,0.019065,0.000000,0.000000,0.000000,events/second
1606360358,223,0.019060,0.000000,0.000000,0.000000,events/second
1606360361,223,0.019055,0.000000,0.000000,0.000000,events/second
1606360364,223,0.019050,0.000000,0.000000,0.000000,events/second
1606360367,223,0.019045,0.000000,0.000000,0.000000,events/second
1606360370,223,0.019040,0.000000,0.000000,0.000000,events/second
1606360373,223,0.019035,0.000000,0.000000,0.000000,events/second
1606360376,223,0.019031,0.000000,0.000000,0.000000,events/second
1606360379,223,0.019026,0.000000,0.000000,0.000000,events/second
1606360382,223,0.019021,0.000000,0.000000,0.000000,events/second
1606360385,223,0.019016,0.000000,0.000000,0.000000,events/second
1606360388,223,0.019011,0.000000,0.000000,0.000000,events/second
1606360391,223,0.019006,0.000000,0.000000,0.000000,events/second
1606360394,223,0.019001,0.000000,0.000000,0.000000,events/second
1606360397,223,0.018997,0.000000,0.000000,0.000000,events/second
1606360400,223,0.018992,0.000000,0.000000,0.000000,events/second
1606360403,223,0.018987,0.000000,0.000000,0.000000,events/second
1606360406,223,0.018982,0.000000,0.000000,0.000000,events/second
1606360409,223,0.018977,0.000000,0.000000,0.000000,events/second
1606360412,223,0.018972,0.000000,0.000000,0.000000,events/second
1606360415,223,0.018967,0.000000,0.000000,0.000000,events/second
1606360418,224,0.019048,0.000000,0.000000,0.000000,events/second
1606360421,224,0.019043,0.000000,0.000000,0.000000,events/second
1606360424,224,0.019038,0.000000,0.000000,0.000000,events/second
1606360427,224,0.019033,0.000000,0.000000,0.000000,events/second
1606360430,224,0.019028,0.000000,0.000000,0.000000,events/second
1606360433,224,0.019023,0.000000,0.000000,0.000000,events/second
1606360436,224,0.019019,0.000000,0.000000,0.000000,events/second
1606360439,224,0.019014,0.000000,0.000000,0.000000,events/second
1606360442,224,0.019009,0.000000,0.000000,0.000000,events/second
1606360445,224,0.019004,0.000000,0.000000,0.000000,events/second
1606360448,224,0.018999,0.000000,0.000000,0.000000,events/second
1606360451,224,0.018994,0.000000,0.000000,0.000000,events/second
1606360454,224,0.018990,0.000000,0.000000,0.000000,events/second
1606360457,224,0.018985,0.000000,0.000000,0.000000,events/second
1606360460,224,0.018980,0.000000,0.000000,0.000000,events/second
1606360463,224,0.018975,0.000000,0.000000,0.000000,events/second
1606360466,224,0.018970,0.000000,0.000000,0.000000,events/second
1606360469,224,0.018965,0.000000,0.000000,0.000000,events/second
1606360472,224,0.018961,0.000000,0.000000,0.000000,events/second
1606360475,224,0.018956,0.000000,0.000000,0.000000,events/second
1606360478,224,0.018951,0.000000,0.000000,0.000000,events/second
1606360481,224,0.018946,0.000000,0.000000,0.000000,events/second
1606360484,224,0.018941,0.000000,0.000000,0.000000,events/second
1606360487,224,0.018937,0.000000,0.000000,0.000000,events/second
1606360490,224,0.018932,0.000000,0.000000,0.000000,events/second
1606360493,224,0.018927,0.000000,0.000000,0.000000,events/second
1606360496,224,0.018922,0.000000,0.000000,0.000000,events/second
1606360499,224,0.018917,0.000000,0.000000,0.000000,events/second
1606360502,224,0.018913,0.000000,0.000000,0.000000,events/second
1606360505,224,0.018908,0.000000,0.000000,0.000000,events/second
1606360508,224,0.018903,0.000000,0.000000,0.000000,events/second
1606360511,224,0.018898,0.000000,0.000000,0.000000,events/second
1606360514,224,0.018893,0.000000,0.000000,0.000000,events/second
1606360517,224,0.018889,0.000000,0.000000,0.000000,events/second
1606360520,224,0.018884,0.000000,0.000000,0.000000,events/second
1606360523,224,0.018879,0.000000,0.000000,0.000000,events/second
1606360526,224,0.018874,0.000000,0.000000,0.000000,events/second
1606360529,224,0.018870,0.000000,0.000000,0.000000,events/second
1606360532,224,0.018865,0.000000,0.000000,0.000000,events/second
1606360535,224,0.018860,0.000000,0.000000,0.000000,events/second
1606360538,224,0.018855,0.000000,0.000000,0.000000,events/second
1606360541,224,0.018851,0.000000,0.000000,0.000000,events/second
1606360544,224,0.018846,0.000000,0.000000,0.000000,events/second
1606360547,224,0.018841,0.000000,0.000000,0.000000,events/second
1606360550,224,0.018836,0.000000,0.000000,0.000000,events/second
1606360553,224,0.018832,0.000000,0.000000,0.000000,events/second
1606360556,224,0.018827,0.000000,0.000000,0.000000,events/second
1606360559,224,0.018822,0.000000,0.000000,0.000000,events/second
1606360562,224,0.018817,0.000000,0.000000,0.000000,events/second
1606360565,224,0.018813,0.000000,0.000000,0.000000,events/second
1606360568,224,0.018808,0.000000,0.000000,0.000000,events/second
1606360571,224,0.018803,0.000000,0.000000,0.000000,events/second
1606360574,224,0.018798,0.000000,0.000000,0.000000,events/second
1606360577,224,0.018794,0.000000,0.000000,0.000000,events/second
1606360580,224,0.018789,0.000000,0.000000,0.000000,events/second
1606360583,224,0.018784,0.000000,0.000000,0.000000,events/second
1606360586,224,0.018779,0.000000,0.000000,0.000000,events/second
1606360589,224,0.018775,0.000000,0.000000,0.000000,events/second
1606360592,224,0.018770,0.000000,0.000000,0.000000,events/second
1606360595,224,0.018765,0.000000,0.000000,0.000000,events/second
1606360598,224,0.018761,0.000000,0.000000,0.000000,events/second
1606360601,224,0.018756,0.000000,0.000000,0.000000,events/second
1606360604,224,0.018751,0.000000,0.000000,0.000000,events/second
1606360607,224,0.018746,0.000000,0.000000,0.000000,events/second
1606360610,224,0.018742,0.000000,0.000000,0.000000,events/second
1606360613,224,0.018737,0.000000,0.000000,0.000000,events/second
1606360616,224,0.018732,0.000000,0.000000,0.000000,events/second
1606360619,224,0.018728,0.000000,0.000000,0.000000,events/second
1606360622,224,0.018723,0.000000,0.000000,0.000000,events/second
1606360625,224,0.018718,0.000000,0.000000,0.000000,events/second
1606360628,224,0.018714,0.000000,0.000000,0.000000,events/second
1606360631,224,0.018709,0.000000,0.000000,0.000000,events/second
1606360634,224,0.018704,0.000000,0.000000,0.000000,events/second
1606360637,224,0.018699,0.000000,0.000000,0.000000,events/second
1606360640,224,0.018695,0.000000,0.000000,0.000000,events/second
1606360643,224,0.018690,0.000000,0.000000,0.000000,events/second
1606360646,224,0.018685,0.000000,0.000000,0.000000,events/second
1606360649,224,0.018681,0.000000,0.000000,0.000000,events/second
1606360652,224,0.018676,0.000000,0.000000,0.000000,events/second
1606360655,224,0.018671,0.000000,0.000000,0.000000,events/second
1606360658,224,0.018667,0.000000,0.000000,0.000000,events/second
1606360661,224,0.018662,0.000000,0.000000,0.000000,events/second
1606360664,224,0.018657,0.000000,0.000000,0.000000,events/second
1606360667,224,0.018653,0.000000,0.000000,0.000000,events/second
1606360670,224,0.018648,0.000000,0.000000,0.000000,events/second
1606360673,224,0.018643,0.000000,0.000000,0.000000,events/second
1606360676,224,0.018639,0.000000,0.000000,0.000000,events/second
1606360679,224,0.018634,0.000000,0.000000,0.000000,events/second
1606360682,224,0.018629,0.000000,0.000000,0.000000,events/second
1606360685,224,0.018625,0.000000,0.000000,0.000000,events/second
1606360688,224,0.018620,0.000000,0.000000,0.000000,events/second
1606360691,224,0.018616,0.000000,0.000000,0.000000,events/second
1606360694,224,0.018611,0.000000,0.000000,0.000000,events/second
1606360697,224,0.018606,0.000000,0.000000,0.000000,events/second
1606360700,224,0.018602,0.000000,0.000000,0.000000,events/second
1606360703,224,0.018597,0.000000,0.000000,0.000000,events/second
1606360706,224,0.018592,0.000000,0.000000,0.000000,events/second
1606360709,224,0.018588,0.000000,0.000000,0.000000,events/second
1606360712,224,0.018583,0.000000,0.000000,0.000000,events/second
1606360715,224,0.018578,0.000000,0.000000,0.000000,events/second
1606360718,224,0.018574,0.000000,0.000000,0.000000,events/second
1606360721,224,0.018569,0.000000,0.000000,0.000000,events/second
1606360724,224,0.018565,0.000000,0.000000,0.000000,events/second
1606360727,224,0.018560,0.000000,0.000000,0.000000,events/second
1606360730,224,0.018555,0.000000,0.000000,0.000000,events/second
1606360733,224,0.018551,0.000000,0.000000,0.000000,events/second
1606360736,224,0.018546,0.000000,0.000000,0.000000,events/second
1606360739,224,0.018542,0.000000,0.000000,0.000000,events/second
1606360742,224,0.018537,0.000000,0.000000,0.000000,events/second
1606360745,224,0.018532,0.000000,0.000000,0.000000,events/second
1606360748,224,0.018528,0.000000,0.000000,0.000000,events/second
1606360751,224,0.018523,0.000000,0.000000,0.000000,events/second
1606360754,224,0.018519,0.000000,0.000000,0.000000,events/second
1606360757,224,0.018514,0.000000,0.000000,0.000000,events/second
1606360760,224,0.018509,0.000000,0.000000,0.000000,events/second
1606360763,224,0.018505,0.000000,0.000000,0.000000,events/second
1606360766,224,0.018500,0.000000,0.000000,0.000000,events/second
