t,value
1601675475,10293
1601675478,10497
1601675481,10497
1601675484,10497
1601675487,10497
1601675490,10497
1601675493,10497
1601675496,10497
1601675499,10497
1601675502,11957
1601675505,12000
1601675508,12124
1601675511,12124
1601675514,12124
1601675517,12124
1601675520,12124
1601675523,12847
1601675526,12847
1601675529,12847
1601675532,12267
1601675535,12267
1601675538,12267
1601675541,12267
1601675544,12267
1601675547,12267
1601675550,12267
1601675553,12267
1601675556,12267
1601675559,12267
1601675562,12309
1601675565,12309
1601675568,12309
1601675571,12309
1601675574,12309
1601675577,12309
1601675580,12309
1601675583,12309
1601675586,12309
1601675589,12309
1601675592,12309
1601675595,12309
1601675598,12309
1601675601,12309
1601675604,12309
1601675607,12309
1601675610,12309
1601675613,12309
1601675616,12309
1601675619,12309
1601675622,12309
1601675625,12309
1601675628,12309
1601675631,12309
1601675634,12309
1601675637,12309
1601675640,12309
1601675643,12309
1601675646,12309
1601675649,12309
1601675652,12309
1601675655,12309
1601675658,12309
1601675661,12309
1601675664,12309
1601675667,12309
1601675670,12309
1601675673,12309
1601675676,12309
1601675679,12309
1601675682,12309
1601675685,12309
1601675688,12309
1601675691,12309
1601675694,12309
1601675697,12309
1601675700,12309
1601675703,12309
1601675706,12309
1601675709,12309
1601675712,12309
1601675715,12309
1601675718,12309
1601675721,12309
1601675724,12309
1601675727,12309
1601675730,12309
1601675733,12309
1601675736,12309
1601675739,12309
1601675742,12309
1601675745,12309
1601675748,12309
1601675751,12309
1601675754,12309
1601675757,12309
1601675760,12309
1601675763,12309
1601675766,12309
1601675769,12309
1601675772,12309
1601675775,12309
1601675778,12309
1601675781,12309
1601675784,12310
1601675787,12310
1601675790,12310
1601675793,12310
1601675796,12310
1601675799,12310
1601675802,12310
1601675805,12310
1601675808,12310
1601675811,12310
1601675814,12310
1601675817,12310
1601675820,12310
1601675823,12310
1601675826,12310
1601675829,12310
1601675832,12310
1601675835,12310
1601675838,12310
1601675841,12310
1601675844,12310
1601675847,12310
1601675850,12310
1601675853,12310
1601675856,12310
1601675859,12310
1601675862,12310
1601675865,12310
1601675868,12310
1601675871,12310
1601675874,12310
1601675877,12310
1601675880,12310
1601675883,12310
1601675886,12310
1601675889,12310
1601675892,12310
1601675895,12310
1601675898,12310
1601675901,12310
1601675904,12310
1601675907,12310
1601675910,12310
1601675913,12310
1601675916,12310
1601675919,12310
1601675922,12310
1601675925,12310
1601675928,12310
1601675931,12310
1601675934,12310
1601675937,12310
1601675940,12310
1601675943,12310
1601675946,12310
1601675949,12310
1601675952,12310
1601675955,12310
1601675958,12310
1601675961,12310
1601675964,12310
1601675967,12310
1601675970,12310
1601675973,12310
1601675976,12310
1601675979,12310
1601675982,12310
1601675985,12310
1601675988,12310
1601675991,12310
1601675994,12310
1601675997,12310
1601676000,12310
1601676003,12310
1601676006,12310
1601676009,12310
1601676012,12310
1601676015,12310
1601676018,12310
1601676021,12310
1601676024,12310
1601676027,12310
1601676030,12310
1601676033,12310
1601676036,12310
1601676039,12310
1601676042,12311
1601676045,12311
1601676048,12311
1601676051,12311
1601676054,12311
1601676057,12311
1601676060,12311
1601676063,12311
1601676066,12311
1601676069,12311
1601676072,12311
1601676075,12311
1601676078,12311
1601676081,12311
1601676084,12311
1601676087,12311
1601676090,12311
1601676093,12311
1601676096,12311
1601676099,12311
1601676102,12311
1601676105,12311
1601676108,12311
1601676111,12311
1601676114,12311
1601676117,12311
1601676120,12311
1601676123,12311
1601676126,12311
1601676129,12311
1601676132,12311
1601676135,12311
1601676138,12311
1601676141,12311
1601676144,12311
1601676147,12311
1601676150,12311
1601676153,12311
1601676156,12311
1601676159,12311
1601676162,12311
1601676165,12311
1601676168,12311
1601676171,12311
1601676174,12311
1601676177,12311
1601676180,12311
1601676183,12311
1601676186,12311
1601676189,12311
1601676192,12311
1601676195,12311
1601676198,12311
1601676201,12311
1601676204,12311
1601676207,12311
1601676210,12311
1601676213,12311
1601676216,12311
1601676219,12311
1601676222,12311
1601676225,12311
1601676228,12311
1601676231,12311
1601676234,12311
1601676237,12311
1601676240,12311
1601676243,12311
1601676246,12311
1601676249,12311
1601676252,12311
1601676255,12311
1601676258,12311
1601676261,12311
1601676264,12311
1601676267,12311
1601676270,12311
1601676273,12311
1601676276,12311
1601676279,12311
1601676282,12311
1601676285,12311
1601676288,12311
1601676291,12311
1601676294,12311
1601676297,12311
1601676300,12311
1601676303,12311
1601676306,12311
1601676309,12311
1601676312,12311
1601676315,12311
1601676318,12311
1601676321,12311
1601676324,12311
1601676327,12311
1601676330,12311
1601676333,12311
1601676336,12311
1601676339,12311
1601676342,12311
1601676345,12311
1601676348,12311
1601676351,12311
1601676354,12311
1601676357,12311
1601676360,12311
1601676363,12311
1601676366,12311
1601676369,12311
1601676372,12311
1601676375,12311
1601676378,12311
1601676381,12311
1601676384,12311
1601676387,12311
1601676390,12311
1601676393,12311
1601676396,12311
1601676399,12311
1601676402,12311
1601676405,12311
1601676408,12311
1601676411,12311
1601676414,12311
1601676417,12311
1601676420,12311
1601676423,12311
1601676426,12311
1601676429,12311
1601676432,12311
1601676435,12311
1601676438,12311
1601676441,12311
1601676444,12311
1601676447,12311
1601676450,12311
1601676453,12311
1601676456,12311
1601676459,12311
1601676462,12311
1601676465,12311
1601676468,12311
1601676471,12311
1601676474,12311
1601676477,12311
1601676480,12311
1601676483,12311
1601676486,12311
1601676489,12311
1601676492,12311
1601676495,12311
1601676498,12311
1601676501,12311
1601676504,12311
1601676507,12311
1601676510,12311
1601676513,12311
1601676516,12311
1601676519,12311
1601676522,12311
1601676525,12311
1601676528,12311
1601676531,12311
1601676534,12311
1601676537,12311
1601676540,12311
1601676543,12311
1601676546,12311
1601676549,12311
1601676552,12311
1601676555,12311
1601676558,12311
1601676561,12311
1601676564,12311
1601676567,12311
1601676570,12311
1601676573,12311
1601676576,12311
1601676579,12311
1601676582,12311
1601676585,12311
1601676588,12311
1601676591,12311
1601676594,12311
1601676597,12311
1601676600,12311
1601676603,12311
1601676606,12311
1601676609,12311
1601676612,12311
1601676615,12311
1601676618,12311
1601676621,12311
1601676624,12311
1601676627,12311
1601676630,12311
1601676633,12311
1601676636,12311
1601676639,12311
1601676642,12311
1601676645,12311
1601676648,12311
1601676651,12311
1601676654,12311
1601676657,12311
1601676660,12311
1601676663,12311
1601676666,12311
1601676669,12311
1601676672,12311
1601676675,12311
1601676678,12311
1601676681,12311
1601676684,12311
1601676687,12311
1601676690,12311
1601676693,12311
1601676696,12311
1601676699,12311
1601676702,12311
1601676705,12311
1601676708,12311
1601676711,12311
1601676714,12504
1601676717,12504
1601676720,12504
1601676723,12504
1601676726,12504
1601676729,12504
1601676732,12504
1601676735,12504
1601676738,12504
1601676741,12504
1601676744,12504
1601676747,12504
1601676750,12504
1601676753,12504
1601676756,12504
1601676759,12504
1601676762,12504
1601676765,12504
1601676768,12504
1601676771,12504
1601676774,12504
1601676777,12504
1601676780,12504
1601676783,12504
1601676786,12504
1601676789,12504
1601676792,12504
1601676795,12504
1601676798,12504
1601676801,12504
1601676804,12504
1601676807,12504
1601676810,12504
1601676813,12504
1601676816,12504
1601676819,12504
1601676822,12507
1601676825,12507
1601676828,12507
1601676831,12507
1601676834,12507
1601676837,12507
1601676840,12507
1601676843,12507
1601676846,12507
1601676849,12507
1601676852,12507
1601676855,12507
1601676858,12507
1601676861,12507
1601676864,12507
1601676867,12507
1601676870,12507
1601676873,12507
1601676876,12507
1601676879,12507
1601676882,12507
1601676885,12507
1601676888,12507
1601676891,12507
1601676894,12507
1601676897,12507
1601676900,12507
1601676903,12507
1601676906,12507
1601676909,12507
1601676912,12507
1601676915,12507
1601676918,12507
1601676921,12507
1601676924,12507
1601676927,12507
1601676930,12507
1601676933,12507
1601676936,12507
1601676939,12507
1601676942,12507
1601676945,12507
1601676948,12507
1601676951,12507
1601676954,12507
1601676957,12507
1601676960,12507
1601676963,12507
1601676966,12507
1601676969,12507
1601676972,12507
1601676975,12507
1601676978,12507
1601676981,12507
1601676984,12507
1601676987,12507
1601676990,12507
1601676993,12507
1601676996,12507
1601676999,12507
1601677002,12507
1601677005,12507
1601677008,12507
1601677011,12507
1601677014,12507
1601677017,12507
1601677020,12507
1601677023,12507
1601677026,12507
1601677029,12507
1601677032,12507
1601677035,12507
1601677038,12507
1601677041,12507
1601677044,12507
1601677047,12507
1601677050,12507
1601677053,12507
1601677056,12507
1601677059,12507
1601677062,12507
1601677065,12507
1601677068,12507
1601677071,12507
1601677074,12507
1601677077,12507
1601677080,12507
1601677083,12507
1601677086,12507
1601677089,12507
1601677092,12507
1601677095,12507
1601677098,12507
1601677101,12507
1601677104,12507
1601677107,12507
1601677110,12507
1601677113,12507
1601677116,12507
1601677119,12507
1601677122,12507
1601677125,12507
1601677128,12507
1601677131,12507
1601677134,12507
1601677137,12507
1601677140,12507
1601677143,12507
1601677146,12507
1601677149,12507
1601677152,12507
1601677155,12507
1601677158,12507
1601677161,12507
1601677164,12507
1601677167,12507
1601677170,12507
1601677173,12507
1601677176,12507
1601677179,12507
1601677182,12507
1601677185,12507
1601677188,12507
1601677191,12507
1601677194,12507
1601677197,12507
1601677200,12507
1601677203,12507
1601677206,12507
1601677209,12507
1601677212,12507
1601677215,12507
1601677218,12507
1601677221,12507
1601677224,12507
1601677227,12507
1601677230,12507
1601677233,12507
1601677236,12507
1601677239,12507
1601677242,12507
1601677245,12507
1601677248,12507
1601677251,12507
1601677254,12507
1601677257,12507
1601677260,12507
1601677263,12507
1601677266,12507
1601677269,12507
1601677272,12507
1601677275,12507
1601677278,12507
