t,value
1601675475,12
1601675478,12
1601675481,12
1601675484,12
1601675487,12
1601675490,12
1601675493,12
1601675496,12
1601675499,12
1601675502,15
1601675505,15
1601675508,15
1601675511,15
1601675514,15
1601675517,15
1601675520,15
1601675523,15
1601675526,15
1601675529,15
1601675532,13
1601675535,13
1601675538,13
1601675541,13
1601675544,13
1601675547,13
1601675550,13
1601675553,13
1601675556,13
1601675559,13
1601675562,13
1601675565,13
1601675568,13
1601675571,13
1601675574,13
1601675577,13
1601675580,13
1601675583,13
1601675586,13
1601675589,13
1601675592,13
1601675595,13
1601675598,13
1601675601,13
1601675604,13
1601675607,13
1601675610,13
1601675613,13
1601675616,13
1601675619,13
1601675622,13
1601675625,13
1601675628,13
1601675631,13
1601675634,13
1601675637,13
1601675640,13
1601675643,13
1601675646,13
1601675649,13
1601675652,13
1601675655,13
1601675658,13
1601675661,13
1601675664,13
1601675667,13
1601675670,13
1601675673,13
1601675676,13
1601675679,13
1601675682,13
1601675685,13
1601675688,13
1601675691,13
1601675694,13
1601675697,13
1601675700,13
1601675703,13
1601675706,13
1601675709,13
1601675712,13
1601675715,13
1601675718,13
1601675721,13
1601675724,13
1601675727,13
1601675730,13
1601675733,13
1601675736,13
1601675739,13
1601675742,13
1601675745,13
1601675748,13
1601675751,13
1601675754,13
1601675757,13
1601675760,13
1601675763,13
1601675766,13
1601675769,13
1601675772,13
1601675775,13
1601675778,13
1601675781,13
1601675784,13
1601675787,13
1601675790,13
1601675793,13
1601675796,13
1601675799,13
1601675802,13
1601675805,13
1601675808,13
1601675811,13
1601675814,13
1601675817,13
1601675820,13
1601675823,13
1601675826,13
1601675829,13
1601675832,13
1601675835,13
1601675838,13
1601675841,13
1601675844,13
1601675847,13
1601675850,13
1601675853,13
1601675856,13
1601675859,13
1601675862,13
1601675865,13
1601675868,13
1601675871,13
1601675874,13
1601675877,13
1601675880,13
1601675883,13
1601675886,13
1601675889,13
1601675892,13
1601675895,13
1601675898,13
1601675901,13
1601675904,13
1601675907,13
1601675910,13
1601675913,13
1601675916,13
1601675919,13
1601675922,13
1601675925,13
1601675928,13
1601675931,13
1601675934,13
1601675937,13
1601675940,13
1601675943,13
1601675946,13
1601675949,13
1601675952,13
1601675955,13
1601675958,13
1601675961,13
1601675964,13
1601675967,13
1601675970,13
1601675973,13
1601675976,13
1601675979,13
1601675982,13
1601675985,13
1601675988,13
1601675991,13
1601675994,13
1601675997,13
1601676000,13
1601676003,13
1601676006,13
1601676009,13
1601676012,13
1601676015,13
1601676018,13
1601676021,13
1601676024,13
1601676027,13
1601676030,13
1601676033,13
1601676036,13
1601676039,13
1601676042,13
1601676045,13
1601676048,13
1601676051,13
1601676054,13
1601676057,13
1601676060,13
1601676063,13
1601676066,13
1601676069,13
1601676072,13
1601676075,13
1601676078,13
1601676081,13
1601676084,13
1601676087,13
1601676090,13
1601676093,13
1601676096,13
1601676099,13
1601676102,13
1601676105,13
1601676108,13
1601676111,13
1601676114,13
1601676117,13
1601676120,13
1601676123,13
1601676126,13
1601676129,13
1601676132,13
1601676135,13
1601676138,13
1601676141,13
1601676144,13
1601676147,13
1601676150,13
1601676153,13
1601676156,13
1601676159,13
1601676162,13
1601676165,13
1601676168,13
1601676171,13
1601676174,13
1601676177,13
1601676180,13
1601676183,13
1601676186,13
1601676189,13
1601676192,13
1601676195,13
1601676198,13
1601676201,13
1601676204,13
1601676207,13
1601676210,13
1601676213,13
1601676216,13
1601676219,13
1601676222,13
1601676225,13
1601676228,13
1601676231,13
1601676234,13
1601676237,13
1601676240,13
1601676243,13
1601676246,13
1601676249,13
1601676252,13
1601676255,13
1601676258,13
1601676261,13
1601676264,13
1601676267,13
1601676270,13
1601676273,13
1601676276,13
1601676279,13
1601676282,13
1601676285,13
1601676288,13
1601676291,13
1601676294,13
1601676297,13
1601676300,13
1601676303,13
1601676306,13
1601676309,13
1601676312,13
1601676315,13
1601676318,13
1601676321,13
1601676324,13
1601676327,13
1601676330,13
1601676333,13
1601676336,13
1601676339,13
1601676342,13
1601676345,13
1601676348,13
1601676351,13
1601676354,13
1601676357,13
1601676360,13
1601676363,13
1601676366,13
1601676369,13
1601676372,13
1601676375,13
1601676378,13
1601676381,13
1601676384,13
1601676387,13
1601676390,13
1601676393,13
1601676396,13
1601676399,13
1601676402,13
1601676405,13
1601676408,13
1601676411,13
1601676414,13
1601676417,13
1601676420,13
1601676423,13
1601676426,13
1601676429,13
1601676432,13
1601676435,13
1601676438,13
1601676441,13
1601676444,13
1601676447,13
1601676450,13
1601676453,13
1601676456,13
1601676459,13
1601676462,13
1601676465,13
1601676468,13
1601676471,13
1601676474,13
1601676477,13
1601676480,13
1601676483,13
1601676486,13
1601676489,13
1601676492,13
1601676495,13
1601676498,13
1601676501,13
1601676504,13
1601676507,13
1601676510,13
1601676513,13
1601676516,13
1601676519,13
1601676522,13
1601676525,13
1601676528,13
1601676531,13
1601676534,13
1601676537,13
1601676540,13
1601676543,13
1601676546,13
1601676549,13
1601676552,13
1601676555,13
1601676558,13
1601676561,13
1601676564,13
1601676567,13
1601676570,13
1601676573,13
1601676576,13
1601676579,13
1601676582,13
1601676585,13
1601676588,13
1601676591,13
1601676594,13
1601676597,13
1601676600,13
1601676603,13
1601676606,13
1601676609,13
1601676612,13
1601676615,13
1601676618,13
1601676621,13
1601676624,13
1601676627,13
1601676630,13
1601676633,13
1601676636,13
1601676639,13
1601676642,13
1601676645,13
1601676648,13
1601676651,13
1601676654,13
1601676657,13
1601676660,13
1601676663,13
1601676666,13
1601676669,13
1601676672,13
1601676675,13
1601676678,13
1601676681,13
1601676684,13
1601676687,13
1601676690,13
1601676693,13
1601676696,13
1601676699,13
1601676702,13
1601676705,13
1601676708,13
1601676711,13
1601676714,14
1601676717,14
1601676720,14
1601676723,14
1601676726,14
1601676729,14
1601676732,14
1601676735,14
1601676738,14
1601676741,14
1601676744,14
1601676747,14
1601676750,14
1601676753,14
1601676756,14
1601676759,14
1601676762,14
1601676765,14
1601676768,14
1601676771,14
1601676774,14
1601676777,14
1601676780,14
1601676783,14
1601676786,14
1601676789,14
1601676792,14
1601676795,14
1601676798,14
1601676801,14
1601676804,14
1601676807,14
1601676810,14
1601676813,14
1601676816,14
1601676819,14
1601676822,14
1601676825,14
1601676828,14
1601676831,14
1601676834,14
1601676837,14
1601676840,14
1601676843,14
1601676846,14
1601676849,14
1601676852,14
1601676855,14
1601676858,14
1601676861,14
1601676864,14
1601676867,14
1601676870,14
1601676873,14
1601676876,14
1601676879,14
1601676882,14
1601676885,14
1601676888,14
1601676891,14
1601676894,14
1601676897,14
1601676900,14
1601676903,14
1601676906,14
1601676909,14
1601676912,14
1601676915,14
1601676918,14
1601676921,14
1601676924,14
1601676927,14
1601676930,14
1601676933,14
1601676936,14
1601676939,14
1601676942,14
1601676945,14
1601676948,14
1601676951,14
1601676954,14
1601676957,14
1601676960,14
1601676963,14
1601676966,14
1601676969,14
1601676972,14
1601676975,14
1601676978,14
1601676981,14
1601676984,14
1601676987,14
1601676990,14
1601676993,14
1601676996,14
1601676999,14
1601677002,14
1601677005,14
1601677008,14
1601677011,14
1601677014,14
1601677017,14
1601677020,14
1601677023,14
1601677026,14
1601677029,14
1601677032,14
1601677035,14
1601677038,14
1601677041,14
1601677044,14
1601677047,14
1601677050,14
1601677053,14
1601677056,14
1601677059,14
1601677062,14
1601677065,14
1601677068,14
1601677071,14
1601677074,14
1601677077,14
1601677080,14
1601677083,14
1601677086,14
1601677089,14
1601677092,14
1601677095,14
1601677098,14
1601677101,14
1601677104,14
1601677107,14
1601677110,14
1601677113,14
1601677116,14
1601677119,14
1601677122,14
1601677125,14
1601677128,14
1601677131,14
1601677134,14
1601677137,14
1601677140,14
1601677143,14
1601677146,14
1601677149,14
1601677152,14
1601677155,14
1601677158,14
1601677161,14
1601677164,14
1601677167,14
1601677170,14
1601677173,14
1601677176,14
1601677179,14
1601677182,14
1601677185,14
1601677188,14
1601677191,14
1601677194,14
1601677197,14
1601677200,14
1601677203,14
1601677206,14
1601677209,14
1601677212,14
1601677215,14
1601677218,14
1601677221,14
1601677224,14
1601677227,14
1601677230,14
1601677233,14
1601677236,14
1601677239,14
1601677242,14
1601677245,14
1601677248,14
1601677251,14
1601677254,14
1601677257,14
1601677260,14
1601677263,14
1601677266,14
1601677269,14
1601677272,14
1601677275,14
1601677278,14
1601677281,14
1601677284,14
1601677287,14
1601677290,14
1601677293,14
1601677296,14
1601677299,14
1601677302,14
1601677305,14
1601677308,14
1601677311,14
1601677314,14
1601677317,14
1601677320,14
1601677323,14
1601677326,14
1601677329,14
1601677332,14
1601677335,14
1601677338,14
1601677341,14
1601677344,14
1601677347,14
1601677350,14
1601677353,14
1601677356,14
1601677359,14
1601677362,14
1601677365,14
1601677368,14
1601677371,14
1601677374,14
1601677377,14
1601677380,14
1601677383,14
1601677386,14
1601677389,14
1601677392,14
1601677395,14
1601677398,14
1601677401,14
1601677404,14
1601677407,14
1601677410,14
1601677413,14
1601677416,14
1601677419,14
1601677422,14
1601677425,14
1601677428,14
1601677431,14
1601677434,14
1601677437,14
1601677440,14
1601677443,14
1601677446,14
1601677449,14
1601677452,14
1601677455,14
1601677458,14
1601677461,14
1601677464,14
1601677467,14
1601677470,14
1601677473,14
1601677476,14
1601677479,14
1601677482,14
1601677485,14
1601677488,14
1601677491,14
1601677494,14
1601677497,14
1601677500,14
1601677503,14
1601677506,14
1601677509,14
1601677512,14
1601677515,14
1601677518,14
1601677521,14
1601677524,14
1601677527,14
1601677530,14
1601677533,14
1601677536,14
1601677539,14
1601677542,14
1601677545,14
1601677548,14
1601677551,14
1601677554,14
1601677557,14
1601677560,14
1601677563,14
1601677566,14
1601677569,14
1601677572,14
1601677575,14
1601677578,14
1601677581,14
1601677584,14
1601677587,14
1601677590,14
1601677593,14
1601677596,14
1601677599,14
1601677602,14
1601677605,14
1601677608,14
1601677611,14
1601677614,14
1601677617,14
1601677620,14
1601677623,14
1601677626,14
1601677629,14
1601677632,14
1601677635,14
1601677638,14
1601677641,14
1601677644,14
1601677647,14
1601677650,14
1601677653,14
1601677656,14
1601677659,14
1601677662,14
1601677665,14
1601677668,14
1601677671,14
1601677674,14
1601677677,14
1601677680,14
1601677683,14
1601677686,14
1601677689,14
1601677692,14
1601677695,14
1601677698,14
1601677701,14
1601677704,14
1601677707,14
1601677710,14
1601677713,14
1601677716,14
1601677719,14
1601677722,14
1601677725,14
1601677728,14
1601677731,14
1601677734,14
1601677737,14
1601677740,14
1601677743,14
1601677746,14
1601677749,14
1601677752,14
1601677755,14
1601677758,14
1601677761,14
1601677764,14
1601677767,14
1601677770,14
1601677773,14
1601677776,14
