t,value
1601675475,10294
1601675478,10498
1601675481,10498
1601675484,10498
1601675487,10498
1601675490,10498
1601675493,10498
1601675496,10498
1601675499,10498
1601675502,11958
1601675505,12001
1601675508,12125
1601675511,12125
1601675514,12125
1601675517,12125
1601675520,12125
1601675523,12848
1601675526,12848
1601675529,12848
1601675532,12268
1601675535,12268
1601675538,12268
1601675541,12268
1601675544,12268
1601675547,12268
1601675550,12268
1601675553,12268
1601675556,12268
1601675559,12268
1601675562,12310
1601675565,12310
1601675568,12310
1601675571,12310
1601675574,12310
1601675577,12310
1601675580,12310
1601675583,12310
1601675586,12310
1601675589,12310
1601675592,12310
1601675595,12310
1601675598,12310
1601675601,12310
1601675604,12310
1601675607,12310
1601675610,12310
1601675613,12310
1601675616,12310
1601675619,12310
1601675622,12310
1601675625,12310
1601675628,12310
1601675631,12310
1601675634,12310
1601675637,12310
1601675640,12310
1601675643,12310
1601675646,12310
1601675649,12310
1601675652,12310
1601675655,12310
1601675658,12310
1601675661,12310
1601675664,12310
1601675667,12310
1601675670,12310
1601675673,12310
1601675676,12310
1601675679,12310
1601675682,12310
1601675685,12310
1601675688,12310
1601675691,12310
1601675694,12310
1601675697,12310
1601675700,12310
1601675703,12310
1601675706,12310
1601675709,12310
1601675712,12310
1601675715,12310
1601675718,12310
1601675721,12310
1601675724,12310
1601675727,12310
1601675730,12310
1601675733,12310
1601675736,12310
1601675739,12310
1601675742,12310
1601675745,12310
1601675748,12310
1601675751,12310
1601675754,12310
1601675757,12310
1601675760,12310
1601675763,12310
1601675766,12310
1601675769,12310
1601675772,12310
1601675775,12310
1601675778,12310
1601675781,12310
1601675784,12311
1601675787,12311
1601675790,12311
1601675793,12311
1601675796,12311
1601675799,12311
1601675802,12311
1601675805,12311
1601675808,12311
1601675811,12311
1601675814,12311
1601675817,12311
1601675820,12311
1601675823,12311
1601675826,12311
1601675829,12311
1601675832,12311
1601675835,12311
1601675838,12311
1601675841,12311
1601675844,12311
1601675847,12311
1601675850,12311
1601675853,12311
1601675856,12311
1601675859,12311
1601675862,12311
1601675865,12311
1601675868,12311
1601675871,12311
1601675874,12311
1601675877,12311
1601675880,12311
1601675883,12311
1601675886,12311
1601675889,12311
1601675892,12311
1601675895,12311
1601675898,12311
1601675901,12311
1601675904,12311
1601675907,12311
1601675910,12311
1601675913,12311
1601675916,12311
1601675919,12311
1601675922,12311
1601675925,12311
1601675928,12311
1601675931,12311
1601675934,12311
1601675937,12311
1601675940,12311
1601675943,12311
1601675946,12311
1601675949,12311
1601675952,12311
1601675955,12311
1601675958,12311
1601675961,12311
1601675964,12311
1601675967,12311
1601675970,12311
1601675973,12311
1601675976,12311
1601675979,12311
1601675982,12311
1601675985,12311
1601675988,12311
1601675991,12311
1601675994,12311
1601675997,12311
1601676000,12311
1601676003,12311
1601676006,12311
1601676009,12311
1601676012,12311
1601676015,12311
1601676018,12311
1601676021,12311
1601676024,12311
1601676027,12311
1601676030,12311
1601676033,12311
1601676036,12311
1601676039,12311
1601676042,12312
1601676045,12312
1601676048,12312
1601676051,12312
1601676054,12312
1601676057,12312
1601676060,12312
1601676063,12312
1601676066,12312
1601676069,12312
1601676072,12312
1601676075,12312
1601676078,12312
1601676081,12312
1601676084,12312
1601676087,12312
1601676090,12312
1601676093,12312
1601676096,12312
1601676099,12312
1601676102,12312
1601676105,12312
1601676108,12312
1601676111,12312
1601676114,12312
1601676117,12312
1601676120,12312
1601676123,12312
1601676126,12312
1601676129,12312
1601676132,12312
1601676135,12312
1601676138,12312
1601676141,12312
1601676144,12312
