t,value
1601675475,1488256
1601675478,1494272
1601675481,1494912
1601675484,1494912
1601675487,1494912
1601675490,1494912
1601675493,1494912
1601675496,1494912
1601675499,1494912
1601675502,1500928
1601675505,1510656
1601675508,1510656
1601675511,1510656
1601675514,1510656
1601675517,1510656
1601675520,1510656
1601675523,1510656
1601675526,1510656
1601675529,1510656
1601675532,1511424
1601675535,1511424
1601675538,1511424
1601675541,1511424
1601675544,1511424
1601675547,1511424
1601675550,1511424
1601675553,1511424
1601675556,1511424
1601675559,1511424
1601675562,1511424
1601675565,1511424
1601675568,1511424
1601675571,1511424
1601675574,1511424
1601675577,1511424
1601675580,1511424
1601675583,1511424
1601675586,1511424
1601675589,1511424
1601675592,1511424
1601675595,1511424
1601675598,1511424
1601675601,1511424
1601675604,1517312
1601675607,1517312
1601675610,1517312
1601675613,1517312
1601675616,1517312
1601675619,1517312
1601675622,1517312
1601675625,1517312
1601675628,1517312
1601675631,1517312
1601675634,1517312
1601675637,1517312
1601675640,1517312
1601675643,1517312
1601675646,1517312
1601675649,1517312
1601675652,1517312
1601675655,1517312
1601675658,1517312
1601675661,1517312
1601675664,1517312
1601675667,1517312
1601675670,1517312
1601675673,1517312
1601675676,1517312
1601675679,1517312
1601675682,1517312
1601675685,1517312
1601675688,1517312
1601675691,1517312
1601675694,1517312
1601675697,1517312
1601675700,1517312
1601675703,1517952
1601675706,1517952
1601675709,1517952
1601675712,1517952
1601675715,1517952
1601675718,1517952
1601675721,1517952
1601675724,1517952
1601675727,1517952
1601675730,1517952
1601675733,1517952
1601675736,1517952
1601675739,1517952
1601675742,1517952
1601675745,1517952
1601675748,1517952
1601675751,1517952
1601675754,1517952
1601675757,1517952
1601675760,1517952
1601675763,1517952
1601675766,1517952
1601675769,1517952
1601675772,1517952
1601675775,1517952
1601675778,1517952
1601675781,1517952
1601675784,1517952
1601675787,1517952
1601675790,1517952
1601675793,1517952
1601675796,1517952
1601675799,1517952
1601675802,1517952
1601675805,1517952
1601675808,1517952
1601675811,1517952
1601675814,1517952
1601675817,1517952
1601675820,1517952
1601675823,1517952
1601675826,1517952
1601675829,1517952
1601675832,1517952
1601675835,1517952
1601675838,1517952
1601675841,1517952
1601675844,1517952
1601675847,1517952
1601675850,1517952
1601675853,1517952
1601675856,1517952
1601675859,1517952
1601675862,1517952
1601675865,1517952
1601675868,1517952
1601675871,1517952
1601675874,1517952
1601675877,1517952
1601675880,1517952
1601675883,1517952
1601675886,1517952
1601675889,1517952
1601675892,1517952
1601675895,1517952
1601675898,1517952
1601675901,1517952
1601675904,1517952
1601675907,1517952
1601675910,1517952
1601675913,1517952
1601675916,1517952
1601675919,1517952
1601675922,1517952
1601675925,1517952
1601675928,1517952
1601675931,1517952
1601675934,1517952
1601675937,1517952
1601675940,1517952
1601675943,1517952
1601675946,1517952
1601675949,1517952
1601675952,1517952
1601675955,1517952
1601675958,1517952
1601675961,1517952
1601675964,1517952
1601675967,1517952
1601675970,1517952
1601675973,1517952
1601675976,1517952
1601675979,1517952
1601675982,1517952
1601675985,1517952
1601675988,1517952
1601675991,1517952
1601675994,1517952
1601675997,1517952
1601676000,1517952
1601676003,1517952
1601676006,1517952
1601676009,1517952
1601676012,1517952
1601676015,1517952
1601676018,1517952
1601676021,1517952
1601676024,1517952
1601676027,1517952
1601676030,1517952
1601676033,1517952
1601676036,1517952
1601676039,1517952
1601676042,1517952
1601676045,1517952
1601676048,1517952
1601676051,1517952
1601676054,1517952
1601676057,1517952
1601676060,1517952
1601676063,1517952
1601676066,1517952
1601676069,1517952
1601676072,1517952
1601676075,1517952
1601676078,1517952
1601676081,1522304
1601676084,1522304
1601676087,1522304
1601676090,1522304
1601676093,1522304
1601676096,1522304
1601676099,1522304
1601676102,1522304
1601676105,1522304
1601676108,1522304
1601676111,1523584
1601676114,1523584
1601676117,1523584
1601676120,1523584
1601676123,1523584
1601676126,1523584
1601676129,1523584
1601676132,1523584
1601676135,1523584
1601676138,1523584
1601676141,1523584
1601676144,1523584
1601676147,1523584
1601676150,1523584
1601676153,1523584
1601676156,1523584
1601676159,1523584
1601676162,1523584
1601676165,1523584
1601676168,1523584
1601676171,1523584
1601676174,1523584
1601676177,1523584
1601676180,1523584
1601676183,1523584
1601676186,1523584
1601676189,1523584
1601676192,1523584
1601676195,1523584
1601676198,1523584
1601676201,1523584
1601676204,1523584
1601676207,1523584
1601676210,1523584
1601676213,1523584
1601676216,1523584
1601676219,1523584
1601676222,1523584
1601676225,1523584
1601676228,1523584
1601676231,1523584
1601676234,1523584
1601676237,1523584
1601676240,1523584
1601676243,1523584
1601676246,1523584
1601676249,1523584
1601676252,1523584
1601676255,1523584
1601676258,1523584
1601676261,1523584
1601676264,1523584
1601676267,1523584
1601676270,1523584
1601676273,1523584
1601676276,1523584
1601676279,1523584
1601676282,1523584
1601676285,1523584
1601676288,1523584
1601676291,1523584
1601676294,1523584
1601676297,1523584
1601676300,1523584
1601676303,1523584
1601676306,1523584
1601676309,1523584
1601676312,1523584
1601676315,1523584
1601676318,1523584
1601676321,1523584
