t,value
1601675475,25165824
1601675478,5242880
1601675481,5242880
1601675484,5242880
1601675487,5242880
1601675490,5242880
1601675493,5242880
1601675496,5242880
1601675499,5242880
1601675502,5242880
1601675505,5242880
1601675508,5242880
1601675511,5242880
1601675514,5242880
1601675517,5242880
1601675520,5242880
1601675523,5242880
1601675526,5242880
1601675529,5242880
1601675532,5242880
1601675535,5242880
1601675538,5242880
1601675541,5242880
1601675544,5242880
1601675547,5242880
1601675550,5242880
1601675553,5242880
1601675556,5242880
1601675559,5242880
1601675562,5242880
1601675565,5242880
1601675568,5242880
1601675571,5242880
1601675574,5242880
1601675577,5242880
1601675580,5242880
1601675583,5242880
1601675586,5242880
1601675589,5242880
1601675592,5242880
1601675595,5242880
1601675598,5242880
1601675601,5242880
1601675604,5242880
1601675607,5242880
1601675610,5242880
1601675613,5242880
1601675616,5242880
1601675619,5242880
1601675622,5242880
1601675625,5242880
1601675628,5242880
1601675631,5242880
1601675634,5242880
1601675637,5242880
1601675640,5242880
1601675643,5242880
1601675646,5242880
1601675649,5242880
1601675652,10485760
1601675655,10485760
1601675658,10485760
1601675661,10485760
1601675664,10485760
1601675667,10485760
1601675670,10485760
1601675673,10485760
1601675676,10485760
1601675679,10485760
1601675682,10485760
1601675685,10485760
1601675688,10485760
1601675691,10485760
1601675694,10485760
1601675697,10485760
1601675700,10485760
1601675703,10485760
1601675706,10485760
1601675709,10485760
1601675712,10485760
1601675715,10485760
1601675718,10485760
1601675721,10485760
1601675724,10485760
1601675727,10485760
1601675730,10485760
1601675733,10485760
1601675736,10485760
1601675739,10485760
1601675742,10485760
1601675745,10485760
1601675748,10485760
1601675751,10485760
1601675754,10485760
1601675757,10485760
1601675760,10485760
1601675763,10485760
1601675766,10485760
1601675769,10485760
1601675772,10485760
1601675775,10485760
1601675778,10485760
1601675781,10485760
1601675784,10485760
1601675787,10485760
1601675790,10485760
1601675793,10485760
1601675796,10485760
1601675799,10485760
1601675802,10485760
1601675805,10485760
1601675808,10485760
1601675811,10485760
1601675814,10485760
1601675817,10485760
1601675820,10485760
1601675823,10485760
