t,value
1601675475,59
1601675478,59
1601675481,63
1601675484,63
1601675487,63
1601675490,63
1601675493,63
1601675496,63
1601675499,63
1601675502,77
1601675505,77
1601675508,77
1601675511,77
1601675514,77
1601675517,77
1601675520,77
1601675523,77
1601675526,77
1601675529,77
1601675532,72
1601675535,72
1601675538,72
1601675541,69
1601675544,69
1601675547,69
1601675550,69
1601675553,69
1601675556,69
1601675559,69
1601675562,69
1601675565,69
1601675568,69
1601675571,69
1601675574,69
1601675577,69
1601675580,69
1601675583,69
1601675586,69
1601675589,69
1601675592,68
1601675595,68
1601675598,68
1601675601,68
1601675604,68
1601675607,68
1601675610,68
1601675613,68
1601675616,68
1601675619,68
1601675622,68
1601675625,68
1601675628,68
1601675631,68
1601675634,68
1601675637,68
1601675640,68
1601675643,68
1601675646,68
1601675649,68
1601675652,68
1601675655,68
1601675658,68
1601675661,68
1601675664,68
1601675667,68
1601675670,68
1601675673,68
1601675676,68
1601675679,68
1601675682,68
1601675685,68
1601675688,68
1601675691,68
1601675694,68
1601675697,68
1601675700,68
1601675703,68
1601675706,68
1601675709,68
1601675712,68
1601675715,68
1601675718,68
1601675721,68
1601675724,68
1601675727,68
1601675730,68
1601675733,68
1601675736,68
1601675739,68
1601675742,68
1601675745,68
1601675748,68
1601675751,68
1601675754,68
1601675757,68
1601675760,68
1601675763,68
1601675766,68
1601675769,68
1601675772,68
1601675775,68
1601675778,68
1601675781,68
1601675784,68
1601675787,68
1601675790,68
1601675793,68
1601675796,68
1601675799,68
1601675802,68
1601675805,68
1601675808,68
1601675811,68
1601675814,68
1601675817,68
1601675820,68
1601675823,68
1601675826,68
1601675829,68
1601675832,68
1601675835,68
1601675838,68
1601675841,68
1601675844,68
1601675847,68
1601675850,68
1601675853,68
1601675856,68
1601675859,68
1601675862,68
1601675865,68
1601675868,68
1601675871,68
1601675874,68
1601675877,68
1601675880,68
1601675883,68
1601675886,68
1601675889,68
1601675892,68
1601675895,68
1601675898,68
1601675901,68
1601675904,68
1601675907,68
1601675910,68
1601675913,68
1601675916,68
1601675919,68
1601675922,68
1601675925,68
1601675928,68
1601675931,68
1601675934,68
1601675937,68
1601675940,68
1601675943,68
1601675946,68
1601675949,68
1601675952,68
1601675955,68
1601675958,68
1601675961,68
1601675964,68
1601675967,68
1601675970,68
1601675973,68
1601675976,68
1601675979,68
1601675982,68
1601675985,68
1601675988,68
1601675991,68
1601675994,68
1601675997,68
1601676000,68
1601676003,68
1601676006,68
1601676009,68
1601676012,68
1601676015,68
1601676018,68
1601676021,68
1601676024,68
1601676027,68
1601676030,68
1601676033,68
1601676036,68
1601676039,68
1601676042,68
1601676045,68
1601676048,68
1601676051,68
1601676054,68
1601676057,68
1601676060,68
1601676063,68
1601676066,68
1601676069,68
1601676072,68
1601676075,68
1601676078,68
1601676081,68
1601676084,68
1601676087,68
1601676090,68
1601676093,68
1601676096,68
1601676099,68
1601676102,68
1601676105,68
1601676108,68
1601676111,68
1601676114,68
1601676117,68
1601676120,68
1601676123,68
1601676126,68
1601676129,68
1601676132,68
1601676135,68
1601676138,68
1601676141,68
1601676144,68
1601676147,68
1601676150,68
1601676153,68
1601676156,68
1601676159,68
1601676162,68
1601676165,68
1601676168,68
1601676171,68
1601676174,68
1601676177,68
1601676180,68
1601676183,68
1601676186,68
1601676189,68
1601676192,68
1601676195,68
1601676198,68
1601676201,68
1601676204,68
1601676207,68
1601676210,68
1601676213,68
1601676216,68
1601676219,68
1601676222,68
1601676225,68
1601676228,68
1601676231,68
1601676234,68
1601676237,68
1601676240,68
1601676243,68
1601676246,68
1601676249,68
1601676252,68
1601676255,68
1601676258,68
1601676261,68
1601676264,68
1601676267,68
1601676270,68
1601676273,68
1601676276,68
1601676279,68
1601676282,68
1601676285,68
1601676288,68
1601676291,68
1601676294,68
1601676297,68
1601676300,68
1601676303,68
1601676306,68
1601676309,68
1601676312,68
1601676315,68
1601676318,68
1601676321,68
1601676324,68
1601676327,68
1601676330,68
1601676333,68
1601676336,68
1601676339,68
1601676342,68
1601676345,68
1601676348,68
1601676351,68
1601676354,68
1601676357,68
1601676360,68
1601676363,68
1601676366,68
1601676369,68
1601676372,68
1601676375,68
1601676378,68
1601676381,68
1601676384,68
1601676387,68
1601676390,68
1601676393,68
1601676396,68
1601676399,68
1601676402,68
1601676405,68
1601676408,68
1601676411,68
1601676414,68
1601676417,68
1601676420,68
1601676423,68
1601676426,68
1601676429,68
1601676432,68
1601676435,68
1601676438,68
1601676441,68
1601676444,68
1601676447,68
1601676450,68
1601676453,68
1601676456,68
1601676459,68
1601676462,68
1601676465,68
1601676468,68
1601676471,68
1601676474,68
1601676477,68
1601676480,68
1601676483,68
1601676486,68
1601676489,68
1601676492,68
1601676495,68
1601676498,68
1601676501,68
1601676504,68
1601676507,68
1601676510,68
1601676513,68
1601676516,68
1601676519,68
1601676522,68
1601676525,68
1601676528,68
1601676531,68
1601676534,68
1601676537,68
1601676540,68
1601676543,68
1601676546,68
1601676549,68
1601676552,68
1601676555,68
1601676558,68
1601676561,68
1601676564,68
1601676567,68
1601676570,68
1601676573,68
1601676576,68
1601676579,68
1601676582,68
1601676585,68
1601676588,68
1601676591,68
1601676594,68
1601676597,68
1601676600,68
1601676603,68
1601676606,68
1601676609,68
1601676612,68
1601676615,68
1601676618,68
1601676621,68
1601676624,68
1601676627,68
1601676630,68
1601676633,68
1601676636,68
1601676639,68
1601676642,68
1601676645,68
1601676648,68
1601676651,68
1601676654,68
1601676657,68
1601676660,68
1601676663,68
1601676666,68
1601676669,68
1601676672,68
1601676675,68
1601676678,68
1601676681,68
1601676684,68
1601676687,68
1601676690,68
1601676693,68
1601676696,68
1601676699,68
1601676702,68
1601676705,68
1601676708,68
1601676711,68
1601676714,68
1601676717,68
1601676720,68
1601676723,68
1601676726,68
1601676729,68
1601676732,68
1601676735,68
1601676738,68
1601676741,68
1601676744,68
1601676747,68
1601676750,68
1601676753,68
1601676756,68
1601676759,68
1601676762,68
1601676765,68
1601676768,68
1601676771,68
1601676774,68
1601676777,68
1601676780,68
1601676783,68
1601676786,68
1601676789,68
1601676792,68
1601676795,68
1601676798,68
1601676801,68
1601676804,68
1601676807,68
1601676810,68
1601676813,68
1601676816,68
1601676819,68
1601676822,68
1601676825,68
1601676828,68
1601676831,68
1601676834,68
1601676837,68
1601676840,68
1601676843,68
1601676846,68
1601676849,68
1601676852,68
1601676855,68
1601676858,68
1601676861,68
1601676864,68
1601676867,68
1601676870,68
1601676873,68
1601676876,68
1601676879,68
1601676882,68
1601676885,68
1601676888,68
1601676891,68
1601676894,68
1601676897,68
1601676900,68
1601676903,68
1601676906,68
1601676909,68
1601676912,68
1601676915,68
1601676918,68
1601676921,68
1601676924,68
1601676927,68
1601676930,68
1601676933,68
1601676936,68
1601676939,68
1601676942,68
1601676945,68
1601676948,68
1601676951,68
1601676954,68
1601676957,68
1601676960,68
1601676963,68
1601676966,68
1601676969,68
1601676972,68
1601676975,68
1601676978,68
1601676981,68
1601676984,68
1601676987,68
1601676990,68
1601676993,68
1601676996,68
1601676999,68
1601677002,68
1601677005,68
1601677008,68
1601677011,68
1601677014,68
1601677017,68
1601677020,68
1601677023,68
1601677026,68
1601677029,68
1601677032,68
1601677035,68
1601677038,68
1601677041,68
1601677044,68
1601677047,68
1601677050,68
1601677053,68
1601677056,68
1601677059,68
1601677062,68
1601677065,68
1601677068,68
1601677071,68
1601677074,68
1601677077,68
1601677080,68
1601677083,68
1601677086,68
1601677089,68
1601677092,68
1601677095,68
1601677098,68
1601677101,68
1601677104,68
1601677107,68
1601677110,68
1601677113,68
1601677116,68
1601677119,68
1601677122,68
1601677125,68
1601677128,68
1601677131,68
1601677134,68
1601677137,68
1601677140,68
1601677143,68
1601677146,68
1601677149,68
1601677152,68
1601677155,68
1601677158,68
1601677161,68
1601677164,68
1601677167,68
1601677170,68
1601677173,68
1601677176,68
1601677179,68
1601677182,68
1601677185,68
1601677188,68
1601677191,68
1601677194,68
1601677197,68
1601677200,68
1601677203,68
1601677206,68
1601677209,68
1601677212,68
1601677215,68
1601677218,68
1601677221,68
1601677224,68
1601677227,68
1601677230,68
1601677233,68
1601677236,68
1601677239,68
1601677242,68
1601677245,68
1601677248,68
1601677251,68
1601677254,68
1601677257,68
1601677260,68
1601677263,68
1601677266,68
1601677269,68
1601677272,68
1601677275,68
1601677278,68
1601677281,68
1601677284,68
1601677287,68
1601677290,68
1601677293,68
1601677296,68
1601677299,68
1601677302,68
1601677305,68
1601677308,68
1601677311,68
1601677314,68
1601677317,68
1601677320,68
1601677323,68
1601677326,68
1601677329,68
1601677332,68
1601677335,68
1601677338,68
1601677341,68
1601677344,68
1601677347,68
1601677350,68
1601677353,68
1601677356,68
1601677359,68
1601677362,68
1601677365,68
1601677368,68
1601677371,68
1601677374,68
1601677377,68
1601677380,68
1601677383,68
1601677386,68
1601677389,68
1601677392,68
1601677395,68
1601677398,68
1601677401,68
1601677404,68
1601677407,68
1601677410,68
1601677413,68
1601677416,68
1601677419,68
1601677422,68
1601677425,68
1601677428,68
1601677431,68
1601677434,68
1601677437,68
1601677440,68
1601677443,68
1601677446,68
1601677449,68
1601677452,68
1601677455,68
1601677458,68
1601677461,68
1601677464,68
1601677467,68
1601677470,68
1601677473,68
1601677476,68
1601677479,68
1601677482,68
1601677485,68
1601677488,68
1601677491,68
1601677494,68
1601677497,68
1601677500,68
1601677503,68
1601677506,68
1601677509,68
1601677512,68
1601677515,68
1601677518,68
1601677521,68
1601677524,68
1601677527,68
1601677530,68
1601677533,68
1601677536,68
1601677539,68
1601677542,68
1601677545,68
1601677548,68
1601677551,68
1601677554,68
1601677557,68
1601677560,68
1601677563,68
1601677566,68
1601677569,68
1601677572,68
1601677575,68
1601677578,68
1601677581,68
1601677584,68
1601677587,68
1601677590,68
1601677593,68
1601677596,68
1601677599,68
1601677602,68
1601677605,68
1601677608,68
1601677611,68
1601677614,68
1601677617,68
1601677620,68
1601677623,68
1601677626,68
1601677629,68
1601677632,68
1601677635,68
1601677638,68
1601677641,68
1601677644,68
1601677647,68
1601677650,68
1601677653,68
1601677656,68
1601677659,68
1601677662,68
1601677665,68
1601677668,68
1601677671,68
1601677674,68
1601677677,68
1601677680,68
1601677683,68
1601677686,68
1601677689,68
1601677692,68
1601677695,68
1601677698,68
1601677701,68
1601677704,68
1601677707,68
1601677710,68
1601677713,68
1601677716,68
1601677719,68
1601677722,68
1601677725,68
1601677728,68
1601677731,68
1601677734,68
1601677737,68
1601677740,68
1601677743,68
1601677746,68
1601677749,68
1601677752,68
1601677755,68
1601677758,68
1601677761,68
1601677764,68
1601677767,68
1601677770,68
1601677773,68
1601677776,68
1601677779,68
1601677782,68
1601677785,68
1601677788,68
1601677791,68
1601677794,68
1601677797,68
1601677800,68
1601677803,68
1601677806,68
1601677809,68
1601677812,68
1601677815,68
1601677818,68
1601677821,68
1601677824,68
1601677827,68
1601677830,68
1601677833,68
1601677836,68
1601677839,68
1601677842,68
1601677845,68
1601677848,68
1601677851,68
1601677854,68
1601677857,68
1601677860,68
1601677863,68
1601677866,68
1601677869,68
1601677872,68
1601677875,68
1601677878,68
1601677881,68
1601677884,68
1601677887,68
1601677890,68
1601677893,68
1601677896,68
1601677899,68
1601677902,68
1601677905,68
1601677908,68
1601677911,68
1601677914,68
1601677917,68
1601677920,68
1601677923,68
1601677926,68
1601677929,68
1601677932,68
1601677935,68
1601677938,68
1601677941,68
1601677944,68
1601677947,68
1601677950,68
1601677953,68
1601677956,68
1601677959,68
1601677962,68
1601677965,68
1601677968,68
1601677971,68
1601677974,68
1601677977,68
1601677980,68
1601677983,68
1601677986,68
1601677989,68
1601677992,68
1601677995,68
1601677998,68
1601678001,68
1601678004,68
1601678007,68
1601678010,68
1601678013,68
1601678016,68
1601678019,68
1601678022,68
1601678025,68
1601678028,68
1601678031,68
1601678034,68
1601678037,68
1601678040,68
1601678043,68
1601678046,68
1601678049,68
1601678052,68
1601678055,68
1601678058,68
1601678061,68
1601678064,68
1601678067,68
1601678070,68
1601678073,68
1601678076,68
1601678079,68
1601678082,68
1601678085,68
1601678088,68
1601678091,68
1601678094,68
1601678097,68
1601678100,68
1601678103,68
1601678106,68
1601678109,68
1601678112,68
1601678115,68
1601678118,68
1601678121,68
1601678124,68
1601678127,68
1601678130,68
1601678133,68
1601678136,68
1601678139,68
1601678142,68
1601678145,68
1601678148,68
1601678151,68
1601678154,68
1601678157,68
1601678160,68
1601678163,68
1601678166,68
1601678169,68
1601678172,68
1601678175,68
1601678178,68
1601678181,68
1601678184,68
1601678187,68
1601678190,68
1601678193,68
1601678196,68
1601678199,68
1601678202,68
1601678205,68
1601678208,68
1601678211,68
1601678214,68
1601678217,68
1601678220,68
1601678223,68
1601678226,68
1601678229,68
1601678232,68
1601678235,68
1601678238,68
1601678241,68
1601678244,68
1601678247,68
1601678250,68
1601678253,68
1601678256,68
1601678259,68
1601678262,68
1601678265,68
1601678268,68
1601678271,68
1601678274,68
1601678277,68
1601678280,68
1601678283,68
1601678286,68
1601678289,68
1601678292,68
1601678295,68
1601678298,68
1601678301,68
1601678304,68
1601678307,68
1601678310,68
1601678313,68
1601678316,68
1601678319,68
1601678322,68
1601678325,68
1601678328,68
1601678331,68
1601678334,68
1601678337,68
1601678340,68
1601678343,68
1601678346,68
1601678349,68
1601678352,68
1601678355,68
1601678358,68
1601678361,68
1601678364,68
1601678367,68
1601678370,68
1601678373,68
1601678376,68
1601678379,68
1601678382,68
1601678385,68
1601678388,68
1601678391,68
1601678394,68
1601678397,68
1601678400,68
1601678403,68
1601678406,68
1601678409,68
1601678412,68
1601678415,68
1601678418,68
1601678421,68
1601678424,68
1601678427,68
1601678430,68
1601678433,68
1601678436,68
1601678439,68
1601678442,68
1601678445,68
1601678448,68
1601678451,68
1601678454,68
1601678457,68
1601678460,68
1601678463,68
1601678466,68
1601678469,68
1601678472,68
1601678475,68
1601678478,68
1601678481,68
1601678484,68
1601678487,68
1601678490,68
1601678493,68
1601678496,68
1601678499,68
1601678502,68
1601678505,68
1601678508,68
1601678511,68
1601678514,68
1601678517,68
1601678520,68
1601678523,68
1601678526,68
1601678529,68
1601678532,68
1601678535,68
1601678538,68
1601678541,68
1601678544,68
1601678547,68
1601678550,68
1601678553,68
1601678556,68
1601678559,68
1601678562,68
1601678565,68
1601678568,68
1601678571,68
1601678574,68
1601678577,68
1601678580,68
1601678583,68
1601678586,68
1601678589,68
1601678592,68
1601678595,68
1601678598,68
1601678601,68
1601678604,68
1601678607,68
1601678610,68
1601678613,68
1601678616,68
1601678619,68
1601678622,68
1601678625,68
1601678628,68
1601678631,68
1601678634,68
1601678637,68
1601678640,68
1601678643,68
1601678646,68
1601678649,68
1601678652,68
1601678655,68
1601678658,68
1601678661,68
1601678664,68
1601678667,68
1601678670,68
1601678673,68
1601678676,68
1601678679,68
1601678682,68
1601678685,68
1601678688,68
1601678691,68
1601678694,68
1601678697,68
1601678700,68
1601678703,68
1601678706,68
1601678709,68
1601678712,68
1601678715,68
1601678718,68
1601678721,68
1601678724,68
1601678727,68
1601678730,68
1601678733,68
1601678736,68
1601678739,68
1601678742,68
1601678745,68
1601678748,68
1601678751,68
1601678754,68
1601678757,68
1601678760,68
1601678763,68
1601678766,68
1601678769,68
1601678772,68
1601678775,68
1601678778,68
1601678781,68
1601678784,68
1601678787,68
1601678790,68
1601678793,68
1601678796,68
1601678799,68
1601678802,68
1601678805,68
1601678808,68
1601678811,68
1601678814,68
1601678817,68
1601678820,68
1601678823,68
1601678826,68
1601678829,68
1601678832,68
1601678835,68
1601678838,68
1601678841,68
1601678844,68
1601678847,68
1601678850,68
1601678853,68
1601678856,68
1601678859,68
1601678862,68
1601678865,68
1601678868,68
1601678871,68
1601678874,68
1601678877,68
1601678880,68
1601678883,68
1601678886,68
1601678889,68
1601678892,68
1601678895,68
1601678898,68
1601678901,68
1601678904,68
1601678907,68
1601678910,68
1601678913,68
1601678916,68
1601678919,68
1601678922,68
1601678925,68
1601678928,68
1601678931,68
1601678934,68
1601678937,68
1601678940,68
1601678943,68
1601678946,68
1601678949,68
1601678952,68
1601678955,68
1601678958,68
1601678961,68
1601678964,68
1601678967,68
1601678970,68
1601678973,68
1601678976,68
1601678979,68
1601678982,68
1601678985,68
1601678988,68
1601678991,68
1601678994,68
1601678997,68
1601679000,68
1601679003,68
1601679006,68
1601679009,68
1601679012,68
1601679015,68
1601679018,68
1601679021,68
1601679024,68
1601679027,68
1601679030,68
1601679033,68
1601679036,68
1601679039,68
1601679042,68
1601679045,68
1601679048,68
1601679051,68
1601679054,68
1601679057,68
1601679060,68
1601679063,68
1601679066,68
1601679069,68
1601679072,68
1601679075,68
1601679078,68
1601679081,68
1601679084,68
1601679087,68
1601679090,68
1601679093,68
1601679096,68
1601679099,68
1601679102,68
1601679105,68
1601679108,68
1601679111,68
1601679114,68
1601679117,68
1601679120,68
1601679123,68
1601679126,68
1601679129,68
1601679132,68
1601679135,68
1601679138,68
1601679141,68
1601679144,68
1601679147,68
1601679150,68
1601679153,68
1601679156,68
1601679159,68
1601679162,68
1601679165,68
1601679168,68
1601679171,68
1601679174,68
1601679177,68
1601679180,68
1601679183,68
1601679186,68
1601679189,68
1601679192,68
1601679195,68
1601679198,68
1601679201,68
1601679204,68
1601679207,68
1601679210,68
1601679213,68
1601679216,68
1601679219,68
1601679222,68
1601679225,68
1601679228,68
1601679231,68
1601679234,68
1601679237,68
1601679240,68
1601679243,68
1601679246,68
1601679249,68
1601679252,68
1601679255,68
1601679258,68
1601679261,68
1601679264,68
1601679267,68
1601679270,68
1601679273,68
1601679276,68
1601679279,68
1601679282,68
1601679285,68
1601679288,68
1601679291,68
1601679294,68
1601679297,68
1601679300,68
1601679303,68
1601679306,68
1601679309,68
1601679312,68
1601679315,68
1601679318,68
1601679321,68
1601679324,68
1601679327,68
1601679330,68
1601679333,68
1601679336,68
1601679339,68
1601679342,68
1601679345,68
1601679348,68
1601679351,68
1601679354,68
1601679357,68
1601679360,68
1601679363,68
1601679366,68
1601679369,68
1601679372,68
1601679375,68
1601679378,68
1601679381,68
1601679384,68
1601679387,68
1601679390,68
1601679393,68
1601679396,68
1601679399,68
1601679402,68
1601679405,68
1601679408,68
1601679411,68
1601679414,68
1601679417,68
1601679420,68
1601679423,68
1601679426,68
1601679429,68
1601679432,68
1601679435,68
1601679438,68
1601679441,68
1601679444,68
1601679447,68
1601679450,68
1601679453,68
1601679456,68
1601679459,68
1601679462,68
1601679465,68
1601679468,68
1601679471,68
1601679474,68
1601679477,68
1601679480,68
1601679483,68
1601679486,68
1601679489,68
1601679492,68
1601679495,68
1601679498,68
1601679501,68
1601679504,68
1601679507,68
1601679510,68
1601679513,68
1601679516,68
1601679519,68
1601679522,68
1601679525,68
1601679528,68
1601679531,68
1601679534,68
1601679537,68
1601679540,68
1601679543,68
1601679546,68
1601679549,68
1601679552,68
1601679555,68
1601679558,68
1601679561,68
1601679564,68
1601679567,68
1601679570,68
1601679573,68
1601679576,68
1601679579,68
1601679582,68
1601679585,68
1601679588,68
1601679591,68
1601679594,68
1601679597,68
1601679600,68
1601679603,68
1601679606,68
1601679609,68
1601679612,68
