t,value
1601675475,65
1601675478,65
1601675481,69
1601675484,69
1601675487,69
1601675490,69
1601675493,69
1601675496,69
1601675499,69
1601675502,83
1601675505,83
1601675508,83
1601675511,83
1601675514,83
1601675517,83
1601675520,83
1601675523,83
1601675526,83
1601675529,83
1601675532,78
1601675535,78
1601675538,78
1601675541,75
1601675544,75
1601675547,75
1601675550,75
1601675553,75
1601675556,75
1601675559,75
1601675562,75
1601675565,75
1601675568,75
1601675571,75
1601675574,75
1601675577,75
1601675580,75
1601675583,75
1601675586,75
1601675589,75
1601675592,74
1601675595,74
1601675598,74
1601675601,74
1601675604,74
1601675607,74
1601675610,74
1601675613,74
1601675616,74
1601675619,74
1601675622,74
1601675625,74
1601675628,74
1601675631,74
1601675634,74
1601675637,74
1601675640,74
1601675643,74
1601675646,74
1601675649,74
1601675652,74
1601675655,74
1601675658,74
1601675661,74
1601675664,74
1601675667,74
1601675670,74
1601675673,74
1601675676,74
1601675679,74
1601675682,74
1601675685,74
1601675688,74
1601675691,74
1601675694,74
1601675697,74
1601675700,74
1601675703,74
1601675706,74
1601675709,74
1601675712,74
1601675715,74
1601675718,74
1601675721,74
1601675724,74
1601675727,74
1601675730,74
1601675733,74
1601675736,74
1601675739,74
1601675742,74
1601675745,74
1601675748,74
1601675751,74
1601675754,74
1601675757,74
1601675760,74
1601675763,74
1601675766,74
1601675769,74
1601675772,74
1601675775,74
1601675778,74
1601675781,74
1601675784,74
1601675787,74
1601675790,74
1601675793,74
1601675796,74
1601675799,74
1601675802,74
1601675805,74
1601675808,74
1601675811,74
1601675814,74
1601675817,74
1601675820,74
1601675823,74
1601675826,74
1601675829,74
1601675832,74
1601675835,74
1601675838,74
1601675841,74
1601675844,74
1601675847,74
1601675850,74
1601675853,74
1601675856,74
1601675859,74
1601675862,74
1601675865,74
1601675868,74
1601675871,74
1601675874,74
1601675877,74
1601675880,74
1601675883,74
1601675886,74
1601675889,74
1601675892,74
1601675895,74
1601675898,74
1601675901,74
1601675904,74
1601675907,74
1601675910,74
1601675913,74
1601675916,74
1601675919,74
1601675922,74
1601675925,74
1601675928,74
1601675931,74
1601675934,74
1601675937,74
1601675940,74
1601675943,74
1601675946,74
1601675949,74
1601675952,74
1601675955,74
1601675958,74
1601675961,74
1601675964,74
1601675967,74
1601675970,74
1601675973,74
1601675976,74
1601675979,74
1601675982,74
1601675985,74
1601675988,74
1601675991,74
1601675994,74
1601675997,74
1601676000,74
1601676003,74
1601676006,74
1601676009,74
1601676012,74
1601676015,74
1601676018,74
1601676021,74
1601676024,74
1601676027,74
1601676030,74
1601676033,74
1601676036,74
1601676039,74
1601676042,74
1601676045,74
1601676048,74
1601676051,74
1601676054,74
1601676057,74
1601676060,74
1601676063,74
1601676066,74
1601676069,74
1601676072,74
1601676075,74
1601676078,74
1601676081,74
1601676084,74
1601676087,74
1601676090,74
1601676093,74
1601676096,74
1601676099,74
1601676102,74
1601676105,74
1601676108,74
1601676111,74
1601676114,74
1601676117,74
1601676120,74
1601676123,74
1601676126,74
1601676129,74
1601676132,74
1601676135,74
1601676138,74
1601676141,74
1601676144,74
